LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA50080,559,410,509,465,460,450,337,192,106,3493,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
LGA50210,1709,904,1014,978,801,610,371,235,131,6743,22012,10594,13720,15076,10646,9021,6873,3278,1023,92236
LGA50250,265,302,949,915,940,677,232,54,3,4328,1763,1055,3120,3053,2872,2293,1033,233,18,15435
LGA50280,384,146,190,259,269,217,152,50,29,1700,3371,1253,1755,2546,2381,2248,1843,741,286,16423
LGA50350,213,142,169,162,151,139,102,52,21,1153,2779,1604,2142,2316,2070,1915,1518,815,353,15517
LGA50420,664,507,663,628,545,457,326,246,175,4211,11004,7264,11283,10380,8510,7565,6425,3793,1627,67849
LGA50490,570,461,709,577,483,366,222,153,122,3655,6730,4915,8381,6485,4985,4417,3207,1794,868,41791
LGA50560,23,13,15,16,38,34,37,19,3,213,207,101,117,155,212,284,333,164,50,1616
LGA50630,38,11,20,23,30,27,17,10,0,176,375,138,244,294,324,324,199,83,20,2005
LGA50770,61,16,16,24,36,38,21,21,5,241,364,136,128,208,231,291,237,163,32,1784
LGA50840,82,45,36,55,68,81,67,33,9,473,865,395,408,539,693,887,875,403,104,5172
LGA50910,34,13,8,20,15,12,7,3,0,118,157,63,77,98,135,126,121,86,41,905
LGA50980,742,377,636,551,591,646,468,183,35,4229,4631,2146,3558,3382,3083,3717,3626,1114,138,25391
LGA51080,43,7,13,9,16,25,8,7,0,133,224,86,116,127,123,177,98,55,14,1017
LGA51120,25,21,19,15,30,27,24,17,6,197,179,80,108,113,123,137,136,64,23,968
LGA51190,528,391,585,499,457,378,257,165,108,3371,5429,3551,4177,4049,4247,4309,3640,2064,957,32415
LGA51260,664,320,375,408,424,448,397,224,80,3348,7738,3657,3812,5029,5335,5270,5335,2839,1039,40061
LGA51310,245,154,139,140,178,174,135,84,50,1304,5679,3421,2729,3693,4281,3505,2526,1618,957,28418
LGA51330,916,827,907,733,620,509,319,249,122,5199,17397,13571,14490,13722,11426,9792,7894,4215,1562,94067
LGA51400,273,182,126,146,181,134,105,39,15,1207,4024,2215,1802,2335,2583,2154,1538,662,132,17447
LGA51470,12,14,3,20,12,7,13,7,0,94,66,48,54,90,68,97,93,47,4,567
LGA51540,241,158,199,161,183,180,160,73,16,1364,1194,619,914,851,972,1348,1569,593,98,8164
LGA51610,56,20,13,40,50,32,26,9,0,243,316,141,116,192,253,250,187,66,9,1530
LGA51680,72,57,40,44,76,90,60,28,12,477,1112,652,474,655,883,935,623,298,74,5707
LGA51710,27,51,197,124,104,59,40,6,0,618,280,155,392,321,318,264,205,42,4,1979
LGA51750,92,107,85,64,85,78,73,51,59,696,1773,1558,1155,1159,1434,1234,1133,991,522,10949
LGA51820,1428,961,1036,1038,929,726,544,335,182,7178,22912,13834,17264,17903,15271,12482,9213,4689,1796,115368
LGA51860,22,10,21,17,17,38,25,12,0,171,128,52,77,84,76,143,89,42,10,709
LGA51890,215,102,104,112,119,114,81,48,23,918,1551,912,902,993,1117,1257,1124,548,179,8585
LGA51960,161,147,284,261,265,185,64,15,5,1383,686,464,765,684,780,645,339,88,14,4478
LGA52030,14,19,14,13,25,34,22,19,6,173,137,59,87,92,109,224,214,103,23,1052
LGA52100,10,11,10,7,12,12,13,3,0,74,167,79,109,116,113,134,152,68,38,964
LGA52170,47,62,41,63,55,59,39,48,43,451,1245,1004,827,811,1082,1037,890,541,205,7636
LGA52240,25,14,8,13,20,19,21,11,0,136,200,79,87,133,156,173,135,78,12,1043
LGA52310,22,9,8,9,12,12,9,11,0,100,141,65,79,72,128,161,138,60,12,864
LGA52380,3,3,9,9,15,17,11,4,0,65,8,45,102,74,102,110,89,29,0,559
LGA52450,24,19,8,13,14,13,14,5,0,111,259,254,149,147,138,153,136,62,24,1318
LGA52520,55,17,23,45,31,46,24,16,3,266,298,113,169,206,151,219,131,74,32,1392
LGA52590,34,45,88,72,83,82,76,26,13,519,480,253,421,412,474,645,641,263,70,3649
LGA52660,235,113,124,107,156,113,115,101,94,1153,2987,1500,1747,1842,1770,1662,1372,856,358,14086
LGA52730,146,69,73,87,117,103,115,56,19,792,1099,523,435,727,823,1025,1002,538,160,6328
LGA52800,403,249,352,276,259,242,163,42,6,1991,1761,1139,1546,1205,1161,1265,936,198,34,9242
LGA52870,71,48,44,46,61,57,71,49,9,461,1024,537,483,649,801,949,903,454,120,5931
LGA52940,16,9,3,4,14,10,7,3,0,64,139,55,51,83,96,86,119,38,10,685
LGA53010,26,9,11,20,27,27,19,9,0,151,123,39,77,96,103,112,83,38,4,670
LGA53080,30,21,44,24,64,43,26,6,0,264,87,83,159,105,213,188,161,46,10,1048
LGA53150,85,58,39,74,68,53,50,53,74,558,1362,895,710,893,1156,1046,813,463,259,7605
LGA53220,193,423,1715,1673,1446,951,166,25,0,6603,1566,1584,4953,4692,4062,2818,805,125,9,20614
LGA53290,377,200,203,210,255,214,167,122,29,1780,2717,1529,1568,1660,1867,1872,1461,895,284,13849
LGA53360,72,44,87,58,72,79,98,36,6,544,844,470,898,768,731,1025,1265,416,44,6465
LGA53430,364,321,436,395,447,362,272,176,150,2920,4560,3234,4389,4443,4284,4344,3522,1892,876,31539
LGA53570,69,40,62,43,62,78,96,50,3,507,774,456,581,540,707,837,905,451,84,5336
LGA53640,37,14,11,19,14,17,20,10,0,141,250,97,182,157,148,178,140,34,8,1205
LGA53710,19,19,4,12,23,21,18,14,3,123,165,75,67,112,121,158,157,67,24,940
LGA53780,1994,1381,1653,1571,1208,817,587,379,256,9846,26295,16183,17259,19420,15724,12590,9967,5071,1864,124367
LGA53800,1076,626,636,683,612,528,413,240,114,4932,7870,4561,4604,4810,5174,5090,4166,2193,842,39311
LGA53920,258,105,128,128,115,108,91,35,9,983,989,667,752,653,578,585,500,125,17,4870
LGA53990,445,282,213,236,250,262,186,108,42,2023,5964,3143,3113,3619,3555,3529,2840,1391,394,27553
LGA54060,70,39,55,59,52,98,96,60,8,541,569,302,269,387,479,673,741,388,81,3893
LGA54130,27,13,10,18,20,17,14,3,0,133,247,73,133,161,147,185,146,42,10,1142
LGA54170,1562,1092,917,1122,1266,1050,736,446,278,8466,29839,19062,15776,20727,21990,20733,17272,7717,2839,155950
LGA54200,740,451,396,504,437,387,275,196,99,3492,11346,6677,6197,7748,7552,6896,5990,3511,1264,57181
LGA54280,818,549,853,793,668,616,348,92,31,4775,6412,3686,5139,4684,4145,3679,1949,697,197,30581
LGA54310,926,608,1313,1391,1153,876,349,67,6,6690,5631,2576,4997,5350,4197,3000,1392,360,24,27539
LGA54340,130,68,66,65,48,36,47,24,13,505,781,503,535,479,485,521,419,226,94,4054
LGA54410,15,20,14,7,26,26,20,14,4,133,149,100,102,111,151,196,150,110,43,1110
LGA54480,14,5,6,13,15,9,10,6,0,61,110,37,60,79,81,48,46,18,0,480
LGA54550,33,15,18,29,22,41,20,22,4,202,361,121,175,248,230,317,199,137,55,1846
LGA54620,27,16,20,19,16,25,15,8,8,145,143,94,148,155,171,191,123,48,23,1096
LGA54690,0,0,3,4,4,0,0,0,0,12,64,17,27,39,55,58,60,24,3,354
LGA54760,22,9,9,12,19,9,4,4,0,101,165,27,75,100,115,100,82,39,10,719
LGA54830,826,613,935,843,568,307,180,79,22,4376,10369,5553,7507,7488,5470,3998,2640,1293,410,44736
LGA54900,9,16,7,22,23,30,10,7,6,128,238,100,149,185,178,198,126,58,12,1248
LGA54970,26,133,450,390,435,302,47,0,0,1795,131,306,920,834,874,681,140,21,0,3909
LGA55040,67,196,461,387,303,214,60,8,0,1694,261,380,930,781,640,497,205,32,5,3732
LGA55110,1362,792,664,714,804,688,641,559,387,6609,15694,9195,8688,9358,10271,11054,11522,7405,2668,85859
LGA55180,147,89,76,100,153,144,102,53,18,882,1504,898,929,987,1231,1511,1161,605,209,9036
LGA55250,33,85,175,139,147,103,45,11,0,733,171,253,506,410,422,363,197,47,0,2372
LGA55320,956,725,637,698,781,712,644,527,417,6095,17905,12630,10708,13119,13433,12569,11395,6727,3415,101906
LGA55390,0,54,125,127,109,81,29,6,0,528,20,143,311,312,284,211,75,11,0,1372
LGA55460,71,57,61,65,55,64,50,23,6,445,585,340,384,370,415,444,363,155,68,3126
LGA55530,9,0,3,6,20,32,32,16,3,124,81,24,40,57,72,106,99,41,4,530
LGA55600,59,43,42,34,47,54,39,21,4,345,434,235,253,244,318,355,277,141,47,2312
LGA55670,42,26,15,17,14,29,45,16,3,199,147,72,61,66,80,105,127,51,20,735
LGA55740,88,91,70,72,83,80,51,43,33,611,1539,1177,968,1110,1305,1078,929,566,218,8894
LGA55810,71,54,121,138,127,104,42,7,0,668,124,99,227,252,254,240,137,24,3,1356
LGA55880,7,4,3,6,13,9,3,0,5,53,75,20,45,64,73,79,49,13,16,440
LGA55950,17,5,7,7,18,9,12,9,7,87,119,42,60,65,81,93,80,46,9,598
LGA56090,414,472,862,801,625,451,267,133,51,4070,6499,4250,4077,4712,5394,5384,4317,2350,734,37725
LGA56160,10,0,0,4,3,0,5,0,0,24,32,7,23,24,26,22,35,0,0,169
LGA56230,330,185,146,163,200,193,183,113,69,1588,3275,1834,1669,1870,2143,2332,2337,1362,399,17219
LGA56300,47,11,19,30,34,39,38,35,6,245,209,81,102,189,177,288,329,144,26,1553
LGA56370,16,10,17,10,16,16,18,11,12,135,150,39,105,81,109,105,82,62,39,772
LGA56460,128,92,85,79,71,63,55,31,8,607,844,656,534,526,596,640,537,319,162,4801
LGA56580,185,146,119,133,153,123,140,100,84,1177,4168,3025,1826,2464,3139,2722,2478,1540,708,22071
LGA56620,46,20,39,31,31,29,4,7,0,201,294,245,239,218,206,155,58,21,3,1441
LGA56730,304,194,247,252,211,168,139,84,43,1638,2064,1225,1201,1259,1455,1596,1403,707,232,11143
LGA56790,95,62,52,64,88,131,140,64,13,705,560,250,310,412,493,856,981,387,93,4349
LGA56860,9,9,0,4,14,10,11,3,0,65,38,34,14,20,42,43,52,10,4,253
LGA56930,22,28,3,13,7,14,8,9,4,110,294,327,109,110,212,219,174,98,45,1582
LGA57000,28,29,71,109,67,72,27,6,4,411,84,80,196,221,198,190,81,31,11,1083
LGA57080,322,686,1223,859,702,571,426,232,99,5108,2331,5285,9062,5431,3397,3057,2280,1111,382,32341
LGA57140,17,11,12,5,14,11,7,11,3,94,166,80,87,96,116,179,157,97,26,998
LGA57210,117,64,67,101,94,102,76,27,12,660,898,475,459,556,736,855,788,325,116,5217
LGA57280,600,408,885,825,722,561,203,46,6,4253,3894,1749,3672,3460,2688,2164,857,206,35,18727
LGA57350,42,14,23,24,48,48,52,20,7,277,152,40,93,76,120,152,171,87,40,935
LGA57420,36,29,71,48,77,65,20,9,4,359,368,193,455,343,419,414,234,119,30,2574
LGA57490,2417,1433,1455,1327,1199,912,612,497,341,10192,29349,16518,17549,17475,16928,14660,10422,6039,2055,131013
LGA57630,0,13,39,23,28,26,0,4,0,140,4,24,46,29,40,73,47,22,0,279
LGA57700,560,238,318,383,314,232,147,64,20,2270,8002,3617,4653,4552,3853,3208,2066,929,254,31120
LGA57770,58,25,44,59,57,120,127,54,8,552,352,130,333,298,316,625,659,216,14,2951
LGA57840,378,364,419,313,316,318,274,219,232,2823,6268,5931,6368,5628,5142,5007,4595,2467,1234,42641
LGA57910,2504,1689,2341,2146,1770,1361,1116,782,436,14146,38208,24377,36149,33938,27481,23505,19530,12409,5785,221377
LGA57980,201,125,174,165,147,122,139,103,61,1230,2793,1809,2585,2408,2124,1949,1874,1152,432,17127
LGA58050,2496,1506,1655,1597,1439,1081,700,356,205,11038,33272,19046,22598,22291,19078,16158,10685,5194,1763,150086
LGA58190,13,3,3,7,10,11,8,4,0,55,65,29,42,36,61,70,34,27,9,374
LGA58260,29,5,22,23,15,18,8,4,0,118,110,38,67,92,79,90,75,45,6,608
LGA58330,86,43,57,53,83,128,83,52,8,580,638,345,324,401,618,882,789,346,69,4399
LGA58400,7,3,5,4,7,8,6,8,0,42,26,27,36,17,38,55,53,23,0,279
LGA58470,5,5,4,3,0,3,11,5,0,38,53,15,23,37,41,62,68,14,0,310
LGA58510,367,411,620,495,424,319,213,238,275,3364,5205,4579,7558,5915,4366,3737,2849,1659,1039,36911
LGA58540,24,6,8,18,14,20,25,10,0,124,128,43,68,100,107,149,109,48,12,765
LGA58570,288,286,600,411,333,259,144,89,51,2455,5193,3772,7885,6091,4546,3708,2425,1187,637,35453
LGA58610,37,19,22,19,30,25,36,21,3,216,281,135,160,180,193,251,261,148,46,1657
LGA58680,9,15,7,15,19,18,15,10,0,104,73,50,36,55,95,82,75,44,9,514
LGA58760,3224,1842,1713,1834,1704,1191,773,432,166,12881,45955,26866,28001,29891,27415,20767,14324,7602,2576,203401
LGA58820,62,48,30,52,65,59,51,31,28,435,690,409,351,475,575,637,565,289,98,4096
LGA58890,38,9,8,22,13,18,9,5,3,120,133,50,58,77,120,142,103,47,24,752
LGA59030,3,5,14,21,17,18,3,4,0,90,44,18,50,65,69,79,38,18,8,395
LGA59100,28,9,18,8,19,35,16,15,3,146,125,45,70,63,75,124,76,51,11,659
LGA59170,23,5,16,21,10,16,14,6,3,115,217,68,112,151,111,153,106,68,17,993
LGA59250,22,52,152,107,104,53,19,0,0,516,91,129,343,259,257,145,66,9,0,1303
LGA59310,26,18,12,14,15,11,11,3,0,116,234,107,143,167,153,189,184,78,20,1276
LGA59320,14,4,4,9,7,11,12,3,0,57,97,37,42,49,50,81,58,16,0,430
LGA59330,0,0,6,3,6,0,7,13,0,56,60,37,49,45,55,72,74,57,8,459
LGA59340,440,193,318,278,293,266,174,36,16,2024,2006,972,1747,1559,1498,1695,1237,237,33,10994
LGA59350,7,46,180,114,123,81,27,7,0,588,29,78,301,181,211,165,70,21,4,1060
LGA59360,14,36,108,111,115,98,30,3,0,512,116,117,346,333,375,365,167,52,20,1884
LGA59370,50,21,32,34,46,69,50,51,14,364,489,214,252,338,374,620,652,372,106,3421
LGA59799,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
