LGA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,713,631,1459,1735,2065,1813,488,56,5,8958,402,156,464,369,408,870,1770,1356,587,6380,53,43,115,101,115,113,102,103,70,820,1169,836,2033,2208,2583,2800,2356,1515,659,16157,357,753,1797,1885,2431,1859,405,40,3,9532,884,430,911,1219,1206,1386,621,104,14,6771,32,46,173,115,144,208,60,16,4,803,31,38,53,42,62,40,18,10,0,286,1306,1263,2927,3258,3841,3500,1108,171,18,17393,44,48,75,51,55,53,6,0,0,348,111,29,59,38,37,59,26,0,0,362,155,82,137,89,94,115,30,0,0,712,1460,1344,3069,3348,3936,3609,1138,173,21,18101,865,303,822,653,699,1426,3233,2434,1010,11453,121,101,262,211,250,248,213,175,109,1696,2448,1750,4154,4214,4881,5284,4591,2784,1144,31252
LGA50210,1465,1989,5226,5780,4102,2860,645,45,9,22117,1080,512,1742,1655,1071,1643,2862,1523,486,12558,130,125,324,321,206,166,143,135,102,1656,2680,2629,7292,7752,5379,4661,3653,1696,595,36333,502,1944,6570,7894,5505,3646,618,41,0,26726,1674,1563,2772,3288,2201,1828,720,102,0,14155,78,115,557,412,282,270,66,8,0,1797,37,95,232,159,116,72,15,5,4,731,2304,3719,10132,11755,8105,5815,1423,151,9,43411,148,243,428,337,311,184,26,0,0,1682,399,144,251,231,134,110,33,0,0,1311,549,389,683,567,441,302,66,0,0,2994,2856,4104,10815,12323,8544,6111,1486,153,9,46404,2248,865,2258,2134,1643,2547,5124,2890,853,20562,263,253,646,622,456,361,261,228,160,3255,5365,5223,13720,15076,10646,9021,6873,3278,1023,70226
LGA50250,62,210,650,537,429,350,86,8,0,2340,43,37,140,75,77,158,281,70,0,889,26,88,236,155,163,142,89,25,0,925,133,335,1023,767,665,651,459,105,0,4149,58,369,1579,1563,1458,1020,153,13,0,6211,62,63,223,273,161,139,31,4,0,959,13,36,167,169,164,169,58,3,0,777,0,10,36,38,35,20,6,3,0,143,136,471,2002,2044,1822,1349,246,20,0,8091,4,10,16,11,14,12,8,0,0,77,7,3,7,8,6,8,3,0,0,43,9,18,27,25,18,19,7,0,0,115,148,487,2027,2062,1841,1366,261,17,0,8203,91,56,175,123,127,284,570,163,14,1601,61,216,913,873,901,646,212,49,3,3876,297,758,3120,3053,2872,2293,1033,233,18,13677
LGA50280,237,151,705,1114,979,757,213,25,0,4187,105,26,148,207,137,329,656,325,145,2080,22,24,81,97,103,76,58,12,17,494,363,204,933,1422,1222,1167,924,362,166,6759,85,174,758,1060,1044,691,179,29,0,4016,325,146,486,828,712,662,288,45,3,3494,30,12,96,118,93,105,27,7,0,483,12,4,35,33,29,18,8,3,0,146,453,338,1364,2035,1873,1479,508,77,12,8147,10,6,18,25,26,27,5,0,0,128,18,7,18,15,22,26,3,5,0,119,33,21,37,44,50,53,14,5,0,242,481,357,1404,2084,1929,1527,517,86,12,8389,249,51,182,276,239,551,1216,619,249,3639,51,45,167,189,217,164,117,42,19,1017,791,458,1755,2546,2381,2248,1843,741,286,13047
LGA50350,216,338,890,1009,868,665,166,13,0,4156,127,62,157,182,156,305,626,423,223,2246,14,21,56,40,45,36,32,35,9,285,352,413,1103,1231,1070,1008,817,469,231,6686,62,295,1140,1164,1180,818,148,0,0,4805,278,313,450,617,427,423,168,24,0,2715,13,18,92,74,50,39,15,0,0,297,11,9,24,21,12,3,3,0,0,76,355,634,1704,1872,1669,1282,333,37,0,7887,12,36,54,44,40,34,5,0,0,224,45,21,30,32,22,24,11,0,0,189,55,52,83,77,64,55,16,0,0,412,419,690,1784,1950,1730,1345,350,37,0,8304,296,120,241,268,259,491,1109,724,328,3846,27,54,116,97,84,85,63,60,20,587,737,864,2142,2316,2070,1915,1518,815,353,12739
LGA50420,870,1722,4769,4140,3524,2548,705,60,0,18347,601,233,779,851,671,1194,2596,1815,916,9666,51,64,217,186,138,99,99,123,109,1076,1518,2019,5761,5179,4331,3842,3399,1998,1027,29088,188,1334,6211,5598,4649,3153,674,47,0,21841,1187,1683,2494,2425,1851,1648,769,99,5,12164,43,102,390,318,166,208,57,8,0,1284,22,82,175,110,78,51,8,4,0,542,1449,3195,9264,8448,6739,5064,1506,158,12,35829,50,124,252,199,213,195,23,0,0,1063,249,123,159,120,125,106,34,0,0,914,299,243,408,319,339,301,59,0,0,1976,1743,3432,9668,8774,7084,5366,1575,157,12,37811,1304,512,1162,1210,1140,1967,4657,3404,1446,16803,112,156,446,396,298,230,190,230,173,2234,3157,4102,11283,10380,8510,7565,6425,3793,1627,56847
LGA50490,484,1152,3189,2313,1793,1345,342,28,0,10648,346,254,682,610,443,687,1273,863,462,5625,43,92,246,193,130,102,82,91,88,1078,877,1504,4117,3117,2367,2134,1705,982,550,17350,146,1088,4375,3381,2584,1780,343,22,0,13729,624,976,1730,1289,881,854,363,49,7,6775,27,66,269,187,142,141,43,5,0,873,7,61,159,68,63,34,9,4,3,411,809,2187,6533,4928,3672,2808,762,81,9,21783,45,84,202,156,142,121,10,0,0,756,109,92,129,83,78,55,15,4,0,560,154,178,328,233,221,171,28,4,0,1315,962,2370,6863,5160,3897,2977,787,81,9,23097,791,471,991,891,758,1201,2254,1557,722,9637,103,231,533,434,335,244,161,157,138,2331,1850,3067,8381,6485,4985,4417,3207,1794,868,35062
LGA50560,18,9,39,55,71,76,36,9,0,307,15,5,9,20,24,60,105,54,22,309,3,4,4,4,13,19,18,10,5,84,33,19,55,79,106,153,158,73,20,700,16,8,49,60,81,77,33,4,0,326,4,8,25,34,44,56,40,10,0,217,3,6,3,3,5,14,6,0,0,43,0,0,0,3,5,0,3,0,0,17,22,17,75,101,135,152,82,11,0,603,0,4,4,0,4,0,0,0,0,21,6,3,0,6,0,5,3,0,0,25,5,5,8,7,4,6,7,0,0,44,28,21,84,109,140,154,88,11,0,648,25,10,20,26,39,98,207,127,37,584,11,7,16,18,28,31,30,24,7,177,60,44,117,155,212,284,333,164,50,1406
LGA50630,9,33,56,87,86,90,22,3,0,385,20,5,36,24,25,32,64,34,5,236,3,0,8,13,10,8,7,5,0,56,31,30,100,122,123,128,91,43,7,681,8,37,121,163,188,151,35,4,0,708,5,16,30,47,45,59,17,6,0,224,3,3,18,19,34,31,3,0,0,111,0,0,0,7,5,4,0,0,0,19,15,54,174,234,264,240,57,14,0,1067,0,4,12,7,0,7,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,4,12,13,0,10,0,0,0,38,15,60,186,245,264,256,61,14,0,1099,43,6,41,33,35,56,127,61,17,418,8,0,18,13,22,24,11,12,3,113,68,71,244,294,324,324,199,83,20,1631
LGA50770,17,24,48,92,84,78,29,11,0,383,19,4,16,16,13,47,77,52,16,258,3,4,9,13,16,11,4,13,6,74,40,35,66,120,109,139,109,77,20,719,11,27,53,94,117,108,41,21,0,474,15,14,31,54,38,55,29,17,0,249,0,6,7,0,12,6,3,0,0,34,0,3,0,3,5,0,0,0,0,20,30,59,90,156,162,180,79,41,0,786,0,4,3,4,4,10,0,0,0,23,3,0,0,7,0,0,0,0,0,13,4,4,0,6,4,9,0,0,0,36,35,59,89,162,169,187,78,41,0,823,26,8,19,22,31,75,140,100,25,451,4,9,17,21,26,30,17,21,9,142,65,75,128,208,231,291,237,163,32,1423
