LGA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,143,120,202,224,261,375,703,577,227,2831,165,180,297,308,340,405,574,361,157,2782,107,234,327,337,350,393,390,254,72,2460,63,290,454,419,448,483,322,136,67,2684,38,227,602,521,563,564,278,93,14,2905,7,99,388,399,478,412,138,30,15,1971,7,46,316,345,448,382,101,36,20,1709,0,19,205,238,312,239,101,36,10,1145,0,11,211,403,535,410,88,28,8,1695,0,3,39,60,83,73,21,0,5,283,0,3,42,87,136,144,60,16,12,503,159,140,414,329,329,292,271,265,215,2420,0,6,17,6,0,11,8,3,4,52,2446,1760,4170,4217,4883,5293,4596,2786,1142,31301
LGA50210,207,386,589,524,467,509,1196,705,229,4814,228,541,876,822,574,572,760,441,150,4950,162,584,1022,885,657,584,435,246,66,4640,115,741,1440,1332,945,766,382,120,26,5870,61,559,1858,1808,1219,961,334,67,21,6884,29,304,1513,1489,1014,694,235,33,9,5305,7,146,1202,1430,947,642,162,43,3,4584,3,86,692,1048,703,480,90,22,3,3118,9,79,1021,1884,1234,814,133,15,3,5187,0,15,146,395,285,165,28,3,0,1044,0,12,142,396,344,190,54,26,9,1169,327,319,731,705,570,435,339,310,212,3937,7,7,17,12,16,48,60,21,0,176,5366,5231,13733,15092,10657,9069,6932,3295,1023,70401
LGA50250,13,26,23,23,20,29,87,36,3,250,6,10,38,38,24,52,95,28,0,286,3,22,44,42,29,49,58,19,0,268,11,43,65,60,39,69,45,11,0,348,13,65,119,92,80,83,44,15,0,510,11,65,145,100,108,105,44,11,0,590,3,58,182,134,139,128,35,5,0,691,3,34,174,181,158,126,36,3,0,711,13,130,706,688,660,454,78,0,0,2720,0,23,262,297,282,166,30,0,0,1057,5,17,254,372,302,186,39,5,0,1173,68,213,925,894,924,666,224,56,3,3964,0,14,31,14,11,18,8,0,0,102,297,772,3150,3071,2883,2311,1041,241,18,13780
LGA50280,52,30,77,121,121,175,287,137,84,1088,43,64,119,182,170,193,207,119,43,1144,30,65,173,206,170,202,168,60,15,1081,18,73,222,234,250,195,131,54,16,1203,3,43,230,321,298,234,126,32,10,1297,5,26,182,209,175,156,60,20,0,831,0,11,93,215,170,119,57,13,5,685,0,8,62,132,153,85,39,11,0,484,4,5,132,247,210,173,54,14,0,838,0,0,28,65,64,30,15,4,0,213,3,0,22,67,89,66,38,3,4,288,59,43,171,200,230,177,121,59,25,1085,0,9,41,32,8,5,4,0,0,100,795,467,1794,2573,2386,2255,1846,741,284,13143
LGA50350,22,65,93,87,83,108,264,195,141,1049,35,105,118,122,101,131,178,105,49,930,17,88,132,128,107,116,115,73,20,792,24,115,182,162,156,145,81,23,13,900,11,100,277,246,202,209,88,30,8,1165,0,53,243,216,203,149,50,8,3,924,4,33,216,216,178,147,45,9,0,847,0,6,126,174,174,104,22,3,0,613,0,14,246,374,359,212,53,4,0,1251,0,0,47,87,64,42,7,0,0,245,0,4,37,99,104,63,13,4,0,329,33,65,136,108,89,102,79,60,22,692,0,0,3,3,5,6,12,0,0,26,737,867,2149,2314,2075,1927,1532,820,353,12766
LGA50420,122,322,414,305,359,482,1020,918,500,4438,105,478,586,474,485,480,734,450,182,3973,72,453,761,646,478,475,473,268,107,3729,42,482,1160,781,678,607,408,165,54,4378,38,432,1504,1035,851,788,373,91,21,5136,9,270,1275,956,735,599,222,46,10,4140,3,115,1147,896,757,589,163,44,12,3728,0,55,783,786,638,408,141,14,3,2833,0,64,1280,1741,1264,759,204,25,4,5335,0,6,223,425,313,169,32,5,0,1173,0,7,194,543,466,237,57,12,3,1530,151,191,494,449,344,301,255,289,242,2717,4,3,19,21,8,27,21,12,0,111,3161,4105,11302,10399,8523,7586,6451,3803,1634,56959
LGA50490,77,201,284,237,206,281,586,459,249,2590,79,272,442,291,243,277,328,210,95,2239,59,314,584,422,233,228,211,109,55,2221,41,414,926,473,381,342,189,60,22,2845,31,370,1217,724,515,490,180,34,10,3571,4,191,925,626,447,368,104,23,9,2698,6,120,760,559,405,310,87,10,9,2268,3,50,484,427,312,217,51,13,3,1554,5,69,753,851,686,391,97,9,0,2861,0,10,138,227,192,104,19,0,0,695,5,11,129,268,229,124,30,16,5,806,133,262,607,478,370,275,205,205,202,2741,0,11,33,17,25,37,18,8,0,159,1850,3081,8414,6503,5016,4455,3232,1804,868,35218
LGA50560,4,3,9,9,14,24,62,38,7,161,3,8,12,7,17,21,27,15,5,118,5,3,5,12,5,6,22,13,0,75,3,0,15,18,20,13,10,6,5,90,0,0,8,13,23,20,19,3,3,97,0,0,5,17,13,25,9,4,0,76,0,0,9,12,14,14,3,3,0,58,0,0,0,3,13,15,5,0,0,30,0,0,13,17,19,19,10,0,0,75,0,0,0,3,5,0,8,0,0,15,0,0,0,0,4,6,6,0,3,19,10,7,22,16,33,31,34,16,4,181,0,0,0,0,0,0,0,0,0,4,60,44,117,154,212,282,334,164,50,1416
LGA50630,4,0,8,4,18,13,22,10,0,82,0,3,13,15,8,17,16,12,5,96,0,8,11,14,9,20,21,0,4,81,0,5,15,13,17,18,7,3,0,80,3,9,17,14,18,13,12,3,0,92,0,4,19,14,12,19,3,0,0,70,0,7,29,16,27,21,3,0,0,102,0,7,16,22,28,29,0,0,0,109,0,10,57,81,87,67,8,0,0,312,0,0,12,23,26,16,0,0,0,82,0,0,8,25,30,21,6,0,0,84,15,0,20,21,25,26,11,9,3,129,0,3,0,0,0,0,0,0,0,5,68,68,244,294,331,324,199,83,20,1632
LGA50770,0,4,7,8,13,22,37,30,12,130,10,3,6,10,13,22,24,13,0,98,3,5,7,10,13,17,25,15,4,103,0,12,9,25,24,24,14,12,0,126,0,8,11,15,23,26,14,5,0,107,0,5,10,18,16,21,11,7,0,85,0,3,14,20,11,11,3,3,0,67,0,0,16,5,19,12,4,3,0,58,0,0,3,22,14,12,7,0,0,63,0,0,3,3,0,8,0,0,0,22,0,0,0,5,10,9,5,0,0,31,9,7,15,18,27,36,25,22,7,172,0,0,0,0,0,0,0,0,0,0,64,73,128,208,231,291,237,163,32,1423
