LGA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50080,14153,14559,28713,3,0,3,0,0,4,59,68,123,33,51,78,5,6,13,5,3,7,7,3,15,80,131,206,3,6,5,11,11,20,72,59,129,18,52,70,4,5,9,0,0,3,31,37,69,76,71,142,8,17,26,5,11,16,0,3,3,44,42,85,3,4,6,109,122,233,330,329,659,0,4,9,239,360,597,21,22,45,13,24,37,220,244,467,20,19,38,5,14,19,59,89,148,1474,1713,3185,59,84,143,20,16,41,368,371,742,1023,925,1940,31,23,56,18606,19494,38102
LGA50210,27164,27612,54775,129,105,234,54,45,100,69,89,153,272,395,663,29,24,57,34,33,62,22,27,52,144,169,316,4,7,10,65,66,132,2829,2716,5549,225,363,581,70,56,124,53,48,102,180,173,348,162,118,277,27,75,100,116,135,252,33,26,55,567,741,1316,50,49,100,247,285,538,1439,1416,2857,184,166,347,887,1172,2059,42,63,100,382,398,782,759,785,1544,390,398,787,35,85,122,165,340,501,3985,4171,8159,121,144,269,47,109,155,2179,2429,4603,2015,2031,4048,75,114,184,45238,47183,92423
LGA50250,5307,2899,8202,7,0,7,0,0,0,13,17,35,16,13,31,8,3,10,0,0,0,5,0,9,26,18,41,0,0,0,4,4,9,62,18,72,20,35,60,9,0,9,4,0,4,105,38,143,17,9,31,0,7,6,5,0,11,8,4,10,28,14,42,4,0,4,17,12,27,510,262,770,9,3,13,89,68,154,4,3,5,17,9,28,113,32,140,23,9,35,5,10,9,20,46,66,571,220,785,18,13,28,5,9,13,310,154,465,3099,1047,4144,63,44,102,10516,5022,15541
LGA50280,5592,5672,11269,4,0,0,0,0,0,27,52,77,6,14,23,0,0,0,0,3,3,0,3,3,57,88,144,3,3,9,0,11,12,21,16,36,10,32,45,0,0,4,0,0,0,49,31,82,55,45,108,4,27,31,16,13,31,0,0,0,5,21,26,0,0,0,30,37,69,237,222,456,0,0,0,36,65,101,0,7,10,12,13,30,76,94,175,8,5,6,9,17,22,10,31,39,720,797,1517,61,59,123,12,17,24,284,286,568,689,699,1385,82,25,101,8115,8410,16524
LGA50350,5183,5397,10573,3,0,3,5,4,8,13,20,34,45,66,112,20,32,50,6,11,15,8,0,4,27,43,67,8,3,11,11,14,24,139,148,284,19,30,45,5,4,11,8,6,14,75,72,145,73,71,147,14,19,33,8,19,30,0,0,0,51,58,106,14,16,31,22,23,48,224,198,420,16,3,26,65,113,178,21,32,52,19,31,51,50,66,118,28,15,42,4,13,16,12,46,60,618,624,1243,30,31,57,50,92,143,296,359,652,355,316,665,8,16,26,7535,8012,15542
LGA50420,19833,19814,39650,53,29,79,43,35,79,92,101,185,525,776,1300,80,89,167,35,29,67,9,22,31,147,198,344,92,107,194,146,178,321,1188,1092,2282,125,219,345,151,118,265,71,74,143,341,279,619,637,621,1261,39,156,197,87,140,232,22,24,41,511,591,1107,152,148,299,114,105,217,760,685,1441,194,71,268,350,530,879,128,202,337,200,257,463,359,399,752,207,179,383,56,121,177,77,235,315,2197,2021,4220,125,117,245,847,1087,1937,2217,2382,4599,1250,1175,2426,47,67,115,33533,34435,67963
LGA50490,11276,10827,22104,169,82,255,126,123,249,27,46,74,441,600,1041,30,30,61,39,27,65,14,16,30,85,79,162,13,9,23,97,124,222,816,633,1448,125,231,361,80,58,139,47,46,97,190,148,336,166,156,329,23,85,109,142,155,298,39,27,67,374,435,811,167,129,294,46,37,86,724,631,1357,319,193,516,457,691,1145,53,76,131,189,220,411,181,175,351,183,147,332,76,130,204,72,195,260,1171,1023,2193,56,68,125,157,236,394,1582,1577,3163,1368,1189,2553,96,57,159,21232,20719,41953
LGA50560,553,550,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,5,0,14,25,18,44,0,0,0,9,13,22,0,0,0,0,0,0,5,9,11,0,0,0,0,0,0,0,0,0,61,70,130,0,3,4,0,0,0,17,21,38,111,101,215,0,5,4,809,809,1620
LGA50630,875,615,1494,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,7,10,4,13,0,0,0,0,0,0,9,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,9,56,39,92,0,0,0,3,7,11,0,0,0,0,5,5,15,11,26,0,0,0,0,0,0,0,4,11,63,54,113,0,0,3,0,0,0,24,18,41,89,72,162,4,0,5,1158,853,2011
LGA50770,671,674,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,25,20,49,0,0,0,0,3,3,0,0,0,0,0,3,3,6,6,0,0,0,0,0,0,0,0,0,52,61,115,0,0,3,0,0,0,12,15,26,108,100,210,0,0,0,890,896,1790
