LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50080,9,12,46,43,55,106,217,349,231,1066,0,5,18,27,38,19,18,12,17,146,122,104,291,241,277,286,277,279,179,2054,1099,1748,4154,4213,4881,5286,4591,2784,1142,29894
LGA50210,33,25,86,151,173,243,377,359,167,1613,0,10,60,78,79,96,74,57,23,481,278,275,662,651,506,418,365,328,212,3691,2461,5220,13703,15062,10638,9008,6867,3272,1023,67265
LGA50250,3,0,6,14,20,37,36,27,3,153,0,0,5,11,14,11,5,5,0,55,63,220,926,889,917,664,224,55,5,3954,175,754,3113,3058,2872,2292,1033,233,18,13554
LGA50280,3,9,27,16,11,15,34,44,46,206,0,3,0,6,3,0,0,4,0,16,55,54,170,198,224,179,145,77,59,1158,309,458,1755,2540,2381,2248,1843,741,286,12560
LGA50350,8,3,9,23,24,59,82,133,90,432,0,4,9,9,14,19,15,12,9,85,23,56,122,99,84,90,84,73,26,658,343,865,2145,2314,2075,1917,1520,812,353,12334
LGA50420,21,14,75,107,162,261,444,613,400,2085,0,4,38,44,96,101,95,104,80,572,113,163,444,408,327,288,308,336,231,2616,1386,4084,11281,10370,8502,7555,6418,3795,1627,55006
LGA50490,4,13,54,77,101,108,207,309,194,1061,4,9,68,60,68,61,51,30,25,372,102,230,572,455,380,280,225,193,166,2609,906,3056,8372,6484,4985,4410,3209,1794,868,34083
LGA50560,0,4,0,0,0,4,16,32,7,68,0,0,0,0,0,0,0,0,0,0,11,7,16,20,30,33,39,25,7,181,37,44,117,155,212,284,333,164,50,1385
LGA50630,0,0,0,0,3,4,10,9,9,31,0,0,0,4,0,0,0,0,0,4,9,0,20,23,28,29,18,16,3,147,34,71,244,294,324,324,199,83,20,1597
LGA50770,0,0,0,0,6,6,8,16,12,40,0,0,0,0,0,0,0,3,0,3,4,9,16,18,28,31,19,24,0,157,31,75,128,208,226,291,237,163,32,1385
LGA50840,0,0,0,0,9,13,32,42,16,119,0,0,0,0,0,0,0,0,0,0,15,19,23,51,53,67,73,49,17,365,107,154,408,539,689,887,875,403,104,4175
LGA50910,0,7,0,0,4,3,12,13,12,44,0,0,0,0,0,0,0,0,0,4,3,4,6,16,7,15,9,6,3,72,14,34,77,98,135,126,121,86,41,732
LGA50980,12,11,18,28,39,50,150,107,33,447,8,0,7,15,13,17,11,12,8,83,136,186,615,472,499,562,407,186,32,3098,559,1145,3548,3382,3083,3714,3626,1114,138,20313
LGA51080,0,0,6,5,3,9,5,11,4,37,0,0,0,0,0,0,0,0,0,7,4,4,14,12,12,20,9,8,0,91,25,44,116,127,123,177,98,55,14,768
LGA51120,0,0,0,0,4,0,10,8,6,26,0,0,0,0,0,0,0,0,0,0,9,14,18,17,27,27,26,13,9,145,23,46,108,113,123,137,136,64,23,771
LGA51190,3,15,28,33,53,86,223,292,204,933,4,0,17,9,22,29,20,15,18,135,88,116,340,269,292,250,243,191,178,1966,815,1800,4177,4050,4243,4309,3636,2061,957,26040
LGA51260,10,11,21,26,38,72,165,256,232,828,0,4,34,9,17,15,12,8,13,111,110,71,293,279,277,339,344,269,164,2145,909,1392,3812,5026,5337,5270,5330,2837,1039,30960
LGA51310,0,0,0,6,5,10,38,79,96,229,0,0,3,4,7,13,4,5,13,53,23,25,83,67,73,73,118,120,109,695,687,1453,2728,3693,4281,3505,2526,1618,958,21459
LGA51330,21,32,103,142,210,277,443,496,265,1993,8,19,83,90,84,120,140,108,72,725,156,344,760,506,364,345,266,294,178,3221,2516,7599,14467,13703,11420,9781,7880,4208,1562,73134
LGA51400,4,6,11,16,16,27,63,72,19,231,0,0,9,9,0,4,4,5,0,30,58,29,73,89,99,95,85,47,20,596,550,852,1799,2332,2583,2154,1541,659,132,12604
LGA51470,0,0,0,0,3,0,5,6,0,20,0,0,0,0,0,0,0,0,0,0,8,0,3,20,12,9,10,9,5,80,12,30,54,90,68,97,93,47,4,496
LGA51540,6,3,7,8,36,35,95,85,24,300,0,0,0,3,11,9,9,0,4,46,58,85,193,147,166,150,164,77,14,1053,176,355,914,851,972,1348,1569,593,98,6880
LGA51610,0,0,0,0,0,4,8,8,0,30,0,0,0,0,0,0,0,4,0,4,8,7,6,31,32,26,23,4,0,141,43,47,116,192,253,250,187,66,9,1170
LGA51680,0,0,3,0,4,14,23,29,17,93,0,0,4,0,0,0,0,5,0,6,33,14,38,35,68,82,63,40,14,382,178,245,474,655,883,935,621,298,74,4362
LGA51710,0,0,0,4,10,17,42,10,3,86,0,0,0,0,6,0,16,9,0,28,7,43,195,119,101,64,42,3,0,582,22,93,392,321,315,264,205,42,4,1661
LGA51750,0,0,0,3,6,3,10,20,20,60,0,0,0,0,0,3,4,0,0,6,36,37,59,48,54,47,51,54,60,450,313,705,1155,1152,1434,1234,1133,991,522,8626
LGA51820,16,20,55,89,182,317,708,859,408,2660,8,15,34,41,61,95,114,131,100,598,199,272,671,625,464,412,484,493,350,3973,2890,7333,17254,17892,15260,12464,9198,4686,1796,88777
LGA51860,0,0,6,0,0,5,3,0,0,14,0,0,0,0,0,24,23,17,10,73,5,8,18,18,19,35,23,14,0,151,9,41,80,81,78,144,84,42,10,563
LGA51890,3,4,4,9,16,32,94,87,42,293,0,0,0,4,0,8,10,3,0,25,51,32,76,91,86,77,94,83,59,642,254,406,902,990,1117,1258,1129,545,179,6784
LGA51960,0,0,5,7,9,22,32,12,4,91,0,0,0,0,0,0,0,4,0,11,51,85,282,253,261,178,74,22,5,1220,136,260,765,685,778,645,338,88,14,3719
LGA52030,0,0,0,0,0,6,3,9,3,28,0,0,0,0,0,0,0,0,0,0,3,9,11,9,17,28,20,15,11,126,15,32,87,92,109,224,214,103,23,904
LGA52100,0,0,0,0,0,0,6,9,15,29,0,0,0,0,0,0,0,0,0,0,4,0,3,7,6,9,8,7,8,53,21,50,109,116,107,134,152,68,38,789
LGA52170,0,0,0,0,0,0,8,17,12,36,0,0,0,0,0,4,0,0,0,5,12,14,20,36,26,36,32,45,52,267,200,452,824,811,1082,1037,890,541,205,6045
LGA52240,0,0,0,0,3,4,13,17,0,36,0,0,0,5,0,5,0,0,0,11,9,3,10,12,17,23,15,18,5,106,23,41,87,133,156,173,135,78,12,833
LGA52310,0,0,5,0,3,0,4,10,0,20,0,0,0,0,0,0,0,0,0,4,4,4,9,6,9,16,12,12,3,73,14,41,79,72,128,161,138,60,12,714
LGA52380,0,0,0,0,0,0,7,9,0,18,0,0,0,0,0,0,0,0,0,0,0,4,8,3,9,11,16,0,0,58,8,34,102,74,102,110,89,29,0,554
LGA52450,0,0,5,0,0,5,14,5,9,42,0,0,0,0,0,0,0,0,0,3,19,0,5,18,13,9,11,9,0,81,59,55,149,147,138,153,136,62,24,919
LGA52520,0,0,0,0,0,9,3,13,3,41,0,0,0,5,0,0,0,0,0,5,6,8,19,37,27,38,22,16,4,183,22,68,169,206,151,219,131,74,32,1084
LGA52590,0,0,0,5,4,14,27,31,18,89,0,0,3,3,0,0,0,4,0,10,16,27,72,66,74,63,70,37,9,434,66,141,421,412,474,645,641,263,70,3127
LGA52660,5,0,9,17,8,32,74,126,62,331,0,0,3,5,6,3,9,4,0,33,14,31,66,57,92,69,89,102,105,627,376,675,1747,1842,1770,1662,1372,856,356,10651
LGA52730,0,0,4,3,8,11,24,27,16,93,0,0,0,0,0,0,5,4,0,7,37,16,63,78,98,90,102,63,28,568,138,118,435,727,821,1025,1002,538,158,4964
LGA52800,18,11,45,37,51,69,62,40,4,335,3,4,11,0,20,19,20,20,15,115,85,137,284,211,220,229,159,40,4,1363,349,654,1541,1198,1156,1263,936,198,34,7335
LGA52870,3,0,7,8,15,16,35,61,25,166,0,0,7,0,4,4,6,6,3,26,26,8,31,34,42,42,65,60,17,327,158,218,483,649,801,949,903,454,120,4739
LGA52940,0,0,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,3,7,3,3,7,5,13,3,0,47,11,40,51,83,96,86,119,38,10,534
LGA53010,0,0,0,0,0,3,3,10,0,15,0,0,0,0,0,0,0,0,0,0,5,3,13,20,27,26,18,7,4,127,12,19,77,96,103,112,83,38,4,543
LGA53080,0,0,0,0,0,11,4,9,0,36,0,0,0,0,0,0,0,0,0,0,7,18,45,26,62,39,27,5,0,228,17,65,159,105,213,188,161,49,10,955
LGA53150,0,0,0,0,0,7,13,48,30,96,0,0,0,0,0,0,6,0,4,7,11,3,24,49,26,27,46,74,101,357,195,364,710,893,1156,1046,813,463,259,5899
LGA53220,9,4,12,16,41,53,46,21,0,210,0,0,7,9,18,19,3,9,0,71,75,343,1662,1618,1405,900,159,22,5,6193,291,1158,4947,4689,4053,2812,801,125,9,18901
