LGA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
LGA50080,225,8,0,0,0,233,137,5,0,0,0,141,78,9,0,0,0,88,176,4,0,0,0,185,261,5,0,3,0,272,936,21,0,0,0,962,1036,11,0,0,0,1054,957,13,0,0,3,972,310,8,0,0,0,321,214,4,0,0,0,220,124,3,0,0,0,130,250,10,0,0,0,259,4704,89,12,7,9,4818
LGA50210,563,23,0,0,0,583,217,23,0,0,0,246,199,15,3,0,0,216,412,54,0,6,0,474,627,67,5,0,0,705,2431,146,11,0,0,2583,3625,122,5,0,4,3751,4557,45,0,0,0,4599,1832,10,0,0,3,1844,1077,7,0,0,0,1084,588,11,0,0,0,600,861,19,5,0,0,885,16983,541,35,9,8,17578
LGA50250,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,9,0,15,9,0,0,6,0,9,4,0,0,0,3,10,0,0,0,0,0,0,5,0,0,3,0,7,7,0,0,4,0,9,0,0,0,3,0,0,36,3,0,24,8,68
LGA50280,88,0,0,0,3,96,35,0,0,0,0,39,35,0,0,0,0,34,69,3,0,0,0,72,88,8,0,0,0,99,331,11,0,0,0,353,448,14,0,0,0,461,480,3,3,0,0,488,210,3,0,0,0,211,160,0,0,0,0,157,88,0,0,0,3,93,123,3,0,0,0,132,2162,55,9,4,8,2230
LGA50350,97,18,3,0,0,116,43,8,0,0,0,49,31,3,0,0,0,39,59,16,3,0,0,74,75,19,6,0,0,96,264,62,20,0,0,351,365,80,20,0,0,460,595,61,8,0,0,662,249,19,0,0,3,275,184,9,5,0,0,193,104,4,4,0,0,109,114,17,0,0,0,131,2170,312,75,0,6,2555
LGA50420,407,80,15,0,0,509,114,38,10,0,0,161,101,22,18,0,0,144,189,56,41,0,0,287,256,76,54,0,0,381,804,285,174,0,0,1264,1260,364,115,0,0,1743,2048,312,83,0,0,2449,1035,113,21,0,0,1172,881,89,9,0,0,980,441,48,12,0,0,503,459,60,24,0,0,550,7999,1550,589,4,4,10145
LGA50490,201,32,15,0,0,247,69,9,3,0,0,85,45,8,4,0,0,50,116,23,17,0,0,156,145,45,33,0,0,223,510,187,116,0,0,812,759,197,136,0,3,1090,955,173,114,0,0,1244,417,63,40,0,0,517,345,39,29,0,0,414,180,22,13,0,0,222,209,34,27,0,0,272,3954,831,542,0,5,5334
LGA50560,20,0,0,0,0,20,5,0,0,0,0,5,6,0,0,0,0,6,15,0,0,0,0,15,21,0,0,0,0,21,37,0,0,0,0,41,15,0,0,0,0,15,26,0,0,0,0,29,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,12,0,0,0,0,12,175,0,0,5,0,180
LGA50630,8,0,0,0,0,8,4,0,0,0,0,4,6,0,0,0,0,6,6,0,0,0,0,6,12,0,0,0,0,12,43,0,0,0,0,46,35,0,0,0,0,35,47,0,0,0,0,47,11,0,0,0,0,11,12,0,0,0,0,12,9,0,0,0,0,9,12,0,0,0,0,12,200,0,0,0,0,201
LGA50770,22,0,0,0,0,22,5,0,0,0,0,5,7,0,0,0,0,10,15,0,0,0,0,15,16,0,0,0,0,16,32,0,0,0,0,32,26,0,0,0,0,26,23,0,0,0,0,23,6,0,0,0,0,6,7,0,0,0,0,7,10,0,0,0,0,10,6,0,0,0,0,6,170,0,0,0,0,170
