POW_SA2_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
501011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38,91,87,89,82,31,422,44,35,50,41,61,29,8,265,3,4,5,3,3,3,0,16,217,331,501,440,463,212,58,2224
501011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,19,49,160,211,192,106,18,761,151,117,147,90,115,50,8,680,14,5,10,15,7,0,0,47,713,855,1170,1113,885,323,56,5109
501011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4,5,56,139,118,88,65,6,468,110,84,105,81,112,39,0,532,8,3,3,3,9,4,0,23,531,700,1038,971,735,261,19,4258
501011293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,4,0,0,0,24,9,4,4,4,0,0,0,24,8,22,61,60,55,43,8,264,216,80,121,106,118,65,6,717,5,3,7,4,5,0,0,23,981,835,1114,1335,1013,350,41,5664
501011294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,8,3,49,92,106,104,51,11,414,117,110,135,109,139,37,0,660,5,7,3,9,3,4,3,33,676,809,1143,1204,1024,256,41,5145
501021005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,6,4,3,0,4,0,0,0,6,5,40,54,62,56,30,3,252,97,67,78,56,67,12,3,393,0,0,3,4,0,0,0,14,533,565,726,724,537,121,20,3224
501021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,25,46,49,39,9,188,36,30,27,30,22,10,0,152,0,3,0,4,4,0,0,5,189,199,259,339,262,107,15,1371
501021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,0,0,0,0,19,5,8,6,0,0,0,0,17,3,8,18,13,26,8,0,76,83,140,127,138,147,46,0,692,5,3,3,3,0,0,0,16,389,659,812,853,777,181,8,3678
501021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,3,9,23,34,34,15,9,118,99,135,175,190,154,24,0,779,5,7,10,5,0,5,4,29,540,823,1127,1202,879,177,29,4774
501021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,33,19,35,40,15,146,24,17,20,25,28,14,9,133,0,0,4,0,0,0,0,9,207,253,337,326,335,117,30,1603
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,11,0,6,5,0,0,0,0,11,5,7,14,13,15,0,0,54,47,58,40,41,60,9,9,263,3,10,0,4,0,0,0,20,636,866,867,969,759,170,19,4295
501021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4,0,19,34,44,24,10,3,142,110,55,52,54,51,14,4,344,0,0,3,0,0,0,0,9,507,395,442,425,336,91,13,2202
501021014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,12,0,6,10,0,0,0,0,12,7,16,33,57,87,59,27,285,70,61,79,79,75,35,3,392,3,5,7,3,5,5,0,28,580,966,1067,997,869,271,53,4786
501021015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,3,0,0,0,0,0,0,10,4,18,28,20,24,7,4,108,132,100,69,78,133,19,0,527,6,3,4,6,7,5,4,36,838,919,1015,1046,923,213,16,4974
501021016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,26,28,27,5,117,36,53,66,81,90,19,0,344,6,3,0,3,0,0,5,26,254,363,464,619,491,105,31,2327
501021251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,30,34,15,8,0,114,74,15,26,16,22,6,0,153,0,0,0,0,0,0,0,5,275,191,259,283,193,44,4,1257
501021252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,12,20,25,12,0,71,12,19,10,5,12,10,0,73,0,0,0,0,0,0,0,0,81,93,141,154,132,41,3,642
501021253,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,5,4,3,10,6,3,3,0,31,13,4,8,6,3,0,0,43,11,63,114,94,85,47,12,421,323,247,248,239,214,68,7,1341,7,12,20,10,9,0,0,53,1817,2110,2399,2573,1901,519,61,11380
