POW_SA2_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
501011001,50,117,114,93,165,229,74,271,20,1135,11,41,17,21,18,17,9,16,5,151,0,0,0,4,0,0,0,4,0,4,12,22,37,9,37,14,4,16,0,146,0,0,0,0,0,0,0,0,0,0,0,3,10,5,7,5,3,0,0,33,0,0,5,0,0,6,0,0,0,13,10,40,30,20,16,11,4,5,7,133,11,46,30,18,9,22,0,20,4,163,0,4,3,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,4,6,0,0,5,0,0,0,10,0,0,0,0,9,7,0,0,0,17,0,10,4,5,0,8,0,5,0,36,0,16,8,4,3,3,0,0,0,34,3,0,4,7,3,0,0,0,0,19,12,25,28,8,17,12,13,11,3,134,6,23,23,11,5,13,3,9,0,91,4,7,0,0,0,3,0,0,0,16,0,10,3,3,0,4,0,0,0,29
501011003,114,275,230,187,405,577,195,484,58,2535,6,29,28,18,16,31,15,19,5,167,4,3,0,5,0,4,0,0,0,16,18,53,59,37,59,45,10,11,3,290,0,4,0,0,0,0,0,0,0,9,4,29,27,13,12,11,0,9,5,111,0,12,5,10,13,8,0,0,0,43,19,92,72,36,31,31,9,10,0,301,26,161,104,59,77,66,27,28,7,557,0,5,4,3,0,3,0,0,0,22,0,3,0,0,0,0,0,0,0,8,4,6,8,5,0,9,0,0,0,32,7,18,14,7,15,13,5,11,0,82,5,31,27,16,19,20,4,6,0,131,6,39,36,16,13,17,6,13,0,143,0,7,0,0,0,3,0,0,0,21,17,45,43,33,22,19,12,22,0,208,19,40,42,24,20,21,4,3,4,179,4,15,10,9,8,9,0,0,0,53,5,24,24,13,11,14,3,0,0,99
501011004,83,270,197,161,318,469,127,265,31,1918,0,10,4,0,3,3,4,0,0,22,0,0,0,0,0,0,0,0,0,0,11,16,20,26,16,12,6,6,0,109,0,0,0,5,0,0,0,0,0,0,5,21,10,5,3,5,0,5,0,44,0,7,9,3,7,8,0,5,0,34,18,125,82,49,39,33,18,12,5,377,24,118,73,41,38,46,5,20,3,368,0,10,7,0,5,5,0,0,0,30,0,4,0,0,0,0,0,0,0,5,0,5,5,3,0,9,0,0,0,26,0,6,7,3,10,8,4,3,0,44,7,25,23,18,17,13,3,10,0,112,11,33,18,13,16,11,3,0,0,102,13,22,14,13,23,19,3,3,0,114,26,63,70,45,36,46,27,38,5,345,35,90,94,61,53,20,12,17,0,370,0,21,5,5,5,3,3,3,0,40,3,22,19,16,8,8,4,0,0,91
501011293,103,357,209,168,459,595,222,422,40,2574,0,6,11,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,3,19,10,5,12,7,4,3,0,71,0,0,3,0,7,0,0,0,0,18,3,22,11,8,12,13,3,4,0,82,0,6,12,3,3,8,3,0,0,33,40,200,162,83,130,60,13,21,0,705,20,169,57,46,41,38,6,15,5,393,5,18,28,13,14,9,4,5,0,92,0,11,0,3,7,4,0,0,0,32,3,12,16,15,22,17,6,4,0,95,0,7,3,10,38,10,4,17,0,89,4,27,23,20,25,13,0,13,0,122,3,39,18,10,13,15,5,0,0,111,12,27,20,17,64,40,12,0,4,197,20,56,56,44,50,47,18,34,0,320,25,90,88,59,76,42,14,24,3,427,3,8,6,4,6,0,0,7,0,37,5,37,29,18,39,16,5,6,0,161
501011294,88,274,171,156,283,436,155,294,29,1890,0,10,5,0,0,3,3,6,0,24,0,0,0,0,0,0,0,0,0,3,3,12,10,8,9,7,3,3,0,43,0,4,0,0,0,6,0,0,0,10,0,24,19,8,13,15,0,5,0,80,0,0,4,6,0,0,0,0,0,12,16,85,58,30,43,21,4,21,0,279,21,138,88,33,49,25,4,14,7,386,0,4,11,4,0,5,0,0,0,15,0,0,0,0,3,0,0,0,0,12,0,4,0,0,0,0,0,0,0,9,3,5,4,0,5,7,0,0,0,20,3,27,28,18,31,15,0,5,0,126,7,42,29,8,10,9,0,11,5,117,0,4,6,0,3,4,0,0,0,27,29,103,123,76,90,89,35,53,4,598,97,204,277,229,215,129,24,62,8,1254,0,18,5,0,4,0,3,0,0,44,5,38,20,10,12,20,0,9,0,115
501021005,58,159,112,70,166,320,108,317,25,1330,0,0,0,0,0,0,0,0,0,8,5,4,11,5,5,21,5,7,0,58,0,10,3,6,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,8,0,16,0,4,6,5,3,4,0,43,0,0,0,5,0,0,0,0,0,4,16,87,51,51,51,32,5,5,0,306,8,98,44,11,19,10,3,6,0,195,0,3,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,17,0,0,3,6,8,0,0,0,0,12,4,12,15,10,5,7,0,7,0,55,0,13,12,9,6,0,3,0,0,38,0,8,10,3,7,8,0,4,0,34,34,92,110,87,82,76,42,61,3,598,13,57,80,40,60,23,11,9,5,295,0,11,9,3,9,0,0,5,0,37,6,41,19,14,12,3,5,4,0,101
501021007,31,58,38,30,83,169,80,204,12,716,5,19,20,11,5,6,0,15,0,88,5,0,6,0,0,6,6,3,0,38,0,5,5,0,4,6,0,3,0,27,0,5,0,0,0,0,0,0,0,5,0,0,0,6,0,3,0,6,0,19,0,7,0,4,0,0,0,3,0,12,0,22,19,0,6,6,0,0,0,64,0,12,11,6,7,3,0,4,0,41,0,6,0,3,0,0,5,0,0,21,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,9,0,3,0,0,4,3,0,0,0,9,0,4,3,3,0,0,0,0,0,10,3,14,8,4,0,4,0,3,3,36,0,11,8,5,12,18,0,6,0,55,7,21,30,13,10,9,3,8,0,112,0,7,8,6,8,9,0,4,0,36,0,12,3,4,6,0,0,3,0,28,0,9,7,4,6,0,0,0,0,27
501021008,64,108,89,77,175,275,70,199,31,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,21,4,0,0,0,0,0,0,4,0,12,18,56,27,14,16,13,0,0,0,155,8,53,11,7,10,3,0,3,0,97,0,0,3,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,3,0,0,0,16,0,0,0,4,3,0,0,0,0,18,6,3,11,13,36,42,9,7,3,126,26,75,47,36,79,40,18,20,0,334,156,210,331,341,291,251,49,84,12,1723,0,7,5,0,0,0,0,0,0,12,0,3,3,5,9,3,0,0,0,21
501021009,184,152,106,76,371,1073,363,656,71,3043,0,7,0,0,0,0,0,0,0,11,3,3,4,3,7,62,7,12,0,108,20,5,11,4,22,58,22,22,0,167,3,3,3,6,21,13,5,6,5,65,0,13,0,0,6,10,0,8,0,35,0,0,5,0,0,0,0,0,0,5,10,73,46,17,31,12,9,3,0,216,3,78,44,16,13,11,0,9,0,174,0,4,12,0,4,4,0,5,0,38,0,0,5,0,3,0,0,0,0,4,4,10,4,5,5,7,0,0,0,28,0,0,0,0,7,0,0,0,0,7,0,6,8,5,3,3,3,0,0,32,0,19,5,7,5,0,0,0,0,41,6,7,7,8,24,15,4,12,0,90,18,51,60,33,37,28,6,25,0,268,23,58,81,49,40,32,5,13,3,305,0,4,4,0,0,0,0,0,5,16,0,24,16,10,8,0,6,8,0,68
501021010,43,64,55,39,93,188,231,383,18,1117,4,17,15,5,7,9,0,10,0,65,0,0,0,0,0,0,0,0,0,5,0,14,16,4,10,24,16,10,6,93,0,0,4,0,0,6,0,0,0,8,0,12,11,3,0,7,0,5,0,37,0,0,0,0,6,0,0,0,0,4,0,4,13,3,0,6,0,0,0,24,3,23,9,0,6,7,0,3,0,45,0,4,6,3,5,9,0,4,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,4,0,0,0,19,0,4,5,3,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,3,7,21,13,12,8,15,5,6,0,88,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,15
