DATE,STATE,MONTH,CLIENT GROUP,MEASURE,VALUE
2018-04-30,NSW,Apr18,Number of clients accommodated in short-term/emergency accommodation,,2495.0
2018-04-30,NSW,Apr18,Number of clients financially assisted with payments for short term/emergency accommodation,,194.0
2018-04-30,NSW,Apr18,Number of clients who are at risk of homelessness,,11117.0
2018-04-30,NSW,Apr18,Number of clients who are homeless,,10250.0
2018-04-30,NSW,Apr18,Number of clients who have experienced family and domestic violence,,7775.0
2018-04-30,NSW,Apr18,Number of clients with a current mental health issue,,7303.0
2018-04-30,NSW,Apr18,Number of clients with problematic drug or alcohol issues,,2160.0
2018-04-30,NSW,Apr18,Number of indigenous clients,,6370.0
2018-04-30,NSW,Apr18,Number of nights in short-term/emergency accommodation,,47797.0
2019-04-30,NSW,Apr19,Number of clients accommodated in short-term/emergency accommodation,,2427.0
2019-04-30,NSW,Apr19,Number of clients financially assisted with payments for short term/emergency accommodation,,212.0
2019-04-30,NSW,Apr19,Number of clients who are at risk of homelessness,,12032.0
2019-04-30,NSW,Apr19,Number of clients who are homeless,,10330.0
2019-04-30,NSW,Apr19,Number of clients who have experienced family and domestic violence,,7791.0
2019-04-30,NSW,Apr19,Number of clients with a current mental health issue,,7639.0
2019-04-30,NSW,Apr19,Number of clients with problematic drug or alcohol issues,,2247.0
2019-04-30,NSW,Apr19,Number of indigenous clients,,6715.0
2019-04-30,NSW,Apr19,Number of nights in short-term/emergency accommodation,,46541.0
2020-04-30,NSW,Apr20,Number of clients accommodated in short-term/emergency accommodation,,1964.0
2020-04-30,NSW,Apr20,Number of clients financially assisted with payments for short term/emergency accommodation,,173.0
2020-04-30,NSW,Apr20,Number of clients who are at risk of homelessness,,11866.0
2020-04-30,NSW,Apr20,Number of clients who are homeless,,10094.0
2020-04-30,NSW,Apr20,Number of clients who have experienced family and domestic violence,,7812.0
2020-04-30,NSW,Apr20,Number of clients with a current mental health issue,,7616.0
2020-04-30,NSW,Apr20,Number of clients with problematic drug or alcohol issues,,1956.0
2020-04-30,NSW,Apr20,Number of indigenous clients,,6495.0
2020-04-30,NSW,Apr20,Number of nights in short-term/emergency accommodation,,38884.0
2021-04-30,NSW,Apr21,Number of clients accommodated in short-term/emergency accommodation,,2328.0
2021-04-30,NSW,Apr21,Number of clients financially assisted with payments for short term/emergency accommodation,,180.0
2021-04-30,NSW,Apr21,Number of clients who are at risk of homelessness,,12925.0
2021-04-30,NSW,Apr21,Number of clients who are homeless,,11244.0
2021-04-30,NSW,Apr21,Number of clients who have experienced family and domestic violence,,8760.0
2021-04-30,NSW,Apr21,Number of clients with a current mental health issue,,8546.0
2021-04-30,NSW,Apr21,Number of clients with problematic drug or alcohol issues,,1993.0
2021-04-30,NSW,Apr21,Number of indigenous clients,,7537.0
2021-04-30,NSW,Apr21,Number of nights in short-term/emergency accommodation,,45842.0
2022-04-30,NSW,Apr22,Number of clients accommodated in short-term/emergency accommodation,,2128.0
2022-04-30,NSW,Apr22,Number of clients financially assisted with payments for short term/emergency accommodation,,168.0
2022-04-30,NSW,Apr22,Number of clients who are at risk of homelessness,,11419.0
2022-04-30,NSW,Apr22,Number of clients who are homeless,,10972.0
2022-04-30,NSW,Apr22,Number of clients who have experienced family and domestic violence,,7960.0
2022-04-30,NSW,Apr22,Number of clients with a current mental health issue,,7918.0
2022-04-30,NSW,Apr22,Number of clients with problematic drug or alcohol issues,,1623.0
2022-04-30,NSW,Apr22,Number of indigenous clients,,7171.0
2022-04-30,NSW,Apr22,Number of nights in short-term/emergency accommodation,,42948.0
2023-04-30,NSW,Apr23,Number of clients accommodated in short-term/emergency accommodation,,2267.0
2023-04-30,NSW,Apr23,Number of clients financially assisted with payments for short term/emergency accommodation,,166.0
2023-04-30,NSW,Apr23,Number of clients who are at risk of homelessness,,10922.0
2023-04-30,NSW,Apr23,Number of clients who are homeless,,11414.0
2023-04-30,NSW,Apr23,Number of clients who have experienced family and domestic violence,,7835.0
