DATE,MONTH,AGE GROUP,MEASURE,VALUE
2018-04-30,Apr18,0 to 4,,496.0
2018-04-30,Apr18,10 to 14,,341.0
2018-04-30,Apr18,15 to 19,,614.0
2018-04-30,Apr18,20 to 24,,487.0
2018-04-30,Apr18,25 to 29,,515.0
2018-04-30,Apr18,30 to 34,,585.0
2018-04-30,Apr18,35 to 39,,595.0
2018-04-30,Apr18,40 to 44,,546.0
2018-04-30,Apr18,45 to 49,,415.0
2018-04-30,Apr18,5 to 9,,471.0
2018-04-30,Apr18,50 to 54,,290.0
2018-04-30,Apr18,55 to 59,,196.0
2018-04-30,Apr18,60 to 64,,114.0
2018-04-30,Apr18,65+,,153.0
2019-04-30,Apr19,0 to 4,,626.0
2019-04-30,Apr19,10 to 14,,425.0
2019-04-30,Apr19,15 to 19,,624.0
2019-04-30,Apr19,20 to 24,,583.0
2019-04-30,Apr19,25 to 29,,545.0
2019-04-30,Apr19,30 to 34,,666.0
2019-04-30,Apr19,35 to 39,,662.0
2019-04-30,Apr19,40 to 44,,579.0
2019-04-30,Apr19,45 to 49,,493.0
2019-04-30,Apr19,5 to 9,,502.0
2019-04-30,Apr19,50 to 54,,330.0
2019-04-30,Apr19,55 to 59,,222.0
2019-04-30,Apr19,60 to 64,,138.0
2019-04-30,Apr19,65+,,174.0
2020-04-30,Apr20,0 to 4,,464.0
2020-04-30,Apr20,10 to 14,,351.0
2020-04-30,Apr20,15 to 19,,603.0
2020-04-30,Apr20,20 to 24,,545.0
2020-04-30,Apr20,25 to 29,,432.0
2020-04-30,Apr20,30 to 34,,564.0
2020-04-30,Apr20,35 to 39,,550.0
2020-04-30,Apr20,40 to 44,,477.0
2020-04-30,Apr20,45 to 49,,428.0
2020-04-30,Apr20,5 to 9,,357.0
2020-04-30,Apr20,50 to 54,,294.0
2020-04-30,Apr20,55 to 59,,163.0
2020-04-30,Apr20,60 to 64,,125.0
2020-04-30,Apr20,65+,,137.0
2021-04-30,Apr21,0 to 4,,585.0
2021-04-30,Apr21,10 to 14,,453.0
2021-04-30,Apr21,15 to 19,,708.0
2021-04-30,Apr21,20 to 24,,609.0
2021-04-30,Apr21,25 to 29,,600.0
2021-04-30,Apr21,30 to 34,,649.0
2021-04-30,Apr21,35 to 39,,730.0
2021-04-30,Apr21,40 to 44,,597.0
2021-04-30,Apr21,45 to 49,,445.0
2021-04-30,Apr21,5 to 9,,440.0
2021-04-30,Apr21,50 to 54,,415.0
2021-04-30,Apr21,55 to 59,,239.0
2021-04-30,Apr21,60 to 64,,163.0
2021-04-30,Apr21,65+,,198.0
2022-04-30,Apr22,0 to 4,,528.0
2022-04-30,Apr22,10 to 14,,366.0
2022-04-30,Apr22,15 to 19,,535.0
2022-04-30,Apr22,20 to 24,,583.0
2022-04-30,Apr22,25 to 29,,551.0
2022-04-30,Apr22,30 to 34,,592.0
2022-04-30,Apr22,35 to 39,,674.0
2022-04-30,Apr22,40 to 44,,579.0
2022-04-30,Apr22,45 to 49,,495.0
2022-04-30,Apr22,5 to 9,,417.0
2022-04-30,Apr22,50 to 54,,391.0
2022-04-30,Apr22,55 to 59,,225.0
2022-04-30,Apr22,60 to 64,,138.0
2022-04-30,Apr22,65+,,251.0
2023-04-30,Apr23,0 to 4,,629.0
2023-04-30,Apr23,10 to 14,,421.0
2023-04-30,Apr23,15 to 19,,568.0
2023-04-30,Apr23,20 to 24,,580.0
2023-04-30,Apr23,25 to 29,,567.0
2023-04-30,Apr23,30 to 34,,667.0
2023-04-30,Apr23,35 to 39,,710.0
2023-04-30,Apr23,40 to 44,,669.0
