DATE,MONTH,SEX,GROUP,REASON FOR SEEKING ASSISTANCE,MEASURE,VALUE
2017-07-31,Jul17,Female,Other,Discrimination including racial discrimination,,9.0
2017-07-31,Jul17,Female,Other,Itinerant,,35.0
2017-07-31,Jul17,Female,Other,Unable to return home due to environmental reasons,,107.0
2017-07-31,Jul17,Female,Other,Disengagement with school or other education and training,,61.0
2017-07-31,Jul17,Female,Other,Lack of family and/or community support,,716.0
2017-07-31,Jul17,Female,Other,Other (not elsewhere classified),,347.0
2017-07-31,Jul17,Female,Not stated,Not stated,,42.0
2017-07-31,Jul17,Female,Total,Total clients,,3732.0
2017-07-31,Jul17,Male,Accommodation,Accommodation,,1029.0
2017-07-31,Jul17,Male,Accommodation,Housing crisis (e.g. eviction),,660.0
2017-07-31,Jul17,Male,Accommodation,Inadequate or inappropriate dwelling conditions,,490.0
2017-07-31,Jul17,Male,Accommodation,Previous accommodation ended,,350.0
2017-07-31,Jul17,Male,Financial,Financial,,1036.0
2017-07-31,Jul17,Male,Financial,Financial difficulties,,791.0
2017-07-31,Jul17,Male,Financial,Housing affordability stress,,439.0
2017-07-31,Jul17,Male,Financial,Employment difficulties,,107.0
2017-07-31,Jul17,Male,Financial,Unemployment,,316.0
2017-07-31,Jul17,Male,Financial,Problematic gambling,,6.0
2017-07-31,Jul17,Male,Interpersonal,Interpersonal relationships,,837.0
2017-07-31,Jul17,Male,Interpersonal,Time out from family/other situation,,236.0
2017-07-31,Jul17,Male,Interpersonal,Relationship/family breakdown,,385.0
2017-07-31,Jul17,Female,Other,Transition from other care arrangements,,44.0
2017-07-31,Jul17,Male,Interpersonal,Sexual abuse,,9.0
2017-07-31,Jul17,Female,Other,Transition from foster care and child safety residential placements,,26.0
2017-07-31,Jul17,Female,Other,Other,,1133.0
2017-07-31,Jul17,Female,Accommodation,Accommodation,,1399.0
2017-07-31,Jul17,Female,Accommodation,Housing crisis (e.g. eviction),,905.0
2017-07-31,Jul17,Female,Accommodation,Inadequate or inappropriate dwelling conditions,,620.0
2017-07-31,Jul17,Female,Accommodation,Previous accommodation ended,,414.0
2017-07-31,Jul17,Female,Financial,Financial,,1376.0
2017-07-31,Jul17,Female,Financial,Financial difficulties,,1080.0
2017-07-31,Jul17,Female,Financial,Housing affordability stress,,663.0
2017-07-31,Jul17,Female,Financial,Employment difficulties,,109.0
2017-07-31,Jul17,Female,Financial,Unemployment,,274.0
2017-07-31,Jul17,Female,Financial,Problematic gambling,,5.0
2017-07-31,Jul17,Female,Interpersonal,Interpersonal relationships,,2401.0
2017-07-31,Jul17,Female,Interpersonal,Time out from family/other situation,,408.0
2017-07-31,Jul17,Female,Interpersonal,Relationship/family breakdown,,865.0
2017-07-31,Jul17,Female,Interpersonal,Sexual abuse,,163.0
2017-07-31,Jul17,Female,Interpersonal,Family and domestic violence,,1927.0
2017-07-31,Jul17,Female,Interpersonal,Non-family violence,,59.0
2017-07-31,Jul17,Female,Health,Health,,675.0
2017-07-31,Jul17,Female,Health,Mental health issues,,409.0
2017-07-31,Jul17,Female,Health,Medical issues,,185.0
2017-07-31,Jul17,Female,Health,Problematic drug or substance use,,217.0
2017-07-31,Jul17,Female,Health,Problematic alcohol use,,128.0
2017-07-31,Jul17,Female,Other,Transition from custodial arrangements,,26.0
2017-07-31,Jul17,Male,Interpersonal,Family and domestic violence,,483.0
2017-07-31,Jul17,Male,Health,Health,,480.0
2017-07-31,Jul17,Male,Interpersonal,Non-family violence,,22.0
2017-07-31,Jul17,Male,Health,Mental health issues,,277.0
2017-07-31,Jul17,Male,Health,Medical issues,,141.0
2017-07-31,Jul17,Male,Health,Problematic drug or substance use,,205.0
