SA2_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
501011001,73,698,769,860,226,1088,328,41,365,297,42,342,108,9,121,37,8,44,1704,1021,2728
501011003,143,897,1041,1439,356,1795,610,81,686,615,75,684,243,28,271,83,19,101,3133,1444,4579
501011004,123,890,1013,1035,288,1322,582,84,659,528,64,596,198,22,218,66,10,70,2526,1356,3885
501011293,110,996,1104,1317,174,1494,507,47,554,410,18,432,170,14,184,64,3,69,2579,1253,3836
501011294,194,2064,2252,2465,386,2843,957,56,1013,963,41,1005,373,22,395,171,4,178,5121,2571,7689
501021005,198,1364,1558,2230,189,2420,1059,48,1108,1148,38,1189,448,18,469,232,9,243,5317,1664,6978
501021007,80,434,510,736,116,849,305,20,328,235,14,246,129,7,142,53,3,55,1532,592,2125
501021008,62,1018,1081,802,178,975,313,57,370,255,22,278,93,13,103,59,9,67,1580,1293,2871
501021009,77,1150,1230,1089,154,1243,425,41,466,401,32,432,178,19,194,75,5,81,2253,1402,3653
501021010,39,273,306,447,58,502,165,8,172,178,9,189,73,0,73,29,0,28,927,351,1275
501021011,0,3,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8
501021012,123,1058,1183,1473,177,1654,723,36,759,629,22,654,287,7,292,112,0,118,3352,1305,4654
501021014,84,897,978,1215,175,1390,462,35,493,420,27,441,223,16,238,94,11,105,2495,1152,3654
501021015,72,877,953,972,135,1105,392,30,422,309,16,324,119,4,127,80,6,87,1948,1067,3016
