SA2_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501011001,2751,2841,5597,5,9,17,0,0,0,0,3,3,3,7,10,4,9,9,0,0,0,4,14,16,0,0,0,11,16,29,19,38,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,7,7,7,12,10,13,20,6,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,5,5,4,8,0,0,3,0,0,0,0,0,0,4,3,5,0,0,3,0,0,0,0,0,0,6,8,11,5,13,20,0,0,0,0,4,4,0,0,0,5,6,11,22,30,53,129,156,279,256,269,531,24,12,30,3161,3283,6442
501011003,5131,5329,10463,21,14,37,0,0,0,0,6,4,4,8,12,14,25,37,0,0,0,13,29,44,0,3,0,25,30,50,44,75,115,3,4,9,0,0,0,0,0,3,9,0,11,0,0,0,9,0,10,4,8,17,0,0,0,0,0,0,26,16,42,27,28,56,5,14,19,0,0,0,3,8,8,0,3,0,0,0,0,0,0,0,9,3,15,17,15,29,3,0,7,0,0,0,0,4,4,0,3,5,5,7,11,0,0,0,3,4,5,9,20,27,18,20,39,0,0,4,6,14,22,0,0,0,0,3,3,35,59,93,270,362,631,399,434,835,26,14,37,5827,6146,11972
501011004,4044,4252,8297,6,4,21,0,0,0,0,0,0,9,4,16,16,21,41,0,3,3,22,33,52,4,0,7,55,62,121,43,63,106,3,3,10,0,0,0,3,3,8,0,0,0,0,0,0,5,0,6,0,0,3,0,0,0,0,0,0,8,8,17,59,44,103,11,18,31,0,0,0,15,17,33,0,0,4,0,0,0,0,0,0,0,0,5,14,22,36,0,4,4,0,0,0,0,0,0,8,17,24,8,19,27,17,20,39,5,11,15,39,66,109,49,55,104,0,0,0,8,24,35,0,0,0,4,6,14,98,54,154,460,495,954,393,361,754,53,16,69,4954,5126,10077
501011293,3840,4183,8025,32,39,69,7,3,15,9,4,10,7,10,15,5,9,16,0,0,5,19,18,36,0,0,0,19,10,24,18,19,41,8,0,6,0,0,0,0,0,0,3,0,4,0,0,0,14,19,28,0,0,5,3,0,4,0,5,7,26,28,51,7,10,17,4,3,8,0,0,0,5,7,15,0,0,4,0,0,0,0,0,0,4,4,4,3,5,10,0,0,0,0,0,0,0,0,0,6,3,11,8,11,17,10,14,26,3,4,4,26,30,58,5,6,8,4,4,7,4,19,17,0,0,0,9,15,25,61,66,129,258,282,544,245,225,472,3,4,9,4349,4699,9049
501011294,8039,9067,17107,33,40,79,0,0,3,11,13,26,8,6,12,14,29,40,0,0,0,23,32,54,8,0,7,21,32,46,36,49,89,0,0,0,0,0,3,6,5,7,3,3,6,9,13,19,23,13,38,5,8,12,0,0,0,0,0,0,53,36,87,40,34,76,12,17,28,0,0,0,12,8,17,0,8,5,0,0,0,4,3,10,3,3,10,10,14,26,5,6,13,0,0,0,0,0,0,7,11,20,11,11,24,15,16,38,0,9,7,29,51,77,9,8,22,3,3,9,3,33,35,0,0,0,21,26,41,112,116,227,431,540,967,424,491,910,10,17,30,8907,10109,19021
501021005,8083,8463,16542,59,70,134,7,10,17,8,8,20,10,3,15,44,95,136,0,3,4,54,98,153,0,0,3,8,7,18,8,20,30,0,7,12,5,0,7,25,19,39,21,25,39,0,0,0,22,17,34,0,0,0,5,4,8,4,7,8,74,65,139,47,51,99,0,10,8,11,4,18,21,16,40,0,0,0,12,8,27,5,0,5,7,15,28,3,6,13,0,0,6,3,3,8,5,5,10,15,24,44,9,23,27,16,36,54,20,21,50,68,104,177,6,13,21,9,4,13,8,22,27,0,0,4,5,13,16,106,115,222,546,686,1230,311,281,587,6,10,15,8948,9440,18381
501021007,2292,2457,4747,20,9,27,0,0,0,0,8,9,0,0,0,4,0,9,0,0,0,4,0,9,0,0,0,0,0,0,5,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,8,4,7,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,8,0,5,5,0,0,0,0,8,11,0,3,3,0,0,0,0,7,10,0,0,0,3,4,4,22,27,43,65,88,148,147,156,302,0,3,4,2506,2695,5198
501021008,2510,2852,5354,20,20,40,5,11,13,6,17,23,8,3,14,14,26,43,0,4,3,25,34,57,5,0,3,0,4,8,3,0,3,8,12,11,0,0,0,4,5,10,0,4,0,0,4,3,10,5,10,5,3,12,11,8,19,0,0,0,30,23,56,15,22,41,9,5,13,0,0,0,13,3,18,0,0,0,13,16,27,0,0,0,5,4,8,4,3,4,0,3,9,0,0,0,0,0,0,10,26,38,5,6,17,19,30,48,3,17,21,43,78,119,9,4,14,0,0,0,0,10,11,0,0,0,3,8,18,39,51,87,245,319,571,765,288,1062,5,0,10,3527,3462,6992
501021009,3898,3782,7680,17,12,31,0,0,0,8,10,22,3,5,7,10,9,17,0,0,0,11,11,25,5,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,16,14,24,0,4,4,3,0,3,6,0,9,0,0,0,0,0,0,3,0,5,5,6,11,0,0,0,0,0,0,0,0,0,0,0,8,7,9,10,4,0,8,4,5,9,4,3,4,16,16,34,0,5,8,0,0,0,0,6,6,0,0,0,3,5,4,32,35,65,130,127,257,344,307,650,8,3,3,4376,4219,8589
501021010,1490,1439,2933,10,16,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,5,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,8,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,11,8,21,34,45,81,90,74,161,0,0,3,1608,1556,3171
