SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50001,6,0,0,0,0,0,0,0,0,7,22,8,8,11,15,9,3,4,0,81
SAL50002,22,3,6,15,15,13,10,3,0,92,307,124,99,175,186,148,167,63,22,1286
SAL50003,0,0,0,3,0,4,0,0,0,12,22,9,15,15,8,15,6,4,0,98
SAL50004,0,0,0,0,0,0,0,0,0,0,13,3,3,10,5,4,9,0,0,41
SAL50005,4,0,0,0,0,3,0,0,0,11,17,3,11,4,12,12,8,3,0,66
SAL50006,16,13,30,18,35,27,26,15,3,180,135,134,186,126,198,273,277,115,38,1475
SAL50007,0,0,0,0,0,0,0,0,0,6,11,0,3,9,3,5,0,0,0,31
SAL50008,114,46,43,48,39,57,31,30,7,410,1463,1017,925,980,1003,1154,699,313,103,7655
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
SAL50010,33,19,12,30,25,13,10,14,3,159,546,318,269,397,408,328,270,174,62,2778
SAL50011,153,76,99,96,82,40,14,9,0,570,2707,1151,1921,1649,1170,664,401,146,37,9853
SAL50012,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,4,0,0,19
SAL50013,5,6,4,3,0,5,0,0,0,27,101,70,40,69,94,101,64,23,3,569
SAL50014,4,5,0,5,7,6,5,3,0,30,25,5,6,25,17,25,23,13,0,127
SAL50015,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,12
SAL50016,13,0,3,4,13,0,0,0,0,33,126,68,40,75,86,76,56,12,3,536
SAL50017,0,0,0,0,0,0,7,0,0,8,8,7,13,9,14,5,19,3,0,77
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
SAL50019,4,3,0,0,4,0,3,5,0,29,51,32,25,34,32,48,33,11,0,274
SAL50020,5,0,3,0,0,6,0,0,0,8,12,3,6,0,9,8,5,4,0,49
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,63,40,46,59,66,63,41,24,5,412,1180,831,756,917,904,939,865,494,173,7059
SAL50023,0,0,0,0,3,0,0,0,0,7,8,8,9,0,15,8,0,5,0,50
SAL50024,40,30,14,21,35,20,13,9,7,192,868,565,417,641,608,530,487,255,103,4479
SAL50025,0,3,5,0,5,4,3,5,0,26,110,54,44,62,103,107,67,22,4,567
SAL50026,339,249,255,193,165,137,87,53,25,1492,2439,1627,1851,1578,1554,1546,1409,853,337,13199
SAL50027,3,0,0,3,0,0,0,0,0,13,6,7,6,9,5,10,7,5,0,51
SAL50028,0,5,3,4,3,5,0,0,0,26,0,5,8,3,7,11,10,0,0,51
SAL50029,0,0,0,0,0,0,0,0,0,8,14,3,10,11,9,12,4,0,0,63
SAL50030,0,0,0,0,3,0,0,0,0,6,12,6,7,4,11,19,7,0,0,65
SAL50031,44,32,71,34,52,38,32,56,74,430,362,338,456,394,462,501,376,200,115,3201
SAL50032,35,14,22,14,9,12,11,13,3,129,573,283,359,376,334,236,254,259,90,2766
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL50034,29,12,34,19,16,14,7,5,3,136,228,156,215,203,195,153,117,76,26,1367
SAL50035,65,52,21,26,37,45,27,17,10,298,1281,893,500,770,984,845,609,440,203,6534
SAL50036,129,91,40,71,79,31,20,9,0,478,2022,1442,1016,1417,1572,867,464,208,45,9053
SAL50037,93,45,35,54,40,8,18,10,3,296,1976,714,842,1434,801,366,275,125,84,6629
SAL50038,23,6,9,15,17,15,25,9,12,129,147,68,85,108,163,248,359,192,99,1458
SAL50039,279,149,118,144,117,118,89,42,10,1066,3718,1754,1915,2179,1808,1708,1353,716,168,15325
SAL50040,223,111,109,110,95,32,22,7,0,720,3695,1659,2486,2401,1543,955,589,233,47,13608
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SAL50042,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,8
SAL50043,4,0,0,0,7,4,0,0,0,17,11,6,6,6,15,12,9,0,0,59
SAL50044,0,0,0,0,0,0,0,0,0,6,0,3,0,0,8,8,3,5,0,35
SAL50045,0,0,0,0,3,0,0,0,0,4,3,0,5,3,10,12,0,0,0,39
SAL50046,0,0,0,0,0,0,0,0,0,0,11,0,5,4,0,3,0,3,0,22
SAL50047,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,8
SAL50048,0,3,4,4,0,3,4,0,0,27,26,25,38,24,23,22,25,10,0,193
SAL50049,0,0,0,0,0,0,3,0,0,10,0,0,3,0,0,6,5,0,0,18
SAL50050,0,4,0,0,4,0,0,0,0,12,5,0,7,4,8,11,7,3,0,47
SAL50051,49,8,12,28,15,12,23,10,0,165,254,113,100,161,172,149,187,71,4,1222
SAL50052,0,3,0,4,3,0,0,0,0,21,16,29,16,13,24,32,11,11,0,153
SAL50053,123,70,138,120,98,84,61,52,29,765,1662,1011,1779,1675,1249,1091,963,800,422,10654
SAL50054,707,313,378,344,267,163,106,69,8,2362,10082,4445,6054,5699,4115,2752,1912,1035,166,36249
SAL50055,340,203,240,255,173,118,77,39,10,1453,2917,1599,2901,2154,1426,1113,896,516,121,13639
SAL50056,7,9,3,5,4,3,14,3,0,45,62,42,39,52,65,102,136,56,13,567
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,21
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,14
SAL50059,0,0,0,0,0,0,0,0,0,8,10,6,4,13,9,17,15,5,3,79
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50061,287,174,156,134,145,145,88,29,15,1166,3540,2591,2305,2182,2425,2702,1498,652,190,18092
SAL50062,0,0,0,0,0,0,0,0,0,3,7,0,0,10,0,5,4,7,0,29
SAL50063,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,11,20,12,0,57
SAL50064,6,0,0,0,0,0,0,0,0,16,13,0,3,5,6,10,11,3,0,56
SAL50065,0,4,0,0,0,4,0,0,0,12,4,5,8,3,11,20,8,0,0,69
SAL50066,8,8,4,0,8,5,0,0,0,38,89,26,33,50,52,51,36,32,0,359
SAL50067,0,47,128,110,134,72,9,0,0,495,0,85,213,185,220,130,19,0,0,848
SAL50068,9,7,4,7,8,5,5,0,0,41,203,207,158,142,199,208,143,61,18,1338
SAL50069,192,93,109,113,71,46,25,10,0,664,3111,1435,2180,1967,1191,732,367,107,18,11112
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,4,0,0,5,0,0,0,0,0,11,19,3,7,12,17,3,3,4,0,68
SAL50072,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,4,5,0,0,16
SAL50073,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,16
SAL50074,0,0,0,0,0,5,0,0,0,7,8,0,8,7,0,10,10,0,0,45
SAL50075,9,15,14,6,18,6,14,3,0,73,136,130,65,94,141,134,103,56,13,876
SAL50076,0,8,46,49,52,24,6,0,0,188,0,7,64,80,92,45,6,0,0,298
SAL50077,0,3,0,0,0,9,0,0,0,16,51,37,17,36,46,43,43,29,3,304
SAL50078,125,99,92,110,101,101,63,37,15,733,1881,1054,1379,1574,1447,1347,1037,544,264,10527
SAL50079,40,22,16,25,19,9,10,11,5,166,700,493,348,497,527,433,392,239,101,3739
