SAL_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,0,0,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,8,11,15,9,3,4,0,60
SAL50002,0,0,8,7,8,8,21,10,7,65,4,7,8,13,5,11,29,16,0,91,8,6,5,12,18,19,15,12,5,95,5,6,5,13,12,16,15,3,0,80,0,12,14,18,20,9,15,3,0,101,0,3,12,18,10,11,4,0,0,50,0,4,9,19,17,16,6,0,0,76,0,0,5,11,18,4,5,0,0,43,0,0,14,13,28,8,0,0,0,66,0,0,0,4,9,4,0,0,0,26,0,0,0,10,5,7,0,0,0,24,5,0,6,13,10,8,4,4,0,51,0,0,0,0,3,0,0,0,0,6,72,46,99,175,184,148,167,63,22,980
SAL50003,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,4,0,0,0,9,0,0,0,6,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3,0,18,0,0,0,0,0,0,0,0,0,0,9,0,15,15,8,15,6,4,0,80
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,4,9,0,0,30
SAL50005,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,11,4,12,12,8,3,0,52
SAL50006,0,7,3,4,3,7,33,28,9,104,3,9,11,8,5,12,34,19,3,109,4,0,14,11,3,18,29,9,0,97,0,8,17,9,10,12,31,9,5,94,0,23,46,19,29,23,21,4,0,165,0,3,23,12,15,29,8,0,0,95,0,0,7,7,13,21,7,0,3,63,0,0,10,3,17,18,14,0,0,61,0,0,18,20,35,37,9,4,0,119,0,0,0,3,6,3,3,0,0,15,0,0,3,4,15,18,4,3,0,48,3,10,22,15,28,22,19,4,4,128,0,0,0,0,0,3,0,0,0,7,62,78,182,122,198,277,277,117,38,1348
SAL50007,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,0,0,26
SAL50008,11,47,57,41,49,80,123,84,35,517,20,57,70,69,66,72,73,39,17,488,4,55,79,79,97,92,50,19,7,484,7,58,108,86,118,97,36,12,4,515,4,60,147,124,136,140,28,7,0,643,0,34,97,99,85,85,27,3,0,437,3,16,65,90,87,91,22,3,0,373,0,5,45,69,45,54,7,0,0,231,0,4,53,103,96,77,7,3,0,350,0,0,9,11,14,20,0,0,0,52,0,0,4,12,9,11,5,0,0,42,24,10,36,31,23,23,30,14,3,202,0,0,0,5,0,0,0,0,0,10,485,531,924,984,1003,1154,699,313,103,6199
SAL50009,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,9
SAL50010,6,17,11,9,12,9,43,42,16,164,0,15,11,26,15,17,29,15,8,140,6,18,9,19,14,18,21,16,6,128,0,12,14,22,18,19,27,13,6,130,0,21,27,24,33,22,21,8,0,149,0,10,32,42,28,23,11,6,0,148,0,4,39,30,35,20,9,6,0,139,0,0,30,21,30,23,12,0,0,117,0,4,50,96,76,61,11,0,4,301,0,0,8,19,35,11,0,0,0,72,0,0,4,44,72,37,0,0,0,156,0,3,11,9,9,6,5,7,4,51,0,0,0,0,0,0,0,0,0,8,172,153,273,397,408,328,273,177,68,2240
SAL50011,29,34,51,33,30,25,58,45,13,321,25,59,115,92,46,51,61,13,9,475,19,80,149,113,66,51,35,7,5,521,17,83,200,132,110,69,13,4,0,632,3,83,253,186,152,68,18,5,0,766,3,37,238,185,120,54,15,0,0,648,0,14,192,161,135,51,16,0,0,564,0,9,123,132,91,34,5,0,0,396,0,4,189,253,148,72,7,0,0,681,0,0,23,57,44,15,0,0,0,142,0,0,28,44,38,18,0,0,0,128,25,25,60,50,42,25,3,10,0,241,0,0,5,0,0,6,4,0,0,12,567,584,1928,1652,1166,668,400,146,39,7157
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,16
SAL50013,4,0,0,4,9,7,12,8,0,35,7,3,7,6,7,3,6,4,0,39,8,0,0,7,4,6,0,0,0,31,0,4,4,9,7,9,0,3,0,32,0,0,7,3,11,14,9,0,0,42,0,4,3,0,8,3,3,0,0,19,0,0,0,6,4,4,7,0,0,22,0,3,0,3,9,3,0,0,0,23,0,0,9,18,18,12,0,0,0,60,0,0,0,5,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,52,23,40,69,94,101,64,23,3,469
SAL50014,0,0,0,6,0,0,0,3,0,7,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,0,6,0,12,0,0,0,4,0,8,3,0,0,10,0,0,0,3,0,4,0,0,0,6,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,3,5,6,25,17,25,23,13,0,110
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,10
SAL50016,6,0,5,8,5,6,9,0,0,33,8,5,7,9,3,12,12,0,0,50,0,3,9,9,0,9,3,0,0,30,0,0,0,12,3,7,0,0,0,27,0,3,7,6,14,6,0,0,0,42,0,4,4,3,7,6,0,0,0,32,0,0,0,7,3,3,4,0,0,17,0,0,0,3,7,10,0,0,0,19,0,0,5,8,17,8,3,0,0,35,0,0,0,9,4,0,0,0,0,13,0,0,0,3,0,0,0,0,0,10,4,3,4,4,4,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,40,26,40,75,86,76,56,12,3,411
SAL50017,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,13,9,14,5,19,3,0,67
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
SAL50019,0,0,0,0,0,0,9,0,0,19,0,0,0,0,5,5,3,0,0,12,0,0,0,3,0,3,0,0,0,16,0,0,0,4,0,0,5,0,0,17,0,3,4,0,0,5,0,0,0,17,0,0,4,5,0,3,0,0,0,17,0,0,0,3,3,0,0,0,0,19,0,0,0,8,4,0,0,0,0,7,0,0,0,0,6,7,0,0,0,11,0,0,0,6,0,0,0,0,0,5,0,0,0,3,0,0,3,0,0,7,5,0,3,0,3,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,23,11,25,34,32,48,33,11,0,222
SAL50020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,8,5,4,0,37
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
