SAL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SAL50001,5,10,7,0,0,3,5,8,0,45
SAL50002,86,114,93,93,63,40,32,64,16,602
SAL50003,13,6,4,5,0,0,5,10,0,40
SAL50004,16,5,0,3,0,3,0,5,0,26
SAL50005,15,3,0,0,4,5,0,3,0,23
SAL50006,124,214,76,83,89,47,25,55,10,726
SAL50007,16,0,0,0,0,0,0,0,0,21
SAL50008,340,496,718,510,562,355,345,471,71,3857
SAL50009,0,0,0,0,0,0,0,0,0,3
SAL50010,235,503,146,131,180,125,45,82,22,1472
SAL50011,507,910,966,815,657,439,358,449,65,5166
SAL50012,5,0,0,3,0,0,0,0,0,13
SAL50013,15,35,80,22,28,25,44,36,6,292
SAL50014,25,4,4,0,8,0,3,3,3,56
SAL50015,9,0,0,0,0,0,0,0,0,8
SAL50016,53,29,65,28,31,36,31,31,4,305
SAL50017,24,0,0,3,6,0,5,12,5,47
SAL50018,0,0,0,0,0,0,0,3,0,7
SAL50019,24,9,30,6,21,7,9,13,5,128
SAL50020,0,3,5,4,6,0,0,3,0,23
SAL50021,0,0,0,0,0,0,0,0,0,0
SAL50022,704,1336,230,254,450,276,85,131,55,3521
SAL50023,18,0,4,0,0,0,0,3,0,33
SAL50024,385,899,181,200,269,193,51,92,28,2303
SAL50025,32,60,70,28,29,11,23,19,6,297
SAL50026,257,416,774,706,518,427,698,705,102,4602
SAL50027,10,3,0,0,0,0,0,0,3,19
SAL50028,5,0,0,0,0,0,0,0,0,10
SAL50029,23,5,0,3,8,0,0,7,0,44
SAL50030,19,3,3,0,3,0,3,0,0,39
SAL50031,282,419,269,165,228,117,100,92,20,1688
SAL50032,131,235,229,161,187,100,102,126,20,1293
SAL50033,0,0,0,0,0,0,0,0,0,0
SAL50034,70,174,103,74,66,45,43,72,4,654
SAL50035,642,1060,269,288,473,282,85,141,41,3290
SAL50036,604,1131,761,623,754,444,311,425,89,5149
SAL50037,429,942,505,386,488,246,168,255,56,3470
SAL50038,90,55,97,60,55,53,26,85,10,521
SAL50039,577,1068,1433,888,835,650,814,903,116,7279
SAL50040,778,1156,1183,1089,1071,662,670,651,109,7361
SAL50041,3,0,0,0,0,0,0,0,0,9
SAL50042,0,0,0,0,0,0,5,0,0,6
