SA4_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
501,2557,441,39,21,2133,370,6,5558,1462,752,119,38,1452,288,21,4130,2733,2552,537,255,2468,899,92,9529,2744,3776,1034,471,2093,896,42,11047,3010,4093,1111,455,2218,904,21,11813,2874,3866,1177,614,2624,807,13,11980,1881,3123,1539,920,2641,679,9,10800,784,1270,709,540,1658,429,10,5388,190,251,144,108,642,229,0,1565,18234,20118,6412,3408,17928,5498,215,71815,2569,658,77,28,1638,350,8,5326,1040,1038,256,195,945,237,16,3727,1436,3011,1464,2134,1574,658,47,10327,1063,3859,2679,2945,1207,692,24,12476,1399,4801,2721,1882,1395,698,14,12911,1286,4241,2848,2105,1857,697,22,13059,701,2457,2512,2400,2271,625,12,10989,455,1012,1000,1112,1702,507,7,5793,257,319,203,176,1065,366,0,2377,10209,21395,13762,12971,13648,4840,152,76983,5124,1096,121,42,3765,721,13,10894,2502,1795,371,232,2397,528,37,7860,4170,5565,2001,2387,4042,1557,142,19857,3809,7634,3716,3416,3297,1581,63,23522,4414,8892,3835,2333,3614,1602,34,24727
502,1296,254,30,17,1212,174,0,2984,794,388,57,27,1055,144,0,2464,1248,1301,281,155,1431,280,5,4696,1225,1548,437,267,1240,289,10,5010,1411,1810,471,251,1391,294,8,5641,1413,1836,594,326,1679,242,6,6097,1028,1796,875,508,2043,303,12,6569,576,991,550,391,1422,283,6,4208,155,197,98,109,561,157,0,1269,9147,10114,3396,2050,12027,2179,45,38956,1243,348,49,24,1090,179,0,2934,735,661,170,129,749,147,5,2594,733,1542,802,1260,956,306,11,5611,580,1818,1199,1465,776,313,6,6158,741,2431,1227,952,999,305,8,6662,736,2269,1499,1102,1306,255,10,7181,461,1525,1449,1523,1925,300,12,7195,363,735,707,795,1568,357,5,4524,175,204,130,119,830,319,5,1783,5763,11539,7236,7374,10198,2480,56,44640,2543,607,80,36,2305,358,4,5921,1524,1045,229,156,1806,291,3,5056,1984,2840,1083,1417,2386,581,19,10308,1799,3367,1636,1730,2011,604,15,11171,2159,4239,1699,1204,2395,601,12,12309
503,2543,362,21,24,1982,194,16,5139,2392,1059,91,53,2324,436,93,6449,4980,4090,523,206,4154,1252,222,15430,3598,4667,1077,374,2547,967,141,13379,3315,4370,995,353,1899,795,126,11860,2845,3733,816,294,1857,669,94,10312,1693,2727,896,302,1812,532,41,8000,806,1236,524,221,1304,396,19,4506,231,300,139,61,732,235,6,1713,22399,22544,5086,1891,18614,5479,774,76787,2756,514,36,16,1730,240,25,5322,2811,1645,200,74,1777,437,57,7005,4186,5076,1175,1031,3133,994,180,15779,1833,4081,2536,2464,1539,711,64,13229,1461,4390,2699,1787,1091,511,62,12002,1373,3892,2195,1146,1163,452,52,10271,774,2405,1945,1186,1532,505,51,8398,438,1068,980,737,1374,427,19,5040,310,416,249,175,1315,371,4,2841,15939,23493,12026,8609,14650,4651,514,79883,5292,873,64,42,3712,434,44,10461,5202,2702,294,124,4101,872,152,13449,9163,9172,1704,1235,7289,2243,408,31210,5429,8751,3616,2836,4092,1680,204,26609,4783,8764,3695,2139,2991,1303,190,23863
504,3560,647,64,26,3533,396,3,8223,2831,1234,153,68,3516,590,50,8440,5500,5144,928,415,5707,1651,28,19378,4768,6354,1564,699,4628,1492,24,19527,4242,5588,1345,590,4053,1085,22,16924,3618,4705,1227,595,4104,790,37,15081,1924,3120,1317,720,3408,505,31,11022,826,1313,657,451,2062,368,16,5693,265,220,121,94,790,197,4,1684,27534,28318,7370,3664,31792,7071,216,105966,3419,855,99,62,2769,377,9,7585,2661,1909,363,247,2310,407,18,7916,3621,6192,2560,3060,4064,1058,46,20596,2184,6166,3812,3943,3036,917,24,20087,2130,6476,3466,2437,2822,737,19,18081,1807,5089,3102,2204,3170,553,71,16001,955,2748,2364,2223,3112,482,56,11939,595,1194,968,1029,2151,447,14,6406,290,373,216,159,1350,351,6,2745,17653,31013,16947,15362,24788,5329,266,111352,6977,1500,164,91,6301,767,11,15810,5488,3147,519,312,5825,997,68,16354,9119,11340,3489,3479,9766,2709,79,39978,6948,12517,5368,4639,7664,2410,51,39609,6376,12060,4806,3030,6879,1820,41,35012
505,7950,1127,90,43,7845,656,8,17719,6326,2345,268,118,7218,800,24,17097,11132,9644,1645,708,11395,1777,107,36407,10828,13365,3169,1291,8602,1717,57,39021,10105,12598,2848,1036,8018,1366,60,36032,7944,10005,2408,1043,7644,996,74,30120,4601,7178,2792,1336,6619,747,68,23348,1855,2975,1513,851,4368,688,24,12275,562,702,314,219,1944,387,4,4131,61300,59938,15047,6658,63647,9130,426,216148,7972,1593,147,48,6205,636,9,16618,6236,3602,637,354,5138,679,45,16700,7891,12607,4755,5256,7888,1773,86,40256,4614,13508,8571,8452,5852,1596,64,42660,4587,14300,8181,5113,5425,1237,63,38906,3911,11496,6551,4287,5884,956,128,33209,2091,6497,5798,4544,6483,916,79,26416,1299,2918,2460,2204,4982,988,33,14886,738,957,497,341,3459,712,11,6721,39342,67490,37608,30595,51323,9506,514,236379,15918,2715,236,98,14054,1292,21,34337,12561,5943,906,473,12364,1482,66,33797,19022,22259,6400,5961,19281,3552,193,76665,15446,26867,11745,9745,14453,3316,120,81683,14696,26896,11033,6150,13449,2597,122,74939
506,6760,1409,97,56,6505,860,11,15691,6139,2826,368,134,7621,1202,52,18333,10787,9499,1691,739,13083,2849,117,38760,9529,12183,3121,1433,10049,2411,96,38818,7963,10209,2445,1106,8006,1812,93,31636,6534,8197,2182,1015,7263,1282,106,26584,3762,5953,2591,1372,6131,917,114,20829,1588,2454,1234,781,3834,714,37,10639,434,543,245,184,1604,516,9,3526,53475,53280,13965,6814,64090,12561,635,204822,6417,2004,204,84,5451,718,16,14897,5532,4124,823,523,5226,932,37,17188,7018,11086,4611,5482,9461,2283,93,40040,4001,11423,7318,8097,7025,1893,56,39809,3590,10917,6205,4707,5293,1388,65,32156,3124,8885,5350,4106,5581,1084,175,28303,1778,5301,4700,4175,5747,956,160,22825,1098,2250,1946,1912,4107,994,45,12347,584,753,359,285,2659,949,15,5606,33136,56738,31516,29376,50547,11195,657,213164,13173,3414,302,135,11957,1583,25,30592,11666,6942,1183,659,12849,2136,86,35523,17805,20589,6299,6226,22548,5127,210,78799,13529,23610,10437,9524,17077,4307,147,78625,11550,21125,8650,5810,13292,3205,160,63794
507,6120,945,77,38,5556,642,22,13398,4783,1927,230,105,5270,896,34,13248,8291,7647,1341,587,7952,2086,102,28006,7576,9923,2594,1102,6236,1826,71,29330,7364,9309,2200,980,5915,1326,62,27160,5907,7862,2026,877,5765,995,85,23525,3227,5407,2244,1117,5119,826,81,18024,1506,2340,1139,714,3416,740,29,9882,423,582,268,195,1476,510,6,3457,45209,45935,12118,5724,46712,9838,490,166028,6193,1390,144,72,4587,592,10,12982,4707,3156,630,411,3646,629,30,13212,5500,9726,3865,4484,5186,1507,79,30345,3380,10088,6566,6765,4032,1292,42,32167,3366,10755,6145,4253,3925,1087,59,29573,2948,8816,5063,3537,4495,881,86,25830,1626,4894,4134,3680,4914,879,87,20215,909,2179,1800,1705,3731,948,20,11292,578,704,414,303,2491,881,10,5383,29200,51698,28759,25207,37009,8695,427,180997,12312,2333,224,105,10150,1229,36,26379,9489,5078,866,514,8919,1518,70,26456,13795,17377,5201,5073,13141,3590,179,58347,10952,20004,9165,7871,10271,3121,114,61499,10724,20063,8340,5236,9838,2411,120,56736
509,1540,344,45,34,1428,419,0,3811,1023,539,91,33,1078,417,35,3212,2023,1807,422,204,1766,1077,81,7382,2021,2303,636,336,1370,1085,41,7790,2385,2744,691,359,1832,1125,5,9140,2536,3109,957,525,2411,1082,9,10638,1703,2471,1100,828,2405,834,7,9359,714,1006,569,460,1444,500,4,4702,182,231,121,103,548,198,0,1381,14131,14554,4628,2885,14294,6738,188,57410,1455,458,59,23,1046,376,0,3417,628,777,216,160,591,265,11,2648,863,1972,962,1527,941,620,40,6918,674,2252,1678,1772,680,696,19,7777,870,3185,1891,1296,981,770,11,9010,996,3276,2226,1635,1393,776,11,10306,574,1789,1828,2006,1749,738,11,8694,343,768,770,919,1353,531,3,4695,205,235,161,147,817,286,0,1860,6613,14714,9791,9485,9552,5050,107,55326,2996,801,102,52,2476,793,4,7228,1646,1314,305,193,1677,675,48,5859,2885,3775,1386,1730,2702,1694,119,14303,2693,4553,2313,2111,2050,1788,63,15569,3248,5928,2587,1652,2810,1893,17,18149
510,808,273,42,30,976,495,0,2618,849,486,124,58,1201,971,53,3737,2629,2571,545,312,3894,4053,150,14157,2584,3132,895,464,3446,4303,102,14929,2154,2546,616,368,3492,3888,71,13128,1888,1993,497,254,3112,2862,56,10665,1007,1264,400,251,1873,1010,29,5838,253,303,106,75,507,257,3,1507,20,19,14,5,67,39,0,156,12186,12576,3241,1819,18575,17878,463,66731,823,333,74,34,644,422,4,2340,735,706,193,137,813,673,77,3330,1730,2559,987,1092,1905,2053,156,10487,984,2408,1278,1301,1148,1426,23,8557,952,2015,970,592,1214,1335,8,7089,951,1950,826,542,1481,1177,29,6949,496,1071,677,479,1190,682,27,4616,110,201,152,117,316,215,0,1116,13,25,7,11,70,37,0,150,6790,11264,5148,4313,8777,8017,332,44636,1627,604,124,62,1614,921,4,4964,1584,1193,314,195,2009,1646,131,7068,4360,5132,1534,1407,5797,6107,306,24640,3562,5542,2169,1766,4599,5724,125,23486,3102,4559,1579,959,4705,5224,80,20217
511,1303,297,42,14,1371,501,5,3539,1034,619,111,44,1483,909,38,4227,2417,2362,466,250,2916,2841,119,11369,2236,2707,709,354,2215,2609,49,10876,2241,2893,721,306,2586,2542,29,11311,2183,2802,772,404,2918,2017,37,11125,1368,1984,804,572,2453,1134,11,8333,476,687,357,283,1220,495,4,3522,94,105,64,62,352,124,4,794,13356,14449,4046,2293,17503,13159,288,65099,1189,430,64,34,1028,430,0,3179,810,895,218,173,913,566,24,3595,1269,2302,1109,1397,1402,1286,74,8839,756,2420,1515,1526,992,1181,6,8396,916,2870,1521,934,1205,1078,13,8547,917,2641,1582,1177,1709,1074,18,9120,560,1537,1325,1334,1717,821,16,7317,275,509,447,525,997,419,4,3171,95,149,76,78,462,172,4,1039,6787,13754,7849,7176,10431,7035,165,53193,2497,729,108,46,2399,930,7,6713,1842,1512,331,219,2390,1475,62,7827,3680,4665,1576,1646,4320,4128,195,20213,2991,5129,2223,1880,3202,3795,54,19275,3163,5762,2243,1237,3795,3614,41,19859
