SA4_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
501,1963,19549,21514,23690,3842,27524,9689,830,10518,9065,565,9636,3842,242,4085,1671,133,1806,49914,25167,75085
502,1239,11834,13073,14639,1698,16336,5631,379,6004,4839,215,5058,2002,102,2113,961,58,1017,29308,14289,43597
503,1535,25210,26747,21387,4412,25798,8839,1313,10155,9120,549,9664,3343,153,3497,814,37,851,45033,31672,76713
504,2380,25210,27584,29418,4044,33458,16430,1145,17576,15359,606,15969,5976,258,6240,3383,157,3532,72943,31424,104364
505,4831,50799,55627,62261,7647,69906,34781,2275,37059,35283,1164,36447,12984,470,13455,5652,228,5878,155787,62584,218372
506,3828,48173,52001,53120,8215,61331,30194,2900,33093,29784,1562,31349,12215,718,12932,6827,367,7194,135972,61933,197902
507,3985,40977,44964,47942,6371,54309,26233,1806,28043,25727,971,26695,9842,440,10277,4236,192,4432,117964,50763,168725
509,1385,16638,18024,17799,3484,21287,6308,803,7111,5310,530,5840,2505,260,2767,1420,132,1545,34723,21856,56577
510,759,9420,10178,5736,7017,12751,3576,1116,4688,3746,959,4706,2067,476,2539,1664,266,1934,17542,19255,36799
511,1221,14803,16026,12473,6488,18963,5554,1064,6618,4877,869,5746,2269,416,2687,1358,224,1576,27754,23867,51619
597,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
