POW_SA3_CODE_2021,M2_BusFer_Mng,M2_BusFer_Pro,M2_BusFer_TecTW,M2_BusFer_CoPSW,M2_BusFer_ClAW,M2_BusFer_SWks,M2_BusFer_MaOpDv,M2_BusFer_Lab,M2_BusFer_IDNS,M2_BusFer_Tot,M2_BusTrm_or_LR_Mng,M2_BusTrm_or_LR_Pro,M2_BusTrm_or_LR_TecTW,M2_BusTrm_or_LR_CoPSW,M2_BusTrm_or_LR_ClAW,M2_BusTrm_or_LR_SWks,M2_BusTrm_or_LR_MaOpDv,M2_BusTrm_or_LR_Lab,M2_BusTrm_or_LR_IDNS,M2_BusTrm_or_LR_Tot,M2_BusCarAsDriv_Mng,M2_BusCarAsDriv_Pro,M2_BusCarAsDriv_TecTW,M2_BusCarAsDriv_CoPSW,M2_BusCarAsDriv_ClAW,M2_BusCarAsDriv_SWks,M2_BusCarAsDriv_MaOpDv,M2_BusCarAsDriv_Lab,M2_BusCarAsDriv_IDNS,M2_BusCarAsDriv_Tot,M2_BusCarAsPas_Mng,M2_BusCarAsPas_Pro,M2_BusCarAsPas_TecTW,M2_BusCarAsPas_CoPSW,M2_BusCarAsPas_ClAW,M2_BusCarAsPas_SWks,M2_BusCarAsPas_MaOpDv,M2_BusCarAsPas_Lab,M2_BusCarAsPas_IDNS,M2_BusCarAsPas_Tot,M2_BusOth_Mng,M2_BusOth_Pro,M2_BusOth_TecTW,M2_BusOth_CoPSW,M2_BusOth_ClAW,M2_BusOth_SWks,M2_BusOth_MaOpDv,M2_BusOth_Lab,M2_BusOth_IDNS,M2_BusOth_Tot,M2_Bus_and_Tot_Mng,M2_Bus_and_Tot_Pro,M2_Bus_and_Tot_TecTW,M2_Bus_and_Tot_CoPSW,M2_Bus_and_Tot_ClAW,M2_Bus_and_Tot_SWks,M2_Bus_and_Tot_MaOpDv,M2_Bus_and_Tot_Lab,M2_Bus_and_Tot_IDNS,M2_Bus_and_Tot_Tot,M2_Oth_M2_Mng,M2_Oth_M2_Pro,M2_Oth_M2_TecTW,M2_Oth_M2_CoPSW,M2_Oth_M2_ClAW,M2_Oth_M2_SWks,M2_Oth_M2_MaOpDv,M2_Oth_M2_Lab,M2_Oth_M2_IDNS,M2_Oth_M2_Tot,M2_Tot_M2_Mng,M2_Tot_M2_Pro,M2_Tot_M2_TecTW,M2_Tot_M2_CoPSW,M2_Tot_M2_ClAW,M2_Tot_M2_SWks,M2_Tot_M2_MaOpDv,M2_Tot_M2_Lab,M2_Tot_M2_IDNS,M2_Tot_M2_Tot,M3_Trn_2_OthM_Mng,M3_Trn_2_OthM_Pro,M3_Trn_2_OthM_TecTW,M3_Trn_2_OthM_CoPSW,M3_Trn_2_OthM_ClAW,M3_Trn_2_OthM_SWks,M3_Trn_2_OthM_MaOpDv,M3_Trn_2_OthM_Lab,M3_Trn_2_OthM_IDNS,M3_Trn_2_OthM_Tot,M3_Bus_2_OthM_ex_trn_Mng,M3_Bus_2_OthM_ex_trn_Pro,M3_Bus_2_OthM_ex_trn_TecTW,M3_Bus_2_OthM_ex_trn_CoPSW,M3_Bus_2_OthM_ex_trn_ClAW,M3_Bus_2_OthM_ex_trn_SWks,M3_Bus_2_OthM_ex_trn_MaOpDv,M3_Bus_2_OthM_ex_trn_Lab,M3_Bus_2_OthM_ex_trn_IDNS,M3_Bus_2_OthM_ex_trn_Tot,M3_Oth_M3_Mng,M3_Oth_M3_Pro,M3_Oth_M3_TecTW,M3_Oth_M3_CoPSW,M3_Oth_M3_ClAW,M3_Oth_M3_SWks,M3_Oth_M3_MaOpDv,M3_Oth_M3_Lab,M3_Oth_M3_IDNS,M3_Oth_M3_Tot,M3_Tot_M3_Mng,M3_Tot_M3_Pro,M3_Tot_M3_TecTW,M3_Tot_M3_CoPSW,M3_Tot_M3_ClAW,M3_Tot_M3_SWks,M3_Tot_M3_MaOpDv,M3_Tot_M3_Lab,M3_Tot_M3_IDNS,M3_Tot_M3_Tot,Wkd_at_home_Mng,Wkd_at_home_Pro,Wkd_at_home_TecTW,Wkd_at_home_CoPSW,Wkd_at_home_ClAW,Wkd_at_home_SWks,Wkd_at_home_MaOpDv,Wkd_at_home_Lab,Wkd_at_home_IDNS,Wkd_at_home_Tot,Did_not_go_to_work_Mng,Did_not_go_to_work_Pro,Did_not_go_to_work_TecTW,Did_not_go_to_work_CoPSW,Did_not_go_to_work_ClAW,Did_not_go_to_work_SWks,Did_not_go_to_work_MaOpDv,Did_not_go_to_work_Lab,Did_not_go_to_work_IDNS,Did_not_go_to_work_Tot,Meth_of_trav_NS_Mng,Meth_of_trav_NS_Pro,Meth_of_trav_NS_TecTW,Meth_of_trav_NS_CoPSW,Meth_of_trav_NS_ClAW,Meth_of_trav_NS_SWks,Meth_of_trav_NS_MaOpDv,Meth_of_trav_NS_Lab,Meth_of_trav_NS_IDNS,Meth_of_trav_NS_Tot,Tot_Mng,Tot_Pro,Tot_TecTW,Tot_CoPSW,Tot_ClAW,Tot_SWks,Tot_MaOpDv,Tot_Lab,Tot_IDNS,Tot_Tot
50101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,16,12,22,20,15,3,18,8,24,0,127,12,22,27,25,9,19,8,28,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,9,688,623,203,125,438,115,27,74,47,2331,320,414,298,559,255,464,107,403,37,2846,12,11,20,16,7,8,8,14,60,148,3330,3731,3337,3025,2313,2451,950,2945,316,22399
50102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,81,4,13,3,35,70,4,248,0,3,4,0,0,6,0,9,0,29,0,0,4,0,0,0,0,5,0,10,9,30,92,6,19,7,38,87,8,291,13,48,68,21,15,28,50,50,7,301,25,76,164,30,39,38,81,138,17,608,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,12,0,3,0,5,0,0,3,4,0,26,553,531,203,113,497,86,37,63,32,2124,293,899,784,948,529,762,644,698,81,5631,22,11,34,15,21,8,14,27,108,249,4627,7733,8280,5579,5337,3940,4617,6106,792,47015
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,16,12,4,3,3,6,7,8,0,48,15,13,7,9,3,6,6,13,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,729,137,72,37,139,26,22,65,10,1230,148,118,116,140,93,100,85,195,18,1001,15,0,5,4,0,0,10,6,40,94,2131,1107,1236,901,882,646,839,1580,156,9475
50201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,8,3,19,0,9,0,48,0,0,0,4,0,10,0,0,0,14,5,4,3,10,3,29,6,11,0,68,11,18,35,22,8,19,17,26,5,154,23,42,55,64,26,74,22,55,5,359,0,11,0,11,0,4,0,7,0,33,0,0,0,0,0,6,0,0,0,8,0,3,0,0,0,0,0,0,0,7,0,8,7,10,0,15,0,11,0,52,405,448,234,171,478,111,27,47,33,1954,212,537,492,843,353,819,323,491,56,4121,7,10,15,17,0,6,18,16,70,153,2908,4962,4432,5304,3122,3984,1850,3234,443,30240
50301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,81,9,12,27,3,5,0,0,148,3,26,11,16,10,8,0,12,0,76,3,21,0,9,6,0,0,0,0,43,18,129,16,32,37,4,5,19,0,267,26,106,22,35,25,14,3,16,3,255,104,564,143,177,224,82,25,118,11,1453,23,163,41,38,96,7,0,26,8,403,4,11,0,7,4,0,0,0,0,31,0,8,0,3,0,0,0,0,0,13,31,181,41,45,101,9,8,27,8,439,863,1813,119,161,623,190,11,39,118,3941,297,2522,427,1051,622,550,59,300,69,5901,11,28,11,7,10,13,9,5,64,152,4997,19178,3964,6481,5491,2879,603,2296,677,46564
50302,0,6,3,0,4,0,0,0,0,13,4,3,0,0,0,0,0,0,0,3,115,341,66,56,159,27,15,28,10,816,48,147,19,53,71,34,6,43,3,423,39,142,33,38,19,16,15,22,3,327,202,637,119,151,255,74,34,93,22,1581,163,368,145,106,116,33,68,64,20,1088,2537,8309,1573,1251,4487,770,199,749,356,20242,257,962,224,194,577,104,17,128,54,2515,17,75,20,16,12,8,9,12,9,165,16,27,7,3,0,0,3,11,0,68,283,1063,249,213,598,114,25,147,58,2750,4587,11300,1005,299,4968,672,46,65,316,23270,2037,7035,2268,3215,3941,1339,1116,1359,357,22668,34,99,67,60,41,31,55,48,331,765,32740,82663,16954,18750,38119,9181,4272,8375,3656,214707
50401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,21,0,3,3,5,0,19,0,6,0,48,0,0,4,0,0,5,0,3,0,14,4,5,7,6,3,30,0,22,0,79,11,24,28,17,10,20,10,19,0,147,33,53,65,62,33,74,22,84,5,421,4,10,11,11,10,13,3,13,0,61,0,0,0,3,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,11,3,11,12,16,12,21,10,13,0,96,327,637,169,121,380,76,16,32,24,1790,159,364,277,565,232,515,121,306,28,2571,3,11,18,9,6,8,17,9,42,117,3113,4294,4977,3769,2920,2939,1848,2878,423,27166
50402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,13,6,6,9,4,0,4,9,7,4,60,10,17,20,11,6,6,12,13,5,101,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,14,210,350,122,78,265,55,15,20,21,1126,57,165,112,246,92,164,68,153,15,1076,0,3,3,0,4,0,10,0,30,51,1109,1775,1444,1558,1071,958,687,1064,181,9849
50403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,18,0,0,0,16,5,24,5,20,0,74,0,0,3,0,0,0,7,3,0,20,5,7,12,17,8,29,13,26,3,117,27,42,74,34,25,25,47,44,4,334,33,101,140,95,55,112,74,131,8,760,4,12,10,18,3,15,8,15,0,89,0,3,6,0,0,0,0,6,0,14,0,0,5,0,0,6,4,0,0,18,3,18,16,23,3,19,13,21,0,118,654,851,337,315,813,160,53,93,61,3344,408,982,720,1220,665,1057,589,766,87,6488,10,21,31,26,12,14,22,35,91,254,7347,10237,10450,7646,7586,6210,6341,6555,1080,63447
50501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,3,3,4,3,0,29,0,4,3,9,0,11,0,11,0,39,0,0,0,0,0,0,0,0,0,7,3,11,8,20,6,19,4,13,0,78,26,35,24,40,17,36,6,27,4,215,60,156,84,184,88,161,15,119,17,893,7,18,9,38,12,35,0,11,0,134,0,0,0,0,0,6,0,0,0,8,0,7,0,0,0,4,0,0,0,13,7,28,12,35,15,41,5,14,4,157,792,1746,447,264,1248,246,26,66,90,4922,312,1415,497,1416,622,1439,129,701,49,6572,3,17,20,16,6,13,9,17,51,143,4695,12735,5031,8869,5849,6702,1118,3967,673,49633
