POW_SA3_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
50101,95,16,21,28,37,46,79,6,56,375,9,0,4,0,0,8,0,0,0,28,118,22,36,46,95,113,107,0,10,531,15,0,0,0,12,8,0,0,0,35,112,26,29,39,45,38,20,0,5,307,28,0,14,6,3,4,6,0,0,65,195,30,32,57,92,92,35,0,10,550,182,36,55,83,185,259,229,0,26,1049,68,7,14,8,10,7,10,0,4,123,13,0,0,0,5,6,6,0,0,26,23,5,4,8,8,4,0,0,0,48,35,7,6,12,7,15,3,0,0,88,98,15,28,33,46,27,18,0,0,260,63,8,19,9,32,39,30,0,7,208,71,7,17,23,30,12,8,0,0,165,189,30,41,51,75,39,14,0,3,438,263,44,67,87,148,127,81,0,10,832,40,3,6,5,5,13,3,0,7,82,56,15,8,22,32,42,22,0,4,196,80,12,13,15,31,25,21,0,16,217
50102,82,15,11,24,39,32,102,16,42,374,139,21,25,43,106,60,23,0,10,429,297,44,70,118,280,323,322,6,18,1474,82,10,13,24,74,38,10,0,3,257,317,44,90,111,218,168,62,0,14,1019,50,6,8,17,35,30,15,0,0,160,261,23,39,79,187,167,98,0,10,863,82,14,34,56,184,204,140,0,5,715,138,10,21,34,93,64,30,0,8,397,16,0,3,5,16,13,3,0,0,56,42,0,8,7,18,19,7,0,0,100,39,4,5,9,12,13,10,0,0,101,115,21,9,35,90,62,27,0,7,371,84,14,19,17,56,40,38,0,4,273,212,23,57,59,102,82,16,0,11,552,360,35,80,98,169,123,41,0,18,916,551,82,125,224,485,421,251,7,30,2172,27,5,10,8,14,11,12,0,0,92,101,25,16,55,80,52,27,0,10,373,85,4,19,35,90,70,52,8,29,395
50103,145,8,22,28,31,42,79,6,28,394,55,5,7,9,17,11,6,0,0,115,45,8,4,8,10,15,6,0,6,99,10,0,0,0,4,3,0,0,3,21,53,6,3,9,11,8,7,0,5,100,11,3,0,3,6,0,0,0,0,26,60,5,5,10,22,16,9,0,9,136,67,3,11,17,43,17,35,3,4,209,33,0,0,4,7,4,0,0,0,42,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,17,5,0,0,0,0,0,0,0,17,36,4,0,5,10,0,0,0,0,60,23,0,0,3,10,3,28,5,6,80,52,3,10,8,20,16,0,0,6,105,83,8,0,9,15,11,0,0,3,133,120,10,5,13,30,34,20,0,4,246,16,0,0,0,5,0,0,0,0,26,24,0,3,3,3,3,5,0,0,44,36,4,0,3,4,8,11,0,10,80
50201,22,0,3,6,16,9,26,0,4,82,35,15,11,20,30,27,5,0,0,152,249,28,34,70,156,94,51,0,9,681,17,3,8,7,27,20,3,0,6,83,172,20,30,68,142,121,27,0,15,591,24,0,3,10,15,9,0,0,0,70,298,49,60,140,325,281,96,6,20,1264,100,19,33,99,312,319,184,0,12,1073,118,6,14,20,64,44,26,0,0,302,8,0,0,0,11,4,3,0,0,30,32,6,9,8,19,8,7,0,0,82,63,5,9,15,29,28,6,0,3,165,91,13,29,27,74,52,23,0,0,304,80,5,13,38,72,57,59,0,4,332,132,19,23,33,106,72,15,0,9,403,333,46,61,119,247,201,54,0,10,1081,509,111,128,265,626,585,186,4,21,2441,35,3,11,21,29,28,11,0,0,134,92,17,22,42,123,107,48,0,9,452,94,18,19,38,101,81,47,0,21,425
50301,10,4,0,0,7,7,0,0,0,25,45,13,13,5,8,11,5,0,0,104,51,8,23,25,32,30,32,0,0,198,16,0,3,9,18,7,10,0,0,64,157,33,45,48,104,112,38,0,12,551,15,9,9,17,9,14,11,0,0,82,223,49,90,141,185,190,217,5,10,1103,118,32,77,166,262,334,450,5,19,1458,27,4,14,5,34,28,27,0,0,141,20,4,8,8,0,6,7,0,0,60,94,15,15,26,39,32,18,0,0,238,107,15,21,42,20,26,18,3,5,259,415,103,146,156,234,222,144,0,13,1437,84,7,16,22,51,69,125,4,0,368,158,34,56,63,105,51,18,0,3,500,881,223,304,447,571,514,439,15,25,3425,2164,546,680,1028,1695,1397,827,43,72,8446,58,13,17,48,67,56,34,0,4,305,161,40,57,77,101,136,113,0,12,692,124,34,38,59,106,119,84,5,33,609
50302,37,12,19,19,28,21,19,0,3,155,2059,572,844,1340,2472,1777,904,47,83,10097,322,76,114,170,297,258,179,7,7,1434,383,125,150,250,402,291,191,5,12,1806,790,218,314,479,891,891,367,3,41,3999,206,38,65,95,184,184,119,7,10,902,650,170,256,383,732,681,688,10,39,3616,653,245,330,635,1353,1707,2390,13,84,7420,579,128,162,244,495,345,229,0,29,2208,345,78,103,114,198,239,161,6,10,1233,1744,411,573,867,1310,1156,524,13,46,6645,391,78,137,173,224,242,92,4,9,1350,3933,1079,1713,2449,4168,3556,2403,77,123,19499,551,131,221,372,733,828,1194,16,27,4075,3131,623,766,1004,1558,1034,551,10,93,8766,938,197,271,323,585,532,362,8,30,3245,3404,772,1053,1473,2727,2418,1505,61,129,13532,242,46,70,121,140,175,113,0,9,918,510,134,168,241,547,535,352,0,30,2530,607,153,261,465,849,828,763,23,192,4140
50401,0,0,3,4,3,10,5,0,0,35,34,11,22,28,57,43,23,0,4,214,366,89,82,166,317,282,142,8,9,1467,33,3,7,15,19,14,4,0,0,87,222,53,71,81,210,206,84,3,5,939,96,19,24,27,79,81,31,0,3,359,317,70,90,126,249,212,176,0,11,1249,133,47,55,80,235,235,250,0,19,1048,121,30,38,39,86,72,65,0,6,455,16,6,3,10,13,14,6,0,0,76,42,9,15,7,18,24,7,0,0,129,60,10,15,12,25,26,5,0,0,151,158,33,60,55,82,74,52,0,4,518,93,19,17,29,47,75,59,0,5,333,170,24,22,29,72,66,19,0,5,411,300,53,64,76,124,87,43,0,7,762,328,89,105,154,374,298,257,0,10,1620,37,6,6,11,23,26,25,0,0,138,186,35,45,67,154,146,95,0,13,745,153,51,59,73,164,137,117,8,35,794
50402,15,0,5,5,0,4,0,0,0,22,24,6,12,9,18,17,5,0,0,92,62,16,16,15,58,49,25,0,0,249,16,0,0,0,3,0,0,0,0,25,88,8,14,18,31,33,4,0,0,198,34,3,4,10,16,16,6,0,0,89,77,9,7,19,48,26,36,0,0,234,37,8,9,14,55,41,21,0,3,191,65,11,7,12,43,25,10,0,0,173,6,0,0,0,0,0,0,0,0,8,7,4,3,0,4,3,0,0,0,16,25,0,3,0,5,5,0,0,0,41,79,10,18,22,28,17,10,0,0,185,28,10,7,6,5,6,7,0,0,66,148,21,30,52,74,41,18,0,5,397,175,31,30,34,56,26,15,0,7,377,114,19,12,41,90,66,60,0,9,408,15,0,0,4,6,0,0,0,0,26,60,3,8,7,16,21,7,0,0,128,44,11,10,22,38,34,18,5,16,181
50403,104,14,14,24,54,44,106,0,15,367,145,37,39,76,183,131,63,4,6,679,576,161,155,197,547,441,212,4,29,2320,66,19,23,26,81,61,25,0,4,303,519,126,169,207,550,453,205,9,27,2267,360,86,111,169,296,255,112,0,10,1403,539,114,154,229,540,424,287,3,25,2316,214,78,71,149,493,403,304,3,26,1734,447,79,133,162,487,366,235,3,20,1932,47,20,16,29,53,37,30,0,3,235,63,7,11,28,42,27,8,0,3,184,95,10,14,31,49,59,22,0,0,279,258,50,99,113,196,188,94,8,12,1008,185,35,49,59,137,126,115,0,3,717,507,86,130,179,280,187,84,6,18,1476,525,96,134,160,295,235,93,0,9,1554,755,189,221,390,895,792,453,12,36,3754,56,3,15,25,39,39,16,0,0,197,287,86,76,104,271,232,136,0,28,1230,363,108,111,150,413,300,193,3,75,1711
50501,8,0,3,3,8,0,4,0,0,36,49,8,9,6,13,12,7,0,4,112,86,21,30,49,66,57,27,0,6,340,13,5,0,5,29,16,10,0,0,84,361,94,96,135,274,191,65,3,11,1230,36,10,16,22,30,16,3,0,0,139,528,130,171,397,757,517,267,4,36,2809,189,63,89,274,638,521,401,0,33,2207,122,17,33,54,120,59,40,0,5,451,23,11,8,15,29,13,9,0,0,111,129,34,32,45,90,58,17,0,0,410,110,27,21,33,48,51,16,0,0,313,305,55,116,152,188,134,82,0,5,1043,162,35,46,76,114,109,136,4,0,684,397,72,96,142,260,163,80,0,6,1226,1038,222,320,454,689,453,225,0,25,3423,1267,330,460,767,1335,1038,498,15,55,5761,63,20,21,43,83,54,24,0,3,308,243,67,90,136,269,241,126,0,5,1179,154,52,66,92,176,125,86,4,29,775
