SUA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
5000,4612,26575,33039,14833,10779,89835,2182,92016
5001,650,4640,5016,1845,1103,13251,200,13451
5002,334,1409,1628,660,354,4381,150,4532
5003,1211,9563,11314,3961,1943,27996,406,28400
5004,465,5076,6031,2068,1090,14732,228,14957
5005,214,1407,1683,624,388,4311,67,4379
5006,666,4760,5386,1945,1030,13793,223,14020
5007,473,3049,3859,1516,863,9761,214,9975
5008,132,1278,2231,886,436,4965,100,5062
5009,38098,268701,304618,98849,53617,763875,9295,773166
5010,248,1413,1971,716,313,4662,108,4766
