SUA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
5000,3550,725,4317,38623,14981,2722,56321,141604,34859,232781
5001,1004,128,1133,5062,1977,312,7350,19589,2027,28964
5002,50,16,63,2221,622,161,3004,6333,1899,11236
5003,1273,256,1539,12805,4548,741,18093,38873,4299,61269
5004,936,103,1045,6532,2247,346,9125,21614,2203,32951
5005,246,20,275,1682,660,108,2451,6172,1082,9700
5006,672,146,828,5723,2140,343,8209,19504,3144,30859
5007,168,31,202,4865,1205,234,6305,13652,2646,22592
5008,6,4,11,3402,534,170,4100,6405,2004,12514
5009,34762,5398,40664,357822,123392,15001,496213,1106735,96911,1699854
5010,19,7,25,2685,542,157,3377,6214,1925,11520
