SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
5000,927,3391,964,2121,240,8245,613,525,2897,1696,2694,335,8762,43,25,218,124,360,45,811,60,35,249,341,2134,94,2916,93,34,352,295,1381,563,2718,2990,2479,16140,11248,38595,3845,75297
5001,167,487,180,299,18,1265,183,119,732,430,711,73,2241,13,0,18,34,66,3,136,14,13,40,77,339,13,501,10,6,39,41,153,44,278,504,421,2214,1737,5169,356,10397
5002,91,294,93,162,20,736,139,98,430,205,239,51,1157,9,4,24,18,27,3,78,8,7,31,35,118,3,206,11,5,50,21,95,56,237,387,285,1489,871,1964,260,5254
5003,355,1047,339,710,44,2695,340,214,1513,702,1486,125,4378,5,5,40,34,109,9,210,40,21,109,136,742,21,1078,18,10,88,90,434,127,760,1034,851,5040,3426,12663,819,23828
5004,192,568,168,298,16,1351,156,137,723,347,547,60,1974,4,0,35,36,70,7,153,11,12,53,65,364,19,528,11,6,83,67,186,69,420,545,530,3097,2121,6009,502,12805
5005,55,174,68,99,9,428,25,22,142,79,157,17,436,3,0,8,0,13,5,27,0,0,4,29,177,3,217,0,0,23,13,65,20,126,92,118,639,505,1819,172,3340
5006,158,611,205,426,39,1560,173,133,754,428,640,70,2201,3,3,20,12,37,3,80,8,8,36,81,417,18,569,10,4,34,50,200,48,346,473,439,2266,1791,5990,419,11376
5007,102,383,89,211,18,898,124,68,394,207,257,36,1088,0,0,13,18,32,0,70,6,4,24,53,391,13,492,9,5,30,34,196,55,333,560,278,1911,1199,5053,370,9374
5008,79,282,71,129,9,643,66,50,207,84,106,15,533,0,0,11,11,20,6,50,6,3,32,34,163,7,251,22,9,42,36,178,30,319,332,230,1328,891,3241,215,6246
5009,10160,32807,9284,13534,1603,81171,16515,7574,51093,20777,25744,3581,125288,1006,413,4147,2060,3660,373,11666,1488,630,5147,5071,17295,905,30533,2844,639,8002,4453,11327,3996,31265,82096,34136,243933,118141,245596,25315,749213
5010,51,214,44,109,10,459,47,37,219,98,144,18,557,0,4,5,8,9,0,25,7,0,15,22,117,8,182,5,4,25,11,105,44,194,199,143,970,749,2834,204,5107
