SUA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
5000,20205,10384,11388,11776,12147,10927,6881,2267,468,86432,2051,1706,2025,2511,3411,4878,4967,2303,573,24422,94,194,279,459,877,1612,2154,1286,345,7299,4,19,48,117,295,805,1270,956,254,3762,2158,1918,2342,3081,4580,7296,8392,4552,1169,35484,3652,2703,4604,4686,4570,3713,2264,1011,259,27463,26011,14995,18334,19542,21290,21931,17536,7829,1899,149382,19362,8601,10316,10779,10420,9825,5865,2005,478,77655,1425,1984,2672,3113,3740,4797,4351,2249,769,25089,92,363,566,844,1263,1822,2062,1162,476,8653,4,35,84,190,565,1031,1185,798,367,4261,1522,2391,3320,4148,5568,7646,7598,4204,1614,38003,3414,1982,2396,2483,2475,2390,1684,907,330,18059,24301,12973,16031,17415,18455,19866,15145,7115,2421,133713,39570,18982,21704,22559,22566,20753,12740,4276,943,164084,3475,3688,4698,5628,7149,9674,9316,4550,1339,49512,192,560,840,1297,2136,3431,4218,2448,825,15949,9,59,125,308,857,1835,2453,1761,621,8025,3673,4306,5663,7233,10142,14940,15987,8756,2785,73482,7072,4682,6996,7170,7043,6104,3955,1912,592,45519
5001,2444,1396,1251,1165,1285,1155,854,329,111,9997,375,332,345,333,395,557,643,402,164,3542,20,52,50,51,119,221,294,232,83,1130,0,0,8,15,39,98,187,159,79,586,398,385,410,400,550,869,1124,793,329,5260,268,194,301,288,231,223,178,98,46,1828,3106,1975,1961,1856,2067,2247,2155,1229,481,17081,2484,1167,1115,1234,1374,1270,957,404,121,10132,234,395,447,436,519,639,704,501,200,4078,21,81,105,121,199,278,326,271,148,1555,0,9,14,39,75,149,194,191,115,794,261,490,570,605,799,1064,1228,964,469,6429,242,150,134,144,191,208,177,104,63,1410,2981,1806,1816,1985,2357,2543,2360,1475,654,17975,4931,2570,2371,2399,2657,2426,1816,736,227,20134,610,729,793,776,910,1193,1352,902,366,7618,40,132,155,175,319,495,617,505,230,2684,0,13,23,54,116,247,379,349,195,1381,649,872,971,997,1350,1932,2348,1758,795,11686,508,336,435,432,420,431,359,206,113,3239
5002,1350,528,774,769,619,382,204,44,12,4677,98,49,100,113,159,180,105,33,3,842,5,3,9,19,31,53,37,17,3,172,0,0,0,0,4,26,35,8,8,82,100,54,108,137,199,250,176,54,19,1095,310,164,204,194,227,152,62,22,7,1331,1761,743,1081,1106,1048,783,438,118,33,7108,1331,552,978,854,590,405,141,37,3,4896,75,102,174,205,184,157,117,35,13,1051,0,12,25,39,49,87,35,13,0,260,0,0,3,8,21,22,22,19,5,107,74,117,199,252,256,266,175,67,17,1429,258,138,242,203,175,125,56,18,7,1233,1662,812,1424,1310,1024,791,380,123,31,7553,2680,1082,1755,1621,1206,783,349,81,14,9577,171,150,276,323,345,339,217,65,14,1896,3,19,28,63,82,133,73,27,9,430,0,0,3,9,32,51,57,28,11,194,171,170,311,390,454,519,352,117,37,2522,571,300,440,397,407,270,122,39,18,2566
5003,6264,3142,3092,3304,2960,2447,1467,553,126,23349,927,655,711,831,957,1144,1184,585,175,7165,57,75,147,138,263,409,515,372,117,2096,0,8,20,40,82,179,324,268,99,1035,987,737,882,1014,1304,1734,2028,1221,389,10291,629,470,632,633,592,479,301,145,71,3944,7877,4345,4599,4952,4853,4657,3798,1919,588,37589,6056,2811,3041,3324,3014,2448,1572,635,161,23068,604,942,1092,1062,1226,1302,1235,722,276,8457,45,164,231,299,404,555,593,381,169,2835,5,12,38,87,147,279,379,300,212,1457,650,1122,1356,1450,1773,2139,2206,1403,656,12752,602,355,402,343,360,357,286,197,137,3043,7307,4290,4800,5117,5149,4947,4065,2244,957,38869,12317,5948,6134,6631,5975,4898,3043,1194,290,46420,1537,1593,1801,1893,2181,2442,2426,1307,450,15628,98,242,375,438,668,963,1106,751,285,4930,6,21,58,133,229,462,707,563,309,2491,1641,1861,2233,2459,3077,3871,4235,2624,1044,23047,1233,825,1033,976,953,834,585,344,209,6990
5004,3167,1483,1308,1646,1740,1390,1173,449,80,12438,357,259,277,413,485,625,782,453,112,3757,21,29,30,58,110,198,372,242,90,1146,3,0,9,11,34,78,156,188,79,548,384,290,313,481,625,898,1306,880,280,5455,312,155,228,275,272,220,181,121,38,1808,3863,1927,1851,2401,2639,2512,2666,1448,404,19696,3102,1207,1283,1876,1799,1575,1188,454,116,12608,276,309,415,511,612,676,894,497,222,4415,21,48,78,119,163,263,346,275,154,1457,0,6,10,36,58,110,195,160,114,686,297,359,498,667,834,1047,1441,932,491,6565,334,163,175,212,213,205,210,121,39,1683,3732,1731,1957,2746,2849,2833,2834,1509,645,20852,6269,2690,2592,3521,3540,2969,2362,906,197,25043,633,567,688,920,1101,1308,1673,949,325,8175,36,74,106,177,271,456,717,512,244,2607,3,6,15,45,90,189,353,345,197,1235,679,643,811,1142,1461,1943,2743,1809,770,12015,646,321,399,482,486,433,389,247,82,3481
5005,902,489,437,457,481,434,261,103,22,3580,97,99,92,107,154,196,188,128,32,1104,12,6,9,17,41,55,90,78,19,325,0,0,5,0,8,35,47,44,21,160,110,111,110,129,195,294,322,246,70,1585,165,104,92,90,126,96,67,66,13,823,1179,701,636,668,803,822,652,414,103,5987,886,416,463,447,447,433,275,133,35,3529,80,106,117,138,173,195,203,135,55,1200,0,9,30,35,44,64,82,77,38,388,0,0,13,11,24,37,36,48,23,199,87,120,153,185,245,293,317,267,121,1790,155,73,73,94,87,78,72,49,18,702,1125,606,692,728,777,803,670,447,168,6019,1784,897,899,900,931,869,539,231,54,7108,184,203,214,250,325,393,395,261,82,2307,16,19,39,59,82,114,167,156,58,714,0,3,16,15,28,77,79,94,49,354,195,230,263,314,441,590,640,507,189,3377,321,183,165,175,206,170,148,118,27,1522
5006,3008,1598,1481,1459,1500,1228,730,281,58,11336,408,319,336,401,464,656,507,271,106,3474,22,36,55,61,150,200,278,180,67,1041,0,0,10,12,57,114,173,159,77,596,435,353,396,475,666,975,953,605,252,5107,495,323,394,378,378,311,170,103,35,2591,3931,2276,2270,2309,2540,2516,1860,992,349,19039,2969,1433,1466,1483,1561,1191,730,290,79,11192,283,430,488,503,570,667,571,346,110,3962,20,69,112,126,195,217,283,182,94,1300,0,0,15,47,100,160,207,155,119,795,304,496,608,674,862,1048,1059,683,321,6060,530,285,268,298,291,240,191,120,74,2304,3807,2218,2340,2456,2710,2485,1980,1088,477,19561,5971,3034,2951,2944,3059,2416,1455,568,138,22532,691,747,823,901,1030,1324,1077,621,214,7432,42,100,162,188,342,417,560,363,160,2339,0,0,22,56,149,282,377,307,193,1392,738,852,1005,1142,1528,2026,2016,1288,575,11164,1028,608,657,675,671,554,365,220,109,4890
5007,2666,1385,1760,1523,1285,984,360,90,10,10053,245,201,267,335,347,408,290,102,16,2206,7,18,33,39,72,115,103,69,18,474,0,3,5,8,32,71,91,42,16,269,255,219,297,378,456,592,489,212,44,2945,426,291,378,357,320,290,137,49,11,2267,3353,1893,2434,2255,2059,1866,980,354,60,15265,2582,1151,1513,1398,1058,771,297,82,18,8862,152,260,396,322,361,352,214,90,28,2182,7,47,88,78,140,144,104,63,32,695,0,0,12,24,39,87,80,51,35,324,162,307,497,425,532,583,395,199,95,3199,380,224,299,257,238,179,99,33,20,1741,3123,1688,2308,2085,1829,1526,785,322,138,13805,5249,2532,3270,2919,2338,1750,656,176,26,18923,398,457,656,658,716,760,501,195,47,4387,16,66,113,111,211,259,206,125,50,1163,0,4,20,30,65,152,173,89,49,592,417,531,797,806,992,1177,878,410,143,6147,814,519,683,617,558,473,233,81,31,4006
5008,1810,691,1087,1224,775,406,104,7,0,6093,126,96,159,193,201,164,45,9,0,1001,3,3,27,17,33,45,16,8,0,151,0,0,0,3,8,19,19,7,0,51,132,103,187,216,240,226,75,24,4,1205,388,206,286,345,247,153,49,9,0,1678,2327,992,1557,1780,1266,787,222,41,5,8976,1727,547,1076,1041,650,281,62,11,0,5406,95,106,238,221,207,109,46,11,5,1046,11,19,40,42,47,33,11,6,0,203,0,0,7,9,14,15,9,7,0,59,103,129,287,272,261,163,63,20,5,1300,342,144,275,256,173,100,35,0,3,1325,2169,820,1633,1571,1092,544,164,37,8,8036,3534,1239,2164,2270,1429,681,162,16,0,11499,225,203,398,422,407,281,91,24,7,2043,11,25,69,59,73,82,29,8,0,352,0,3,6,7,26,34,24,9,0,114,234,228,470,487,506,389,142,42,7,2506,729,348,556,598,418,255,86,15,4,3005
5009,172994,99927,110116,109624,89847,65601,37804,14194,3370,703468,16677,16855,20466,22727,24728,28199,27737,15115,4721,177226,915,1760,2791,3780,5587,8550,11850,8636,3059,46930,42,132,322,732,1710,3873,6652,6423,2771,22666,17637,18753,23582,27239,32024,40621,46237,30178,10557,246822,14055,10445,14078,13504,12224,9333,5687,3322,1778,84422,204686,129112,147770,150366,134098,115557,89720,47690,15710,1034714,167357,88773,108552,108963,88684,67228,42083,15565,4702,691905,12244,22689,27847,27440,28543,30728,29861,18283,7837,205475,789,3685,5784,6321,8077,10918,13128,9803,5088,63587,46,294,701,1434,2915,5327,7503,6852,4426,29499,13081,26667,34333,35190,39531,46974,50494,34934,17354,298562,13262,9120,10963,9908,9170,7665,5941,4142,2899,73065,193697,124559,153847,154065,137390,121867,98515,54641,24953,1063528,340351,188698,218662,218584,178529,132829,79884,29759,8072,1395372,28923,39541,48314,50169,53268,58926,57600,33395,12564,382704,1705,5447,8574,10100,13660,19471,24975,18440,8147,110514,87,428,1028,2165,4630,9205,14156,13273,7199,52165,30719,45415,57916,62427,71560,87599,96727,65111,27906,545384,27319,19561,25041,23414,21398,16992,11623,7462,4677,157488
