SUA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
5000,1779,732,4317,40901,56204,27386,23840,49169,35284,232781
5001,507,124,1133,5598,8253,3833,2870,6387,2032,28964
5002,31,18,63,2251,3052,1049,643,2317,1920,11236
5003,663,270,1539,11840,16942,7638,6065,14420,4368,61269
5004,483,107,1045,6560,9449,4650,3419,6645,2233,32951
5005,115,26,275,1976,2590,1163,898,1995,1075,9700
5006,368,150,828,5550,8205,3615,2931,7311,3249,30859
5007,115,35,202,4305,5694,2162,1752,5981,2703,22592
5008,6,4,11,2411,3417,1134,978,2559,2013,12514
5009,19156,5570,40664,363821,466987,191838,143249,434275,99700,1699854
5010,13,7,25,2141,2757,910,773,2970,1966,11520
