SUA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
5000,1138,886,496,625,536,213,250,310,49,4497,1308,839,800,1360,968,302,431,558,82,6639,4350,1300,12309,3587,2727,1209,4021,3304,630,33442,321,136,315,423,453,293,325,578,38,2879,454,133,204,349,366,176,239,332,30,2281,163,96,81,66,86,36,55,137,21,740,522,218,332,366,243,198,373,526,330,3106,12756,14154,15539,8408,6969,2937,6165,6977,1382,75297
5001,92,182,60,150,95,38,24,26,7,682,154,158,116,278,155,70,25,76,10,1038,392,190,1526,768,386,290,352,433,52,4388,20,16,57,80,70,94,38,70,4,447,41,21,21,67,68,37,21,46,3,324,12,29,4,17,11,5,6,9,8,89,31,25,34,47,30,30,14,45,18,269,1137,2573,1928,1682,1018,624,505,817,117,10397
5002,49,95,21,45,35,18,8,20,3,282,115,106,39,147,82,33,14,37,6,576,199,129,568,232,184,89,126,143,21,1684,10,17,6,37,39,20,3,15,0,155,18,16,9,28,22,8,3,11,0,122,10,6,4,10,8,3,0,4,0,46,13,30,20,23,30,16,6,28,35,211,757,1563,739,732,606,245,181,334,105,5254
5003,195,294,165,189,144,58,64,51,11,1175,299,343,352,518,334,128,98,130,34,2228,721,504,4224,1568,1106,623,1136,961,163,10993,60,28,125,134,152,162,103,169,7,945,54,45,77,154,158,84,65,81,11,725,15,52,26,20,31,12,23,33,3,216,56,64,64,69,62,51,75,88,81,604,2224,5504,5345,3189,2477,1276,1688,1780,345,23828
5004,165,218,89,108,117,74,37,68,14,883,227,155,191,264,168,100,33,79,13,1222,505,186,2034,669,476,287,437,519,78,5179,24,16,44,68,57,90,26,94,3,421,56,25,30,95,56,43,31,61,3,402,27,30,10,14,17,10,6,17,0,132,41,34,35,61,34,55,30,43,37,370,1744,2957,2615,1606,1231,786,633,1051,192,12805
5005,39,36,17,29,24,13,13,4,0,175,62,50,35,57,64,16,20,18,4,327,151,70,573,171,158,71,200,157,33,1579,6,4,19,17,28,21,16,24,9,144,13,0,11,14,21,12,11,6,0,92,5,10,4,4,3,0,4,0,7,32,16,10,13,9,14,11,17,25,15,136,427,694,704,346,387,164,291,259,70,3340
5006,112,170,57,88,69,27,23,30,11,592,167,191,115,343,205,53,41,60,14,1182,407,251,1913,766,531,281,459,455,67,5132,39,18,46,82,95,111,52,89,6,550,37,15,32,65,58,28,21,46,0,313,16,22,16,15,13,8,10,20,0,116,23,48,24,47,34,27,26,39,36,302,1197,2797,2303,1663,1191,611,666,792,162,11376
5007,62,81,39,43,58,10,28,19,0,336,129,121,116,170,134,47,79,41,13,851,347,175,2095,367,373,136,616,232,69,4407,26,17,59,56,69,37,64,61,6,384,21,14,35,40,47,22,55,23,6,263,13,9,17,10,10,10,7,6,0,79,16,23,35,33,30,22,56,40,36,295,964,2045,2563,913,901,341,1012,492,145,9374
5008,40,53,61,34,36,12,15,4,4,271,101,80,116,119,106,30,34,22,8,611,266,120,1397,203,273,78,266,192,66,2864,14,10,42,18,58,26,26,34,4,226,15,18,16,24,27,13,16,16,0,155,6,10,14,3,3,3,5,9,0,52,20,18,22,12,18,8,22,15,19,156,772,1281,1838,556,675,229,415,365,124,6246
5009,7011,10562,5944,6240,6590,2411,1906,2054,511,43223,10717,11057,10767,16080,11787,5016,3663,4073,886,74045,18933,10992,79888,31147,21830,11146,17322,16391,3257,210913,1138,735,1927,2889,2961,2711,1502,2848,176,16903,1911,1443,1948,3514,3945,1785,1334,1681,230,17785,1065,2004,1060,1054,1143,532,550,723,157,8290,1544,2322,1921,2419,2119,1266,1291,1763,2386,17024,96921,234554,119864,90636,84122,37227,34900,39817,11169,749213
