SUA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
5000,112,47,1110,814,3242,392,5718,202,81,767,790,6027,268,8143,50,30,369,261,1791,134,2635,6,9,52,80,677,33,858,49,24,242,394,4120,187,5022,13,13,124,105,754,26,1034,33,3,200,161,868,81,1341,39,17,230,259,850,93,1486,21,12,133,242,1165,72,1652,8,5,29,23,96,3,167,8,13,59,42,51,3,176,9,8,47,72,181,17,328,133,42,473,208,372,30,1255,18,5,116,103,594,45,890,133,81,448,576,1175,94,2499,166,207,653,142,403,36,1606,153,62,482,184,432,47,1361,10,6,72,43,162,16,318,29,8,93,95,1419,43,1694,40,6,141,147,999,311,1642,1241,685,5840,4748,25387,1924,39825,101,135,1105,652,1090,233,3316,91,33,339,303,777,74,1615,37,26,301,199,453,63,1080,9,3,35,29,85,10,185,17,22,125,184,418,37,792,9,11,109,82,263,22,498,57,27,407,404,1178,171,2240,74,32,498,413
5001,10,3,41,31,163,10,261,5,6,19,31,184,5,238,6,4,38,34,278,15,368,0,0,4,18,85,0,113,4,5,27,75,733,13,852,0,0,18,21,113,0,151,0,3,27,41,284,13,363,3,0,21,43,146,9,229,0,4,32,38,162,12,238,3,0,17,3,17,0,43,0,3,13,19,22,4,65,0,0,11,19,35,0,60,26,11,102,47,42,6,235,0,0,12,15,75,0,106,19,20,79,102,225,19,457,39,53,137,47,78,6,362,66,22,162,74,139,11,469,0,0,7,10,30,5,55,5,10,19,19,204,8,261,0,0,15,17,112,26,175,210,133,791,699,3125,163,5111,4,6,26,22,35,6,102,0,0,0,7,12,0,19,0,8,21,29,59,10,124,0,0,9,7,8,0,27,3,0,20,30,72,8,124,0,6,4,10,21,0,41,8,5,54,72,302,19,458,3,7,69,49
5002,3,0,11,10,34,4,63,7,0,6,13,88,0,108,3,0,6,4,40,0,53,3,0,6,5,44,4,61,3,0,15,33,287,10,348,0,0,0,3,24,0,30,9,0,28,17,72,5,142,19,0,46,41,70,8,191,5,8,46,48,119,7,231,0,0,8,7,6,0,22,0,0,7,0,4,0,11,0,0,6,7,10,0,26,8,5,39,12,16,0,80,0,0,11,11,54,0,80,11,17,72,50,85,13,255,16,20,74,19,49,5,182,29,11,89,33,76,17,259,5,0,9,6,11,0,28,7,3,13,8,89,0,126,5,0,19,12,77,25,137,127,75,507,349,1258,117,2435,0,0,11,9,6,0,20,0,0,11,4,4,0,20,0,0,5,10,10,0,26,0,0,8,0,3,0,10,0,0,10,10,26,7,56,0,0,3,4,4,0,15,10,4,37,35,62,13,163,6,3,92,48
5003,14,0,22,25,101,15,170,48,14,164,195,1243,30,1700,56,14,226,191,1206,44,1737,16,7,38,58,323,9,448,20,11,127,204,1781,62,2212,6,4,23,30,192,4,259,10,0,79,72,400,18,578,8,7,47,46,204,16,328,21,7,65,76,388,36,591,3,0,20,24,33,0,78,12,6,26,49,27,6,124,5,0,14,35,65,4,120,31,24,198,100,168,26,549,4,0,27,21,140,8,200,42,23,135,127,270,11,607,55,88,238,60,104,4,549,128,34,316,88,201,22,788,0,0,11,12,37,3,65,27,9,38,32,414,11,519,4,4,55,48,325,59,499,507,256,1874,1478,7627,401,12137,0,6,27,21,53,8,115,12,6,67,42,150,13,293,17,17,101,61,208,16,418,4,0,18,15,41,3,92,11,5,51,68,207,14,360,0,0,14,18,54,3,86,18,14,146,158,683,49,1066,11,5,110,89
5004,4,9,52,52,145,13,280,16,8,87,80,607,22,820,12,13,109,69,278,15,482,0,0,13,16,69,3,101,4,0,67,150,1030,38,1284,6,0,8,13,64,0,93,4,3,54,56,256,13,390,18,4,87,76,270,14,466,6,7,15,31,139,7,201,0,0,12,3,11,0,30,14,3,41,29,8,4,99,3,0,20,33,32,6,96,34,15,147,54,64,7,324,0,0,26,26,125,10,186,16,11,69,59,127,5,289,27,48,128,29,44,5,280,56,14,134,57,99,10,369,0,0,13,11,38,4,68,8,4,11,13,182,8,222,8,0,32,33,131,26,232,239,147,1131,879,3712,219,6320,8,3,35,26,49,9,130,7,7,23,19,46,7,108,7,11,70,49,81,10,236,0,4,10,3,14,0,25,4,7,51,49,85,10,210,0,3,19,13,31,3,67,17,4,101,114,295,33,559,14,11,151,155
5005,0,0,20,25,105,10,166,0,4,6,9,89,6,112,0,0,4,3,52,0,66,3,0,4,6,31,0,49,0,0,3,18,203,17,239,3,0,10,15,86,7,118,0,0,7,11,45,3,68,0,0,6,6,39,0,54,3,0,13,26,184,11,238,0,0,0,0,3,0,4,0,0,9,4,3,0,21,0,0,0,0,12,0,11,6,0,16,11,16,0,53,0,0,3,0,22,0,24,3,6,26,21,46,6,106,10,15,47,12,22,3,103,14,0,27,9,28,3,73,0,0,0,0,3,0,3,0,0,5,10,120,5,135,0,0,4,5,46,15,71,47,27,211,189,1153,93,1723,0,6,18,17,32,6,73,0,0,0,5,11,0,18,0,0,9,7,12,0,32,0,0,5,0,3,0,5,0,0,4,10,18,3,35,0,0,3,6,12,0,32,3,0,17,23,85,8,136,4,0,13,23
5006,3,0,26,31,181,22,262,10,12,28,70,561,26,705,0,0,13,18,179,9,217,0,0,3,15,78,0,98,4,5,22,82,779,17,910,3,0,22,21,157,8,204,5,0,30,32,227,9,310,8,3,24,30,127,13,194,14,0,38,80,366,18,512,0,0,6,8,19,0,41,6,3,7,24,11,0,53,0,0,6,7,25,0,43,21,5,98,59,93,6,285,0,0,6,19,99,4,133,25,21,83,105,212,19,461,45,36,142,38,81,0,341,56,18,138,52,91,18,368,0,0,11,0,18,5,39,7,0,16,20,280,5,329,3,0,16,20,142,33,213,220,101,749,711,3730,214,5720,0,0,7,14,33,0,63,4,0,11,20,58,0,96,3,0,7,12,49,0,67,3,0,0,0,10,0,15,0,4,16,32,93,4,145,0,3,12,5,35,0,54,9,9,62,67,295,23,467,5,3,45,45
5007,0,0,0,5,4,4,7,133,23,313,154,1403,49,2079,10,0,41,38,228,7,326,4,0,5,6,68,3,86,3,0,36,32,476,15,564,0,0,9,18,168,3,198,7,0,17,14,101,10,144,3,0,29,21,69,4,130,6,0,29,32,167,16,260,0,0,5,0,6,0,16,0,0,3,10,6,0,22,0,0,9,8,71,3,88,20,3,58,20,67,9,173,0,0,3,9,33,6,56,19,12,45,57,111,5,249,36,17,73,13,33,0,168,41,11,69,24,34,11,180,0,0,0,0,7,0,9,3,3,12,20,283,3,324,9,0,10,15,143,33,217,296,83,764,498,3495,178,5309,0,0,0,4,0,0,7,49,11,148,81,217,22,523,5,3,19,21,49,8,102,0,0,0,5,9,0,21,4,0,17,19,54,7,102,0,3,13,10,49,0,69,9,9,34,38,151,19,261,8,0,54,32
5008,0,0,0,0,4,0,4,36,18,128,114,827,22,1139,15,0,35,17,103,4,181,11,0,17,8,56,0,91,9,3,30,47,491,14,594,0,0,3,7,53,3,75,4,0,23,8,62,8,106,3,0,18,24,62,0,104,6,6,34,37,116,13,212,0,0,4,3,5,0,13,0,0,0,4,0,0,8,0,0,9,8,34,0,51,5,3,16,24,40,4,96,3,4,3,9,58,6,84,14,5,51,61,78,7,225,19,18,52,11,15,3,120,20,3,24,0,17,0,68,0,0,6,5,5,0,12,3,0,10,4,102,8,136,13,4,28,20,148,19,233,153,72,493,420,2301,107,3551,0,0,0,0,0,0,0,14,10,90,44,131,11,301,3,0,13,4,16,0,34,6,3,13,6,24,0,53,3,0,12,27,54,6,104,0,0,5,4,12,0,30,9,0,54,26,83,11,184,3,0,47,32
5009,203,60,622,350,941,113,2289,4822,1044,11163,4681,19798,1009,42506,1717,394,5174,3725,15802,764,27575,727,186,1696,821,2589,134,6158,1823,455,7251,6429,36309,1536,53804,911,179,2738,1642,5783,321,11575,1566,308,5612,3112,8558,731,19886,855,151,3803,3548,6358,609,15328,1815,431,5141,4612,8789,927,21705,436,117,1553,809,1183,109,4201,1373,584,4449,2092,1160,231,9894,419,136,1831,1194,1838,180,5592,8174,1772,20955,5355,4907,942,42103,791,213,2505,1619,4088,371,9589,3037,1456,7584,5280,8052,711,26136,5233,2385,8267,1789,2692,371,20739,5232,1368,11371,3257,4489,726,26437,485,154,1867,972,1884,190,5557,778,222,2062,1684,10005,387,15137,1809,317,4591,2491,8493,2214,19914,42195,11916,110248,55457,153742,12576,386132,122,52,499,259,415,94,1441,1713,606,4746,1646,2774,286,11767,758,291,2870,1786,2751,388,8838,378,139,970,401,598,61,2543,650,313,3070,2139,3305,395,9867,395,174,1668,965,1595,218,5013,1640,480,7216,4809,10194,1150,25482,931,252,4959,3539
