SUA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5000,..,302,523,176,302,402,272,101,25,2094,..,463,849,719,1317,2499,2660,2003,907,11414,546,620,610,457,470,676,511,203,79,4165,21255,10385,12664,14503,15468,16674,12797,6091,1758,111588,..,540,7417,14468,16421,18845,16077,7180,1179,82132,..,2513,6993,5122,4729,3896,1794,458,47,25554,..,310,1431,2351,2371,1257,714,465,253,9156,42865,..,..,..,..,..,..,..,..,42865,..,6454,..,..,..,..,..,..,..,6454,..,6903,2449,1125,809,392,71,6,0,11750,..,1422,701,435,509,803,741,434,247,5297,..,547,564,268,229,206,133,45,15,2002,..,662,1231,544,667,905,629,227,38,4903,..,1076,2159,2074,3647,5765,5889,3456,1352,25419,1117,1305,1281,1074,1098,1300,1049,390,130,8738,43978,21729,24228,27465,30476,33374,27099,12654,3262,224275
5001,..,105,70,19,29,59,30,18,0,330,..,64,124,121,261,476,589,527,276,2436,49,57,50,34,43,88,73,36,15,440,2823,1690,1702,1861,2195,2302,2056,1307,471,16406,..,89,1129,1809,2203,2388,2350,1351,355,11683,..,416,854,610,529,440,221,66,5,3142,..,35,204,409,434,202,82,61,53,1481,5687,..,..,..,..,..,..,..,..,5687,..,1214,..,..,..,..,..,..,..,1214,..,1010,391,131,98,71,19,0,0,1716,..,172,87,32,52,83,94,63,29,614,..,116,99,33,33,32,12,4,0,328,..,188,162,56,71,102,59,38,0,687,..,139,290,252,481,833,914,730,401,4048,98,115,102,81,99,135,133,68,21,858,5789,3494,3314,3417,4014,4292,3884,2364,864,31444
5002,..,53,131,44,22,17,18,0,0,284,..,29,100,69,97,152,88,36,0,560,25,36,36,35,18,20,20,0,0,198,1410,664,1118,1115,826,643,293,86,17,6162,..,18,413,916,723,526,283,58,11,2942,..,123,694,512,349,211,58,13,0,1959,..,29,109,202,153,76,48,14,4,634,2858,..,..,..,..,..,..,..,..,2858,..,348,..,..,..,..,..,..,..,348,..,338,105,47,26,0,5,0,0,515,..,123,49,29,45,38,20,17,8,341,..,59,110,29,28,17,0,0,0,245,..,81,217,81,52,48,39,8,5,523,..,56,164,153,197,283,177,63,8,1102,63,75,60,54,39,44,27,4,5,373,2917,1251,1932,2019,1613,1244,653,178,37,11843
5003,..,180,206,69,90,110,83,37,5,782,..,137,279,253,478,824,954,779,401,4098,96,142,106,59,69,107,93,40,17,730,7007,4035,4476,4870,4861,4484,3640,1988,673,36017,..,142,2787,5165,5281,5114,4313,2146,405,25353,..,980,2340,1291,1016,792,344,92,9,6866,..,126,578,1066,985,378,196,126,93,3549,14325,..,..,..,..,..,..,..,..,14325,..,2887,..,..,..,..,..,..,..,2887,..,2430,765,319,192,114,31,0,0,3852,..,316,222,95,110,183,172,98,53,1247,..,250,217,107,72,37,20,7,3,719,..,365,486,190,214,224,165,55,7,1703,..,305,761,722,1038,1457,1481,1090,538,7387,227,265,223,160,135,187,171,68,28,1461,14556,8059,8386,9105,9038,8484,6902,3689,1140,69360
5004,..,59,111,31,42,59,31,13,5,355,..,48,101,107,238,400,589,471,280,2229,53,71,60,47,51,81,67,36,11,465,3521,1601,1773,2546,2673,2507,2434,1302,457,18809,..,23,1076,2710,2903,2874,3073,1548,298,14507,..,277,979,789,653,465,289,76,14,3538,..,26,159,420,524,202,72,55,35,1496,7097,..,..,..,..,..,..,..,..,7097,..,1405,..,..,..,..,..,..,..,1405,..,1054,352,110,88,49,12,4,0,1673,..,123,66,28,34,76,95,44,39,501,..,120,112,39,30,19,9,8,0,339,..,146,236,82,106,128,63,28,12,798,..,91,227,289,474,673,942,663,361,3732,93,125,124,105,109,149,132,63,13,907,7192,3391,3336,4570,4915,4636,4678,2498,766,35984
5005,..,26,33,12,14,14,8,3,0,110,..,25,42,28,66,116,145,173,79,675,13,26,29,7,15,27,22,9,3,159,975,528,612,636,683,701,562,374,124,5194,..,16,376,628,722,795,661,351,67,3614,..,150,338,250,206,159,52,16,0,1176,..,20,62,130,111,64,31,29,22,453,1982,..,..,..,..,..,..,..,..,1982,..,349,..,..,..,..,..,..,..,349,..,298,103,37,49,23,0,0,0,507,..,57,21,13,20,32,37,19,7,204,..,31,24,7,9,6,0,0,0,84,..,63,73,27,29,34,19,9,0,245,..,71,114,95,166,232,245,270,113,1302,25,58,50,25,34,43,47,20,3,310,2012,1113,1151,1210,1341,1385,1103,709,212,10235
5006,..,100,73,37,40,63,33,16,0,357,..,109,185,114,248,391,443,336,188,2014,75,89,46,40,54,75,70,28,9,484,3421,1996,2091,2193,2438,2252,1772,951,313,17416,..,69,1243,2105,2500,2398,2008,974,211,11507,..,506,1121,668,591,492,182,54,15,3623,..,66,290,482,461,259,126,88,38,1810,6854,..,..,..,..,..,..,..,..,6854,..,1243,..,..,..,..,..,..,..,1243,..,1181,389,191,128,58,15,0,0,1954,..,254,100,64,80,97,110,76,30,806,..,105,84,41,25,19,12,8,0,298,..,190,192,84,81,117,74,27,3,761,..,216,406,342,574,823,765,516,262,3897,144,163,102,87,117,122,127,50,11,917,6997,3986,3932,4064,4543,4378,3410,1796,573,33676
5007,..,73,82,31,27,32,16,0,0,262,..,104,168,95,186,214,172,96,42,1083,57,50,43,24,37,47,28,13,4,304,2849,1479,2032,1856,1647,1342,678,268,78,12225,..,52,1207,2036,1794,1611,762,246,30,7742,..,567,1311,708,541,308,80,20,0,3539,..,55,210,292,244,133,61,39,15,1051,5773,..,..,..,..,..,..,..,..,5773,..,758,..,..,..,..,..,..,..,758,..,907,274,91,72,28,4,0,0,1379,..,170,102,66,63,84,76,39,17,618,..,94,76,38,30,16,6,4,0,262,..,199,267,108,93,77,31,6,4,790,..,207,451,361,488,564,412,186,46,2717,105,101,112,67,72,93,59,23,8,647,5875,3116,4012,3767,3396,2923,1499,559,122,25268
5008,..,30,57,15,18,21,4,0,0,149,..,48,133,63,70,59,34,16,4,419,39,25,45,23,40,12,13,0,0,197,1869,687,1342,1311,916,440,138,33,3,6737,..,15,895,1654,1126,593,140,22,0,4446,..,259,866,543,300,124,35,0,0,2125,..,13,73,122,112,37,9,0,0,373,3782,..,..,..,..,..,..,..,..,3782,..,476,..,..,..,..,..,..,..,476,..,365,80,28,8,0,0,0,0,473,..,70,40,16,19,38,18,11,0,221,..,49,61,23,10,14,0,0,0,147,..,70,148,66,64,37,24,3,0,409,..,105,304,211,206,178,79,21,0,1103,74,58,78,42,57,37,20,4,0,376,3854,1478,2544,2706,1908,1052,319,65,8,13928
5009,..,7368,9217,2481,2103,2360,1629,611,127,25893,..,3916,11808,9339,10615,18385,23279,18797,9903,106034,2141,3211,2642,1472,1370,1694,1532,812,382,15251,186489,116737,143772,146534,130764,114726,91700,49377,17799,997899,..,3431,90724,172122,156455,135519,109309,53227,11032,731825,..,17470,68234,38363,25837,16903,7684,2190,333,177017,..,1785,10823,21039,24910,14412,6336,3754,2482,85539,379152,..,..,..,..,..,..,..,..,379152,..,104391,..,..,..,..,..,..,..,104391,..,63290,34610,10270,6347,3335,706,20,0,118581,..,11625,9035,3259,3300,5758,6155,3712,2163,45002,..,6001,7589,2737,1697,1151,557,183,41,19962,..,15440,23170,7088,5341,5221,3561,1310,279,61402,..,7612,25943,23508,24775,34067,37128,26818,13396,193244,4332,5871,5494,3557,2922,2941,2544,1321,531,29507,383481,236915,275619,281934,251578,219311,173981,92543,30251,1945615
