SUA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
5000,..,202,3043,6490,7819,9153,8460,4228,823,40217,..,997,3263,2450,2279,2023,1055,283,22,12368,..,33,172,446,627,420,230,124,70,2115,22157,..,..,..,..,..,..,..,..,22157,..,3157,..,..,..,..,..,..,..,3157,..,4240,1614,797,559,238,37,0,0,7487,..,803,457,266,249,345,307,133,66,2621,..,264,331,169,148,134,93,26,5,1177,..,360,708,364,366,503,358,124,20,2807,..,614,1305,1356,2333,3265,3230,1456,445,14007,569,690,669,619,622,620,540,185,55,4572,22729,11348,11563,12959,15011,16705,14311,6566,1507,112690,..,340,4380,7979,8604,9698,7615,2952,357,41916,..,1522,3732,2673,2452,1880,741,174,23,13187,..,274,1257,1911,1747,834,484,341,184,7038,20711,..,..,..,..,..,..,..,..,20711,..,3294,..,..,..,..,..,..,..,3294,..,2663,832,332,249,155,36,0,0,4263,..,618,251,167,252,459,431,302,185,2672,..,282,229,95,75,71,41,17,9,827
5001,..,28,497,827,1014,1171,1200,762,238,5736,..,176,410,292,261,211,141,33,4,1530,..,6,20,70,111,62,23,7,11,310,2914,..,..,..,..,..,..,..,..,2914,..,596,..,..,..,..,..,..,..,596,..,644,256,91,61,31,3,0,0,1097,..,92,67,23,17,34,38,10,7,295,..,49,56,25,20,15,12,0,0,183,..,87,93,39,46,44,26,17,0,349,..,74,167,132,223,361,327,198,115,1611,54,58,52,40,55,53,64,32,9,417,2965,1812,1616,1552,1819,1989,1835,1065,396,15041,..,62,631,983,1190,1217,1154,586,117,5939,..,244,445,317,270,230,77,34,4,1612,..,33,183,330,330,145,55,54,38,1165,2775,..,..,..,..,..,..,..,..,2775,..,622,..,..,..,..,..,..,..,622,..,371,133,33,34,33,8,0,0,620,..,74,24,6,29,55,57,48,21,319,..,61,34,12,10,16,0,0,0,142
5002,..,7,168,425,354,263,176,32,6,1436,..,53,312,242,188,111,38,8,0,949,..,4,3,31,38,20,16,4,0,112,1469,..,..,..,..,..,..,..,..,1469,..,157,..,..,..,..,..,..,..,157,..,202,81,29,9,0,3,0,0,328,..,53,27,19,34,17,5,5,0,170,..,27,50,13,10,8,0,0,0,106,..,25,82,36,29,28,26,0,0,239,..,26,68,83,106,134,93,27,8,540,37,33,24,24,21,19,7,7,3,180,1511,588,817,906,788,606,356,88,17,5672,..,5,246,489,368,268,105,21,6,1508,..,75,384,268,164,100,19,9,0,1009,..,29,105,171,117,56,30,12,3,524,1385,..,..,..,..,..,..,..,..,1385,..,191,..,..,..,..,..,..,..,191,..,131,30,11,14,0,0,0,0,195,..,67,29,11,16,26,20,10,3,170,..,35,63,15,17,4,3,0,0,136
5003,..,50,1109,2377,2490,2527,2245,1236,274,12307,..,392,1115,620,474,404,207,51,7,3269,..,11,43,204,240,98,54,22,22,702,7419,..,..,..,..,..,..,..,..,7419,..,1351,..,..,..,..,..,..,..,1351,..,1434,495,217,119,63,7,0,0,2350,..,187,148,67,55,61,43,25,11,597,..,125,128,69,49,23,15,4,0,406,..,183,283,120,123,116,83,20,5,924,..,174,481,467,561,629,529,314,141,3290,125,120,113,98,72,80,76,29,6,736,7544,4028,3919,4235,4179,4005,3260,1702,470,33343,..,96,1679,2792,2792,2589,2067,911,132,13050,..,586,1225,668,539,386,141,36,0,3591,..,111,535,863,749,283,143,104,70,2855,6911,..,..,..,..,..,..,..,..,6911,..,1537,..,..,..,..,..,..,..,1537,..,993,276,98,71,51,19,0,0,1504,..,125,77,26,55,126,124,73,39,648,..,125,94,43,25,12,10,5,0,313
5004,..,6,439,1169,1376,1379,1575,885,194,7019,..,109,435,385,302,228,162,52,9,1673,..,0,14,60,122,54,21,13,10,292,3619,..,..,..,..,..,..,..,..,3619,..,708,..,..,..,..,..,..,..,708,..,654,254,79,58,21,0,0,0,1074,..,71,37,14,16,26,28,12,5,215,..,52,67,27,23,14,5,3,0,186,..,84,120,53,57,72,33,23,3,446,..,48,128,183,240,277,358,193,86,1501,46,59,64,57,55,65,67,23,6,441,3667,1791,1560,2024,2248,2133,2246,1196,309,17174,..,21,643,1539,1528,1496,1491,666,106,7487,..,170,545,405,349,229,126,32,0,1867,..,25,143,358,398,147,55,47,24,1196,3471,..,..,..,..,..,..,..,..,3471,..,693,..,..,..,..,..,..,..,693,..,399,99,31,32,25,8,0,0,598,..,50,28,11,19,47,67,37,30,289,..,66,46,11,14,7,3,0,0,155
5005,..,3,150,287,358,391,336,203,45,1765,..,57,160,126,98,84,36,6,0,565,..,4,7,24,29,22,9,3,8,100,1021,..,..,..,..,..,..,..,..,1021,..,179,..,..,..,..,..,..,..,179,..,190,69,25,43,15,0,0,0,341,..,26,20,6,9,13,18,8,0,99,..,23,12,9,0,6,0,0,0,47,..,39,44,14,14,16,15,0,0,139,..,48,68,66,98,122,104,92,32,631,11,27,18,21,19,16,25,8,0,147,1033,591,540,573,658,683,535,336,85,5036,..,12,220,341,368,403,330,147,24,1845,..,96,180,124,111,80,20,7,0,612,..,15,58,104,85,39,21,16,11,353,966,..,..,..,..,..,..,..,..,966,..,172,..,..,..,..,..,..,..,172,..,110,34,7,3,3,0,0,0,167,..,31,6,6,11,18,21,9,3,102,..,16,8,0,4,0,0,0,0,36
5006,..,16,499,942,1158,1190,1042,556,147,5547,..,193,544,320,263,260,99,26,16,1724,..,6,34,85,109,67,31,24,7,374,3501,..,..,..,..,..,..,..,..,3501,..,598,..,..,..,..,..,..,..,598,..,729,254,129,81,30,4,0,0,1240,..,139,59,45,41,39,36,16,10,392,..,50,54,24,21,12,10,4,0,169,..,91,121,51,43,54,42,11,6,404,..,107,224,223,321,428,319,186,74,1886,70,75,54,46,60,51,59,22,7,435,3574,1995,1845,1868,2103,2130,1641,845,261,16263,..,49,750,1157,1335,1206,968,424,62,5959,..,312,576,352,322,230,80,27,0,1906,..,62,257,392,348,192,87,64,30,1439,3348,..,..,..,..,..,..,..,..,3348,..,645,..,..,..,..,..,..,..,645,..,451,133,63,50,30,5,0,0,717,..,113,37,21,35,59,75,57,16,416,..,59,34,14,3,9,8,9,0,131
5007,..,19,494,963,898,852,433,146,22,3820,..,221,629,357,259,179,49,10,0,1708,..,3,31,64,88,43,27,8,0,265,2982,..,..,..,..,..,..,..,..,2982,..,394,..,..,..,..,..,..,..,394,..,557,174,63,48,15,0,0,0,860,..,104,69,47,29,43,27,13,0,339,..,56,50,26,20,12,8,4,0,171,..,131,180,80,65,43,14,7,4,525,..,104,283,273,300,346,231,88,10,1630,47,48,69,42,32,53,32,14,3,340,3029,1632,1980,1918,1747,1582,820,283,41,13036,..,27,718,1074,895,762,328,97,14,3922,..,348,683,348,282,125,34,9,0,1825,..,46,180,228,161,95,41,29,12,793,2789,..,..,..,..,..,..,..,..,2789,..,361,..,..,..,..,..,..,..,361,..,358,96,30,20,15,6,0,0,516,..,70,29,15,35,46,48,26,14,280,..,40,29,11,8,3,0,0,0,95
5008,..,6,354,824,582,336,86,13,0,2193,..,104,421,280,154,73,13,0,0,1052,..,0,13,34,35,22,4,0,0,108,1953,..,..,..,..,..,..,..,..,1953,..,255,..,..,..,..,..,..,..,255,..,226,55,14,4,0,0,0,0,302,..,42,23,9,3,17,8,7,0,108,..,28,32,18,9,8,0,0,0,92,..,41,92,51,45,17,14,4,0,259,..,55,173,147,136,123,46,4,0,685,36,36,36,25,24,23,6,0,0,179,1988,792,1201,1392,990,616,176,30,4,7194,..,11,545,833,547,256,54,10,0,2247,..,155,441,259,149,48,17,0,0,1074,..,12,58,94,72,16,8,0,0,264,1825,..,..,..,..,..,..,..,..,1825,..,225,..,..,..,..,..,..,..,225,..,132,25,11,0,0,0,0,0,172,..,29,16,4,17,27,17,5,0,112,..,15,25,7,3,0,0,0,0,53
5009,..,1018,36279,80900,76428,67787,57208,30820,7486,357918,..,6696,31863,19157,12884,8896,4357,1329,229,85419,..,180,1124,3507,5465,3620,1628,759,474,16753,194800,..,..,..,..,..,..,..,..,194800,..,51452,..,..,..,..,..,..,..,51452,..,37214,21529,7077,4282,1852,333,3,0,72292,..,6090,5479,2052,1664,1933,1587,891,465,20161,..,3092,4634,1851,1151,717,368,129,20,11967,..,8071,13950,4607,3234,2862,1932,705,151,35505,..,3702,14132,14171,14162,15681,13853,8021,3492,87208,2189,2661,2849,2091,1551,1242,1010,507,151,14250,196991,120171,131850,135409,120816,104589,82283,43163,12455,947713,..,2416,54449,91225,80031,67735,52099,22410,3552,373907,..,10773,36370,19199,12953,8010,3328,863,106,91601,..,1601,9699,17532,19445,10796,4709,2994,2006,68782,184349,..,..,..,..,..,..,..,..,184349,..,52942,..,..,..,..,..,..,..,52942,..,26078,13078,3188,2065,1488,375,13,0,46292,..,5532,3560,1207,1634,3819,4564,2820,1703,24841,..,2905,2955,884,546,432,192,55,22,8000
