SUA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
5000,57,430,8,493,6077,1107,7675,354,312,30,702,5185,1439,7326,4309,477,214,5001,9006,4336,18334,7811,451,394,8654,6522,4367,19542,4523,646,170,5334,11838,4118,21290,922,1350,40,2305,16395,3231,21931,161,1306,8,1481,14072,1984,17536,27,218,4,244,6618,964,7829,3,13,0,20,1579,306,1899,18165,5199,868,24237,77288,21845,123367,92,743,25,867,5097,976,6931,745,477,79,1302,3828,904,6036,6156,753,564,7471,6433,2122,16031,9093,715,847,10649,4581,2184,17415,3886,1488,256,5628,10691,2137,18455,373,3219,50,3643,14254,1964,19866,73,2058,21,2149,11568,1430,15145,28,307,3,342,5892,879,7115,0,23,4,27,1971,419,2421,20455,9779,1850,32089,64317,13013,109415,147,1179,36,1359,11166,2080,14606,1106,788,111,2007,9014,2346,13364,10465,1231,779,12473,15433,6456,34362,16906,1162,1240,19305,11107,6546,36962,8409,2135,424,10967,22529,6251,39751,1292,4568,89,5949,30651,5199,41796,241,3364,34,3633,25641,3412,32681,56,522,10,592,12502,1848,14942,7,32,5,46
5001,0,80,0,80,989,68,1133,35,38,0,69,705,70,842,555,54,10,617,1089,258,1961,921,43,40,1005,626,221,1856,629,63,22,722,1193,162,2067,127,152,8,279,1816,148,2247,18,183,0,204,1813,142,2155,4,32,0,38,1106,84,1229,0,7,0,7,430,51,481,2286,646,94,3019,9760,1194,13971,7,100,3,107,874,56,1035,85,63,12,156,563,43,766,800,101,65,963,766,88,1816,1200,79,108,1382,513,86,1985,618,204,42,856,1394,110,2357,55,428,6,491,1931,132,2543,13,310,0,326,1901,138,2360,4,41,0,52,1313,110,1475,0,5,0,5,572,77,654,2780,1331,222,4327,9828,830,14988,6,176,0,189,1857,125,2170,119,97,12,226,1269,112,1611,1354,150,72,1577,1852,345,3773,2123,122,146,2389,1141,311,3839,1249,267,59,1577,2582,270,4425,178,576,9,770,3748,282,4793,26,492,6,531,3715,277,4515,3,80,0,85,2421,197,2701,0,10,0,10
5002,0,14,0,18,282,71,375,19,14,0,34,257,83,367,205,33,12,252,632,197,1081,457,24,24,501,411,186,1106,263,25,15,308,539,206,1048,43,48,0,88,554,142,783,6,31,0,43,338,60,438,3,3,0,12,86,18,118,0,0,0,0,23,10,33,996,202,53,1249,3127,966,5349,0,41,0,42,309,84,435,35,27,0,69,243,71,374,339,58,24,433,740,251,1424,584,55,59,705,427,174,1310,232,59,18,312,562,153,1024,23,107,0,128,552,109,791,0,61,0,57,266,58,380,0,13,0,13,92,17,123,0,0,0,0,22,10,31,1226,420,111,1754,3202,933,5887,8,53,0,61,588,163,804,57,47,0,104,497,146,748,545,93,43,681,1379,453,2504,1039,83,90,1211,841,359,2413,497,89,29,610,1101,362,2075,65,150,0,219,1102,250,1573,6,92,0,99,606,115,819,3,17,0,21,174,41,237,0,0,0,0
5003,15,124,0,138,2104,124,2365,123,70,4,192,1619,170,1976,1328,121,50,1499,2567,532,4599,2571,104,111,2784,1639,525,4952,1409,150,44,1608,2813,432,4853,239,417,9,663,3657,341,4657,41,445,0,488,3061,249,3798,10,78,0,87,1707,125,1919,0,4,0,4,492,94,588,5733,1512,215,7462,19660,2594,29714,16,204,0,221,2052,105,2382,250,135,14,401,1404,103,1907,2180,196,167,2550,1961,290,4800,3141,168,246,3554,1335,218,5117,1341,398,79,1817,3107,221,5149,96,1113,16,1222,3506,217,4947,31,711,0,743,3114,209,4065,12,104,0,111,1953,176,2244,6,8,0,10,784,163,957,7075,3036,522,10632,19214,1710,31553,29,329,4,361,4159,232,4749,371,199,21,591,3024,273,3887,3506,320,218,4046,4529,827,9396,5713,275,357,6342,2982,743,10065,2755,550,116,3424,5928,658,10003,338,1533,23,1886,7160,553,9605,73,1154,3,1230,6176,458,7859,26,179,0,202,3659,301,4162,6,10,0,14
5004,3,52,0,58,1053,78,1183,29,22,0,50,642,40,737,496,46,16,561,1109,179,1851,1303,43,46,1394,800,205,2401,943,57,38,1041,1381,219,2639,146,173,5,319,2016,171,2512,18,292,0,316,2206,142,2666,3,68,0,69,1267,109,1448,0,3,0,4,350,50,404,2947,759,102,3809,10831,1202,15832,0,78,0,83,916,82,1078,41,39,5,83,523,47,651,794,80,63,937,893,134,1957,1775,78,115,1973,637,142,2746,910,150,52,1116,1622,115,2849,49,505,6,554,2137,143,2833,14,485,10,504,2163,166,2834,0,61,0,65,1317,130,1509,0,6,0,9,588,53,645,3589,1485,242,5325,10789,1006,17118,6,136,0,142,1968,159,2264,72,60,5,136,1169,88,1390,1290,129,84,1499,2000,312,3811,3083,123,160,3365,1437,344,5149,1862,215,84,2157,3003,329,5485,194,679,9,876,4154,317,5341,32,780,7,821,4372,312,5494,3,129,0,136,2582,242,2956,0,6,0,8
5005,0,11,0,12,328,59,406,15,6,0,21,234,40,297,179,29,11,212,347,78,636,326,15,13,359,244,70,668,195,19,10,230,467,108,803,31,73,0,100,641,85,822,0,44,0,45,532,79,652,0,14,0,14,335,65,414,0,0,0,0,95,6,103,748,215,32,995,3218,594,4811,3,30,0,33,257,42,333,40,20,0,58,191,27,277,298,38,22,362,273,63,692,400,27,37,465,184,81,728,172,68,8,248,457,71,777,22,146,0,167,572,63,803,3,90,0,91,515,67,670,5,26,0,31,360,57,447,0,3,0,5,150,14,168,934,442,78,1454,2953,488,4895,6,41,0,47,587,106,737,50,27,0,80,429,67,578,474,65,31,572,618,144,1333,723,42,55,825,418,154,1398,360,95,16,475,925,179,1582,47,213,0,268,1208,146,1627,5,134,0,142,1042,136,1322,0,40,0,40,698,126,858,0,6,0,8
5006,0,58,0,60,1064,144,1269,45,36,5,81,815,114,1006,648,77,25,746,1191,331,2270,1054,52,35,1132,850,326,2309,648,70,26,742,1503,297,2540,126,191,3,323,1945,245,2516,25,176,0,197,1529,131,1860,0,41,0,45,843,98,992,0,0,0,0,292,56,349,2547,686,91,3325,10034,1745,15104,9,108,0,117,963,105,1188,133,75,5,212,719,101,1027,984,100,80,1163,955,220,2340,1352,88,119,1565,646,245,2456,617,218,41,872,1630,210,2710,63,491,8,560,1757,168,2485,13,328,0,343,1484,154,1980,4,42,0,48,924,120,1088,0,6,0,6,384,89,477,3177,1456,253,4883,9472,1403,15759,12,163,0,176,2029,253,2454,181,104,10,294,1531,212,2033,1631,175,103,1907,2152,552,4610,2401,138,157,2700,1499,572,4767,1268,291,58,1614,3134,502,5253,191,681,7,885,3703,411,4994,31,499,0,537,3013,284,3839,3,86,0,89,1769,221,2078,0,6,0,9
5007,0,39,0,47,716,83,849,64,24,0,90,804,157,1048,635,51,19,711,1379,344,2434,972,46,32,1055,903,304,2255,441,56,12,507,1285,271,2059,91,117,0,217,1435,216,1866,7,58,0,58,789,131,980,7,13,0,17,284,49,354,0,0,0,0,53,9,60,2230,400,74,2703,7651,1556,11910,8,75,0,79,609,81,772,126,51,10,187,626,96,912,955,76,74,1107,951,248,2308,1137,70,65,1270,607,208,2085,365,154,16,530,1130,172,1829,38,246,3,284,1096,145,1526,9,105,0,114,587,88,785,0,21,0,26,266,32,322,0,0,0,0,115,23,138,2638,799,162,3601,5998,1088,10682,13,109,0,126,1325,168,1616,188,77,10,277,1428,254,1961,1592,130,94,1820,2335,594,4745,2110,119,97,2327,1511,510,4344,805,211,24,1042,2412,436,3889,131,367,9,503,2540,362,3399,15,157,0,174,1384,215,1770,10,31,0,43,553,80,669,0,0,0,0
5008,0,24,0,27,408,79,506,19,14,0,29,357,101,485,403,33,9,445,846,272,1557,828,23,17,873,605,308,1780,350,23,5,387,663,214,1266,30,54,0,88,568,127,787,6,17,0,21,161,44,222,0,0,0,0,29,5,41,0,0,0,0,4,0,5,1637,194,34,1866,3632,1148,6644,3,34,0,40,315,59,417,37,23,3,67,268,71,408,599,51,48,694,686,247,1633,837,45,61,947,405,220,1571,281,68,23,363,582,144,1092,9,90,0,96,367,82,544,0,25,0,25,116,25,164,0,0,0,0,29,4,37,0,0,0,0,9,0,8,1761,341,136,2234,2774,855,5868,11,58,0,62,725,135,924,53,40,3,98,629,174,890,1003,85,55,1141,1529,523,3195,1667,67,82,1813,1008,533,3353,629,97,28,752,1246,358,2357,38,144,0,186,933,211,1328,6,44,0,49,268,68,384,0,3,0,3,63,14,75,0,0,0,0
5009,203,2939,22,3163,56529,2812,62498,1399,2080,45,3525,58752,4337,66618,30965,3492,822,35283,100665,11821,147770,75230,2659,2151,80036,59695,10633,150366,44825,3162,1170,49160,76372,8570,134098,8084,8970,215,17271,91843,6448,115557,1414,13954,59,15422,70176,4121,89720,252,3587,22,3862,40696,3130,47690,36,186,0,219,13562,1931,15710,162403,41029,4503,207935,568280,53814,830028,311,4785,48,5143,51775,2716,59635,3462,4058,206,7724,53802,3401,64924,52397,6571,2603,61575,83799,8473,153847,92076,4751,5252,102076,45178,6803,154065,42367,8479,1923,52772,79172,5449,137390,3559,25059,293,28907,88409,4543,121867,979,24078,143,25193,69130,4189,98515,228,4338,30,4602,45990,4055,54641,35,249,0,282,21203,3467,24953,195418,82365,10494,288275,538454,43098,869829,513,7724,74,8307,108305,5529,122135,4863,6136,247,11252,112551,7738,131537,83358,10068,3434,96858,184465,20296,301619,167308,7405,7398,182116,104880,17436,304430,87198,11641,3090,101931,155544,14018,271487,11646,34028,510,46176,180252,10994,237421,2390,38033,199,40615,139302,8312,188232,482,7926,54,8464,86684,7191,102330,69,434,0,499
