SUA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
5000,17,12,33,70,139,202,274,250,107,1114,34,17,22,69,248,578,825,472,148,2407,386,1544,2063,2231,2258,2207,1181,418,184,12474,7,9,13,49,105,190,286,280,137,1070,632,565,861,1245,1684,2001,1453,752,366,9561,18868,8284,9880,10126,9663,9026,5362,1767,402,73388,3414,1982,2396,2483,2475,2390,1684,907,330,18059,24301,12973,16031,17415,18455,19866,15145,7115,2421,133713,52,159,437,1140,2905,6197,7732,4367,1446,24432,2602,1998,2426,2769,2992,3095,2545,1112,277,19808,51,52,120,300,819,1906,2660,1740,427,8075,0,7,8,14,33,91,260,561,530,1506,84,183,369,814,1941,3365,4060,2198,544,13556,92,94,145,299,935,2320,3610,2564,944,10995,47,30,69,132,283,440,612,556,202,2375,68,43,55,131,443,1199,1859,1130,283,5210,874,2426,3140,3549,3803,3835,2316,841,283,21072,12,9,28,75,206,437,757,671,251,2455,1618,1133,1375,2053,2878,3700,3032,1452,595,17840,38335,18295,20931,21414,21104,19150,11574,3794,794,155389
5001,0,0,4,3,16,20,35,40,23,141,4,7,4,8,31,94,118,93,45,403,76,357,376,367,396,370,227,139,51,2349,0,0,6,10,7,22,52,64,50,204,121,118,142,188,257,326,284,200,101,1744,2397,1112,1058,1136,1264,1133,854,349,99,9414,242,150,134,144,191,208,177,104,63,1410,2981,1806,1816,1985,2357,2543,2360,1475,654,17975,10,28,62,161,402,818,1132,933,420,3959,480,390,409,391,413,412,373,202,64,3127,9,5,15,36,121,239,429,328,120,1299,0,0,0,6,3,15,37,161,183,402,10,24,48,89,221,427,553,437,138,1952,7,8,16,27,81,279,508,501,283,1716,8,3,10,7,23,41,85,75,47,296,5,13,4,12,50,154,239,203,90,770,168,564,608,547,609,630,419,205,81,3821,0,0,3,11,23,44,121,149,99,450,310,230,237,283,420,552,507,347,159,3051,4707,2446,2253,2252,2456,2177,1618,636,193,18737
5002,0,0,4,9,9,16,7,7,3,60,0,0,0,0,12,30,27,10,0,94,19,69,120,126,99,50,22,3,6,507,0,0,0,0,5,9,3,3,0,29,33,28,53,67,64,64,37,9,3,366,1296,538,950,813,546,380,135,38,7,4698,258,138,242,203,175,125,56,18,7,1233,1662,812,1424,1310,1024,791,380,123,31,7553,0,9,15,48,95,167,131,50,15,526,106,67,117,142,133,92,71,17,4,745,0,0,4,26,48,79,60,31,5,253,0,0,0,0,0,3,11,10,13,40,6,10,23,46,96,129,92,33,7,436,14,9,16,16,34,85,79,27,8,305,7,0,6,14,20,29,25,13,6,124,10,0,3,3,22,53,54,16,5,164,32,99,163,174,157,101,42,11,4,779,0,0,0,0,10,16,15,8,3,60,86,51,82,112,122,131,71,23,6,674,2608,1052,1698,1550,1130,726,320,73,16,9171
5003,5,3,4,20,36,48,68,58,56,296,15,10,9,25,54,171,247,177,66,771,179,792,902,809,795,647,384,164,109,4787,0,0,12,15,25,52,99,90,57,350,294,256,373,444,507,644,495,278,190,3486,5826,2680,2871,3094,2787,2187,1388,569,137,21548,602,355,402,343,360,357,286,197,137,3043,7307,4290,4800,5117,5149,4947,4065,2244,957,38869,20,66,193,430,953,1675,2128,1409,570,7443,1227,774,916,968,855,755,676,342,99,6619,15,13,41,122,239,519,720,489,166,2319,0,0,4,8,9,34,85,220,243,608,28,62,120,242,528,870,1146,646,222,3867,23,23,33,74,197,511,875,763,393,2882,9,3,23,35,73,99,145,143,91,636,24,16,24,41,115,301,465,371,119,1473,398,1180,1378,1270,1272,1093,690,287,149,7717,0,0,17,23,54,113,215,174,99,696,706,485,574,712,845,1118,880,484,269,6068,11802,5673,5842,6233,5558,4379,2715,1058,248,43518
5004,3,0,0,12,4,28,37,37,37,162,6,0,0,9,20,75,127,99,49,397,100,251,348,388,388,313,247,116,67,2210,0,4,4,4,16,12,50,64,42,197,123,100,138,194,255,314,322,192,91,1716,3008,1150,1215,1768,1677,1424,1064,404,97,11806,334,163,175,212,213,205,210,121,39,1683,3732,1731,1957,2746,2849,2833,2834,1509,645,20852,11,22,51,170,403,835,1314,936,428,4165,480,292,291,453,419,409,430,235,105,3114,5,0,18,62,130,290,497,355,114,1477,0,0,0,0,3,17,55,127,146,347,12,7,37,75,167,320,557,361,140,1671,9,6,9,24,93,221,549,517,261,1683,8,3,5,16,25,55,73,96,64,343,12,8,12,15,37,135,264,217,85,774,188,391,526,605,653,540,430,213,83,3627,0,4,3,11,31,46,125,126,73,419,283,202,210,309,427,516,570,346,135,3008,6048,2555,2471,3338,3309,2706,2129,812,167,23544
5005,0,0,3,0,6,5,8,14,5,46,0,0,0,6,5,23,33,35,7,118,17,77,93,102,98,93,40,27,10,560,0,0,0,0,0,3,9,10,12,45,30,19,37,37,56,67,46,48,39,382,857,402,445,426,428,408,255,120,29,3369,155,73,73,94,87,78,72,49,18,702,1125,606,692,728,777,803,670,447,168,6019,0,7,23,48,114,219,291,247,90,1043,143,113,126,144,139,137,111,75,25,1005,3,5,5,13,41,71,105,88,30,367,0,0,0,0,0,4,4,37,36,89,3,13,23,25,87,132,150,121,37,593,3,4,4,3,36,96,130,154,65,504,4,3,15,3,11,17,18,24,8,106,0,3,0,8,13,54,61,65,19,225,45,124,145,161,152,166,82,43,10,927,0,0,0,0,5,13,32,26,18,100,71,40,62,62,108,118,102,82,53,692,1732,876,868,873,878,822,501,213,45,6800
5006,0,3,4,12,21,31,63,57,32,229,3,3,5,18,43,76,123,83,35,388,70,308,385,365,382,300,172,95,77,2155,0,0,3,11,20,23,53,46,34,189,125,120,169,207,259,272,235,145,75,1611,2876,1376,1383,1379,1431,1087,642,254,65,10495,530,285,268,298,291,240,191,120,74,2304,3807,2218,2340,2456,2710,2485,1980,1088,477,19561,7,19,72,160,433,724,934,648,289,3300,581,420,423,464,466,426,351,172,65,3360,5,9,22,38,122,263,380,262,118,1214,0,0,0,7,11,17,43,133,154,366,18,29,62,128,284,557,589,359,119,2143,10,11,20,32,138,314,465,386,229,1603,4,6,12,21,35,74,124,106,73,464,12,10,4,23,75,166,250,171,70,782,152,468,596,571,633,537,313,157,111,3532,0,4,4,11,35,57,97,104,56,364,337,229,274,344,413,489,412,253,125,2866,5722,2902,2804,2750,2838,2208,1311,509,118,21163
5007,6,0,10,8,16,30,21,18,13,120,3,0,4,4,16,45,59,26,14,168,31,207,289,234,203,115,53,21,28,1184,0,0,9,0,16,16,19,16,7,84,83,67,137,149,150,150,86,44,34,901,2517,1113,1435,1311,991,698,274,75,18,8423,380,224,299,257,238,179,99,33,20,1741,3123,1688,2308,2085,1829,1526,785,322,138,13805,11,13,64,141,277,451,399,203,75,1639,316,258,353,286,245,241,122,57,19,1899,4,9,25,42,96,137,142,73,26,554,0,0,0,0,0,11,26,35,41,114,9,14,59,103,228,365,305,124,28,1232,11,7,12,15,88,209,211,111,48,722,7,4,19,14,34,51,59,43,23,245,7,0,9,13,34,95,131,63,16,361,67,298,409,369,343,217,112,39,34,1883,0,5,9,6,17,44,47,31,11,166,192,142,199,236,274,296,164,82,43,1626,5093,2439,3145,2774,2187,1616,594,159,27,18046
5008,0,0,0,4,7,5,3,0,0,19,6,0,0,3,10,6,5,4,0,31,28,68,154,133,82,31,4,0,0,513,0,0,0,0,4,0,0,0,0,7,63,27,66,66,72,42,8,10,0,358,1682,528,1038,1000,605,255,64,9,0,5180,342,144,275,256,173,100,35,0,3,1325,2169,820,1633,1571,1092,544,164,37,8,8036,0,7,40,47,134,149,53,16,0,447,163,106,212,195,139,87,31,8,0,936,0,3,16,40,53,37,22,8,4,174,0,0,0,0,0,0,4,5,0,12,10,10,26,47,90,110,51,15,0,361,8,8,8,15,37,61,31,14,0,174,0,0,3,7,11,8,8,4,0,47,4,3,4,3,16,16,13,4,0,73,61,120,240,206,150,77,17,3,0,871,0,0,0,6,9,0,3,7,0,26,130,73,111,117,130,79,23,9,0,673,3433,1189,2094,2185,1348,633,157,11,0,11057
5009,141,169,283,481,691,1053,1588,1731,1207,7350,200,145,264,498,1368,3272,5087,4230,1800,16874,3703,18538,22646,19147,16454,13412,7979,3988,2502,108371,56,47,115,311,650,1105,1778,2078,1547,7683,6421,7447,10559,12474,13542,14999,12821,7614,4600,90473,162341,84700,103102,101974,81494,60212,36902,13398,3666,647796,13262,9120,10963,9908,9170,7665,5941,4142,2899,73065,193697,124559,153847,154065,137390,121867,98515,54641,24953,1063528,360,1314,3902,8379,18055,32828,43936,32371,14289,155433,21992,19506,23792,24005,20783,17895,14967,8043,2758,153739,378,488,1230,3004,6359,11619,16987,12381,4546,56982,15,39,37,74,157,560,1866,5175,6202,14112,622,1312,2645,6402,12583,20263,25506,16169,5400,90895,490,490,806,1864,5555,13285,22120,19449,9665,73710,358,329,537,979,1417,2322,3552,3867,2274,15631,481,311,527,981,2534,6033,9749,8254,3289,32157,7875,27939,35039,31188,27394,22202,13787,6692,3501,175625,95,109,220,615,1318,2548,4323,4779,2760,16768,16122,13509,16775,20229,23324,26179,22961,13126,7020,159249,327916,180579,209245,206600,165320,119924,70299,25845,6472,1312190
