SUA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
5000,103539,97383,200924,5918,6118,12034,526,471,993,530,514,1041,759,696,1451,230,216,448,10686,10528,21218,112,92,204,232,206,440,17,20,35,5,12,19,13097,12748,25850,857,682,1542,364,282,639,20237,19825,40065,24112,15161,39275,147892,132379,280268
5001,13279,14318,27599,626,702,1322,37,30,62,22,17,41,30,37,68,11,15,25,1441,1625,3065,15,13,28,14,3,18,3,8,8,0,0,0,1568,1753,3319,111,68,168,48,46,94,2350,2564,4916,1286,911,2200,16919,17794,34712
5002,4631,4831,9454,500,630,1135,49,54,99,44,53,98,47,74,124,10,9,23,497,626,1115,6,7,13,23,37,68,4,3,10,0,0,0,680,866,1549,29,41,79,31,40,72,1248,1583,2828,1116,1060,2171,6997,7460,14458
5003,29098,30737,59832,1313,1414,2727,89,91,176,83,84,172,98,108,211,28,30,60,3350,3744,7098,26,30,57,45,42,89,8,13,22,0,0,0,3736,4138,7875,172,182,358,103,87,191,5317,5824,11146,2737,1871,4604,37147,38433,75579
5004,15222,16248,31468,1058,1128,2184,49,54,102,64,65,127,42,53,99,19,13,30,1581,1749,3330,14,9,26,13,18,25,0,0,0,0,0,0,1778,1967,3750,103,117,218,57,44,103,3000,3255,6248,1300,1148,2449,19520,20645,40171
5005,4384,4489,8873,460,504,959,12,7,20,19,20,38,14,16,28,11,3,15,288,275,559,3,3,4,5,3,10,0,0,0,0,0,0,354,332,688,16,13,30,13,12,29,844,855,1704,692,614,1305,5920,5960,11879
5006,14274,14859,29133,654,662,1324,40,47,78,41,69,110,43,41,81,16,20,33,1563,1765,3329,0,7,9,22,38,60,7,3,11,0,0,0,1731,1987,3722,87,80,164,39,42,79,2512,2776,5282,2028,1725,3757,18813,19357,38176
5007,10562,9867,20428,753,708,1463,92,64,159,80,64,141,119,95,216,35,26,60,1362,1309,2672,19,16,29,23,23,44,3,0,7,4,0,4,1732,1602,3337,129,102,233,80,40,119,2696,2459,5153,1784,1292,3073,15037,13615,28651
5008,5567,4997,10569,864,861,1728,32,36,66,54,39,94,86,63,147,31,24,58,631,645,1279,8,6,11,20,25,39,4,4,11,0,0,0,866,839,1705,55,67,124,47,31,85,1833,1800,3635,1427,1122,2546,8834,7921,16751
5009,827888,859681,1687573,22562,24302,46862,3371,3273,6649,3707,3650,7357,2637,2750,5385,884,858,1743,93390,99892,193282,425,478,898,678,669,1352,325,336,662,45,47,82,105463,111957,217415,8143,8497,16647,2540,2290,4829,138713,147045,285758,55433,44742,100176,1022037,1051462,2073502
5010,4938,4463,9399,656,690,1345,67,51,109,48,53,104,122,100,217,21,17,37,675,667,1343,10,11,22,23,17,38,3,0,5,0,0,0,964,909,1875,57,44,89,23,27,45,1701,1660,3362,1264,1007,2274,7903,7131,15034
