SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50001,6,0,0,0,0,0,0,0,0,7,22,6,11,11,15,11,8,4,0,83
SAL50002,24,5,9,17,21,14,7,3,4,97,295,123,101,177,185,169,184,63,26,1321
SAL50003,0,0,0,3,0,7,0,0,0,8,22,9,7,15,8,15,9,5,0,92
SAL50004,0,0,0,0,0,0,0,0,0,0,14,4,3,10,7,4,9,0,0,41
SAL50005,4,0,0,0,0,0,0,0,0,3,17,6,8,6,12,4,3,0,0,51
SAL50006,17,5,11,10,21,18,30,18,3,140,143,122,149,107,178,258,298,116,40,1403
SAL50007,0,0,0,0,0,0,0,0,0,7,11,4,3,10,7,5,5,0,0,41
SAL50008,116,43,56,58,53,62,41,26,8,463,1469,1033,948,997,1029,1175,698,311,100,7772
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL50010,33,17,24,31,31,19,10,9,8,185,546,313,289,404,420,337,280,174,65,2830
SAL50011,154,85,137,133,112,59,17,9,0,715,2711,1179,2030,1735,1238,704,415,147,35,10203
SAL50012,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,3,4,0,0,19
SAL50013,5,10,4,4,3,5,0,0,0,30,98,80,43,73,98,107,70,18,3,591
SAL50014,4,5,0,5,5,6,0,3,0,28,25,5,3,17,21,23,16,13,0,116
SAL50015,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,15
SAL50016,13,0,3,7,13,4,5,3,0,49,129,65,35,79,90,83,68,15,3,564
SAL50017,0,0,0,3,0,0,7,0,0,8,8,6,7,13,12,9,8,3,0,71
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50019,4,4,0,0,3,6,3,5,0,32,54,27,25,33,32,55,38,10,0,280
SAL50020,5,0,3,0,0,6,0,0,0,7,12,0,6,0,10,12,8,0,0,53
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,63,42,46,63,74,70,52,26,5,446,1189,843,749,931,931,983,926,513,169,7228
SAL50023,0,0,0,0,3,0,0,0,0,8,8,8,9,0,15,11,0,5,0,51
SAL50024,37,35,20,31,41,28,23,14,7,234,870,574,427,650,623,553,520,261,96,4578
SAL50025,0,7,4,0,8,4,8,5,0,33,105,56,42,65,102,110,69,21,4,575
SAL50026,354,255,266,200,169,151,96,68,23,1573,2469,1644,1874,1611,1570,1588,1440,874,347,13415
SAL50027,3,3,0,3,0,0,0,0,0,14,10,6,6,9,6,3,7,5,0,48
SAL50028,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,17
