SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50001,22,6,11,11,15,11,8,4,0,83
SAL50002,295,123,101,177,185,169,184,63,26,1321
SAL50003,22,9,7,15,8,15,9,5,0,92
SAL50004,14,4,3,10,7,4,9,0,0,41
SAL50005,17,6,8,6,12,4,3,0,0,51
SAL50006,143,122,149,107,178,258,298,116,40,1403
SAL50007,11,4,3,10,7,5,5,0,0,41
SAL50008,1469,1033,948,997,1029,1175,698,311,100,7772
SAL50009,0,0,0,0,0,3,0,0,0,3
SAL50010,546,313,289,404,420,337,280,174,65,2830
SAL50011,2711,1179,2030,1735,1238,704,415,147,35,10203
SAL50012,3,5,0,4,0,3,4,0,0,19
SAL50013,98,80,43,73,98,107,70,18,3,591
SAL50014,25,5,3,17,21,23,16,13,0,116
SAL50015,5,0,0,5,0,0,0,0,0,15
SAL50016,129,65,35,79,90,83,68,15,3,564
SAL50017,8,6,7,13,12,9,8,3,0,71
SAL50018,0,0,0,0,0,0,0,0,0,3
SAL50019,54,27,25,33,32,55,38,10,0,280
SAL50020,12,0,6,0,10,12,8,0,0,53
SAL50021,0,0,0,0,0,0,0,0,0,0
SAL50022,1189,843,749,931,931,983,926,513,169,7228
SAL50023,8,8,9,0,15,11,0,5,0,51
SAL50024,870,574,427,650,623,553,520,261,96,4578
SAL50025,105,56,42,65,102,110,69,21,4,575
SAL50026,2469,1644,1874,1611,1570,1588,1440,874,347,13415
SAL50027,10,6,6,9,6,3,7,5,0,48
SAL50028,0,0,0,0,3,0,4,0,0,17
SAL50029,13,3,10,16,7,9,3,0,0,61
SAL50030,12,6,7,5,13,16,6,0,0,66
SAL50031,359,337,409,378,445,490,372,200,112,3095
SAL50032,567,283,371,381,357,266,267,263,93,2850
SAL50033,0,0,0,0,3,0,0,0,0,3
SAL50034,224,151,228,217,194,151,128,78,26,1395
SAL50035,1272,894,506,789,1022,883,626,441,200,6638
SAL50036,2045,1462,1056,1471,1630,904,474,207,42,9287
SAL50037,1996,722,878,1492,831,387,270,126,84,6786
SAL50038,144,69,80,104,170,243,350,200,100,1463
SAL50039,3731,1791,2014,2278,1913,1860,1483,753,184,15988
SAL50040,3701,1686,2596,2524,1624,991,593,238,49,13998
SAL50041,0,0,0,0,0,0,3,0,0,5
SAL50042,4,0,0,0,5,0,0,0,0,12
SAL50043,11,6,6,6,19,9,3,0,0,56
SAL50044,0,3,0,0,8,7,4,0,0,17
SAL50045,0,0,4,3,10,10,7,0,0,37
SAL50046,11,0,5,4,0,3,0,3,0,25
SAL50047,3,0,0,0,0,0,0,3,0,11
SAL50048,26,9,37,26,26,24,22,8,0,173
SAL50049,0,0,3,0,0,6,5,0,0,26
SAL50050,5,0,7,4,3,12,7,3,0,54
SAL50051,260,119,108,167,186,165,192,72,9,1276
SAL50052,16,23,13,12,28,22,19,10,0,144
SAL50053,1682,1018,1805,1707,1282,1095,975,813,436,10813
SAL50054,10121,4544,6423,6035,4389,2955,1986,1073,169,37697
SAL50055,2924,1607,2990,2207,1444,1125,908,522,129,13864
SAL50056,66,35,38,49,67,107,138,50,16,565
SAL50057,0,0,0,4,0,3,7,0,0,21
SAL50058,0,0,0,0,0,0,3,0,0,8
SAL50059,14,8,6,13,14,17,15,5,0,93
