SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL50001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,11,8,3,3,3,0,42,..,0,4,9,13,6,0,4,0,28,..,0,9,3,3,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,20,..,..,..,..,..,..,..,..,20,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,6,11,9,17,10,3,4,0,80
SAL50002,..,0,0,0,5,3,3,0,0,8,..,0,0,0,9,6,16,10,3,51,0,0,0,0,0,0,3,0,0,7,147,45,49,93,82,80,74,26,11,602,..,0,47,101,109,101,103,33,16,501,..,15,25,37,22,8,12,0,0,120,..,0,4,21,14,6,0,0,0,47,281,..,..,..,..,..,..,..,..,281,..,53,..,..,..,..,..,..,..,53,..,33,5,3,4,0,0,0,0,45,..,4,3,0,0,0,6,4,0,11,..,7,0,0,0,0,0,0,0,6,..,0,0,0,4,4,3,0,0,16,..,0,4,5,10,14,28,13,7,81,3,7,4,0,0,5,7,0,0,24,288,117,96,162,161,136,154,52,23,1180
SAL50003,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,9,3,11,9,0,0,0,0,44,..,0,3,11,7,6,3,0,0,31,..,0,0,4,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,15,..,..,..,..,..,..,..,..,15,..,9,..,..,..,..,..,..,..,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,15,9,7,13,8,11,6,4,0,82
SAL50004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,4,3,0,0,23,..,0,0,8,4,0,9,0,0,22,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,10,5,4,9,0,0,44
SAL50005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,14,..,0,0,0,3,5,4,0,0,14,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,8,6,5,5,3,0,0,38
SAL50006,..,0,3,0,0,11,6,3,0,21,..,0,4,3,10,26,48,23,18,136,3,4,9,0,5,4,9,0,0,27,71,47,46,46,87,114,130,56,22,621,..,0,29,37,80,112,131,55,9,459,..,12,17,7,21,31,21,5,0,120,..,0,4,7,12,5,0,0,5,41,122,..,..,..,..,..,..,..,..,122,..,35,..,..,..,..,..,..,..,35,..,16,9,0,0,3,3,0,0,37,..,8,3,0,0,3,7,6,0,22,..,8,4,4,3,0,0,0,0,13,..,12,17,6,0,9,8,0,0,50,..,9,15,14,20,44,64,38,19,219,9,6,12,6,7,6,11,3,0,47,130,98,105,91,150,213,243,103,31,1167
SAL50007,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,11,..,0,0,9,3,5,0,0,0,19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,3,10,3,5,5,0,0,33
SAL50008,..,10,4,5,4,9,4,3,0,32,..,0,14,14,13,60,63,56,24,251,4,8,11,6,6,9,5,0,0,48,711,500,454,494,532,573,343,162,59,3831,..,14,325,562,675,777,414,155,33,2948,..,42,168,141,79,74,34,7,0,555,..,5,42,84,109,74,45,19,12,385,1410,..,..,..,..,..,..,..,..,1410,..,479,..,..,..,..,..,..,..,479,..,347,230,70,30,19,5,0,0,700,..,63,35,15,22,44,49,21,20,269,..,17,20,17,10,8,4,0,0,74,..,25,23,19,10,17,7,7,0,108,..,5,46,49,55,114,108,78,28,480,10,21,16,10,6,12,8,0,0,95,1424,1017,902,957,994,1139,676,299,96,7507
SAL50009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL50010,..,15,11,0,0,0,0,0,0,30,..,4,8,4,19,31,42,46,25,171,0,0,4,0,6,0,0,0,0,13,268,147,134,215,213,171,151,95,36,1432,..,0,81,262,296,228,166,101,19,1158,..,8,81,39,28,28,13,3,0,198,..,0,0,40,33,14,7,0,6,101,527,..,..,..,..,..,..,..,..,527,..,199,..,..,..,..,..,..,..,199,..,68,48,11,7,0,8,0,0,141,..,6,3,0,3,5,4,5,3,25,..,4,9,0,0,0,0,0,0,17,..,17,20,6,6,8,4,4,0,58,..,9,19,21,30,34,57,54,29,252,0,0,4,4,8,0,4,4,4,27,527,304,265,379,403,322,267,168,65,2705
