POW_LGA_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
LGA50080,1346,169,196,298,595,436,292,4,69,3402
LGA50210,2111,405,525,881,2027,1597,778,18,96,8424
LGA50250,1048,220,321,434,1016,879,431,15,77,4443
LGA50280,576,108,137,181,269,289,254,3,88,1893
LGA50350,689,156,187,298,630,498,262,7,21,2747
LGA50420,2273,554,641,825,1799,1708,1261,14,121,9205
LGA50490,4256,1064,1392,2147,4922,4162,2638,34,260,20891
LGA50560,46,9,4,5,13,10,8,0,0,103
LGA50630,174,32,50,58,125,102,22,0,16,584
LGA50770,53,0,8,14,10,5,4,0,4,98
LGA50840,241,26,23,35,74,39,17,0,6,470
LGA50910,17,3,3,12,13,11,10,0,3,71
LGA50980,456,76,90,146,362,360,482,16,51,2039
LGA51080,9,0,4,5,8,3,7,0,3,34
LGA51120,10,0,3,9,11,17,4,0,0,57
LGA51190,1688,218,370,636,1346,1131,687,13,97,6186
LGA51260,1174,181,253,361,634,636,429,12,76,3753
LGA51310,1405,344,466,651,1085,977,822,9,61,5819
LGA51330,6106,1317,1727,2735,6819,5532,3950,45,335,28572
LGA51400,207,38,48,83,168,131,70,0,11,755
LGA51470,10,7,5,6,3,9,11,0,0,46
LGA51540,229,21,40,48,85,94,160,5,23,714
LGA51610,15,3,0,3,9,10,0,0,0,39
LGA51680,151,19,37,40,78,64,35,3,11,441
LGA51710,194,21,15,34,45,47,16,0,10,392
LGA51750,634,99,204,312,477,456,450,5,38,2687
LGA51820,4588,1022,1339,2009,4950,4347,2392,40,253,20939
LGA51860,17,6,0,3,9,5,3,0,4,44
LGA51890,287,35,42,66,156,106,40,4,23,755
LGA51960,152,35,52,75,211,151,73,3,18,770
LGA52030,16,3,0,9,3,6,0,0,0,47
LGA52100,22,0,9,6,11,12,11,0,0,68
LGA52170,268,53,83,108,193,227,204,4,17,1161
LGA52240,34,6,10,10,10,13,22,3,4,113
LGA52310,15,0,0,0,3,11,11,0,0,48
LGA52380,24,7,3,16,32,29,18,5,6,146
LGA52450,28,8,0,7,11,29,12,0,0,106
LGA52520,40,5,10,12,15,56,42,5,4,177
LGA52590,137,10,19,21,49,44,86,3,10,377
LGA52660,208,33,49,68,190,132,54,4,11,760
LGA52730,264,21,34,50,52,36,42,0,21,515
LGA52800,128,21,37,45,110,103,139,6,5,599
LGA52870,171,19,25,35,60,52,50,11,20,437
LGA52940,17,0,0,0,3,6,3,0,0,24
LGA53010,5,4,0,5,4,5,6,0,0,37
LGA53080,46,5,14,20,39,31,33,0,8,196
LGA53150,206,35,58,67,145,141,84,0,6,746
LGA53220,1224,294,464,558,1395,1149,631,27,126,5860
LGA53290,343,43,78,97,182,150,129,3,22,1047
LGA53360,98,10,27,23,62,62,127,5,12,432
LGA53430,2725,588,702,1053,2048,1897,1335,34,130,10507
LGA53570,190,23,35,70,103,93,256,73,34,879
LGA53640,25,5,7,9,17,27,24,0,0,110
LGA53710,11,0,7,3,7,4,0,0,0,30
LGA53780,2882,615,792,1198,3045,2504,1393,19,152,12605
LGA53800,887,130,211,287,710,661,369,15,59,3323
LGA53920,62,14,14,20,35,44,52,5,0,258
LGA53990,521,62,126,189,409,421,408,28,70,2219
LGA54060,60,8,16,9,29,16,16,0,0,154
LGA54130,12,4,3,9,22,7,13,0,0,75
LGA54170,5273,1264,1739,2906,5221,3832,2110,41,214,22608
LGA54200,1711,273,376,574,1389,1054,639,17,78,6114
LGA54280,853,185,301,481,1222,1188,883,32,85,5237
LGA54310,884,184,272,386,1062,936,576,23,97,4417
LGA54340,109,9,23,32,106,69,77,28,14,467
LGA54410,20,0,5,3,10,10,21,0,0,76
LGA54480,13,0,0,0,3,6,8,0,0,36
LGA54550,37,11,11,10,13,22,31,0,4,145
LGA54620,38,4,8,14,17,19,21,0,7,142
LGA54690,10,0,3,7,3,0,0,0,0,22
LGA54760,11,0,0,4,4,8,6,0,0,32
