SA3_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
50101,0,0,0,8,14,0,13,0,0,31,45,0,16,4,4,67,53,0,27,0,0,81,54,5,29,7,3,99,178,11,109,8,6,307,375,53,375,34,39,876,200,41,218,24,14,498,34,13,80,3,3,134,8,3,13,0,5,32,9,0,3,0,0,12,0,0,0,0,0,8,4,0,3,0,0,3,40,4,36,3,6,89,1017,126,929,87,90,2252
50102,3,0,0,7,43,0,12,3,6,66,114,0,31,4,14,151,124,6,56,0,17,206,241,20,164,8,21,446,466,38,437,35,64,1048,503,105,660,55,66,1387,113,37,139,23,20,329,22,7,25,3,8,64,5,3,8,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,6,4,3,0,0,8,55,3,34,3,12,106,1702,223,1573,137,221,3856
50103,0,0,0,0,22,0,4,4,0,28,39,0,14,0,8,63,39,0,16,0,0,55,47,8,30,5,7,90,86,11,94,6,11,201,48,11,75,8,4,146,5,3,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,20,0,4,49,321,28,268,21,40,682
50201,0,0,0,13,40,0,8,0,3,50,113,3,16,4,3,142,116,3,23,4,0,149,253,11,120,4,29,413,573,47,421,41,59,1145,518,112,596,65,90,1379,154,49,158,33,37,437,42,11,33,11,13,114,13,0,12,4,0,29,6,0,0,0,0,9,0,0,4,0,0,0,5,0,0,0,0,0,55,8,25,3,14,105,1906,250,1431,161,259,4008
50301,0,0,0,4,11,0,0,0,0,13,26,0,4,0,0,32,28,0,11,0,0,38,96,0,97,3,3,198,171,0,98,5,5,279,253,7,114,8,4,389,235,22,125,20,5,407,122,14,118,18,7,280,84,21,101,29,7,248,52,28,102,29,8,219,50,24,102,22,9,206,94,85,266,100,25,568,30,8,28,7,6,71,1249,222,1174,249,74,2968
50302,0,0,0,9,40,0,8,0,0,46,85,0,18,4,0,110,140,5,44,7,0,195,462,13,186,11,4,668,858,16,199,14,11,1095,1818,25,470,28,22,2362,1293,25,460,32,25,1833,516,22,294,35,24,900,212,21,231,16,11,498,120,12,120,18,14,286,56,14,94,7,8,183,84,14,105,18,8,233,91,6,33,3,0,134,5799,173,2264,197,126,8566
50401,0,0,0,8,28,0,4,5,0,37,81,0,18,0,9,109,73,3,33,0,11,121,216,7,107,5,10,332,485,23,280,27,35,855,865,65,543,44,81,1595,345,41,245,38,38,706,83,7,69,10,15,188,17,3,22,8,7,48,12,4,3,4,0,25,5,0,3,0,0,6,5,0,0,3,0,6,43,4,33,5,8,88,2260,167,1378,130,201,4145
50402,0,0,0,4,11,0,7,0,0,18,22,0,6,0,0,34,14,0,3,0,0,22,31,4,19,0,0,56,74,5,64,0,11,156,100,15,97,11,29,249,39,17,50,7,13,129,6,8,23,6,9,47,5,0,9,3,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,28,324,55,284,24,73,764
50403,3,0,0,10,22,0,12,0,0,35,79,4,25,3,6,114,48,0,28,0,4,85,148,11,102,17,17,292,512,52,431,17,54,1064,718,142,897,71,120,1948,203,74,345,48,65,733,41,20,61,10,11,148,13,0,21,5,9,51,9,0,12,5,5,23,0,0,4,0,0,7,3,0,6,0,0,12,59,7,46,3,14,128,1874,308,1991,188,302,4659
50501,0,0,0,7,16,0,8,0,0,24,49,0,4,0,0,55,35,3,12,0,4,57,72,0,33,0,7,113,292,5,113,6,13,427,708,65,613,53,66,1501,368,87,462,80,78,1069,146,70,265,57,46,580,54,30,136,40,27,283,34,20,74,29,15,170,15,3,35,8,5,72,8,9,33,10,14,75,45,5,30,3,5,90,1840,308,1811,283,278,4524
