SA3_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
50101,19,35,12,659,1058,152,11,189,26,1431,19992,1814,130,672,104,22716
50102,25,22,14,861,1613,363,89,255,20,2342,36694,3921,821,770,101,42309
50103,5,6,15,345,665,28,10,44,23,771,9413,339,69,152,87,10060
50201,25,14,0,1478,1464,356,87,138,10,2050,36786,5097,1105,548,59,43597
50301,294,0,3,673,370,149,314,5,6,844,17833,3613,4879,9,22,26355
50302,447,0,3,919,401,282,1647,430,29,2789,17913,8095,23728,504,106,50349
50401,35,0,0,473,842,403,188,34,12,1474,25455,6744,3057,42,47,35348
50402,5,0,3,187,526,80,0,12,0,622,14984,811,30,34,18,15867
50403,20,7,0,513,1657,362,89,445,47,2590,46653,4666,1019,709,111,53156
50501,37,3,4,635,1017,233,151,124,28,1558,52099,5090,1595,251,48,59093
50502,382,9,3,1602,1785,1543,514,44,22,3915,50735,28637,6440,153,78,86042
50503,11,13,0,1364,2302,327,22,51,15,2722,67321,5296,323,241,53,73237
50601,24,8,7,391,1277,259,35,81,10,1663,30340,3014,252,312,43,33956
50602,60,0,0,403,889,452,428,30,24,1813,19511,7313,5721,62,68,32679
50603,219,0,0,964,819,391,158,22,15,1419,27873,6065,1850,62,71,35928
50604,15,18,5,808,1673,298,56,57,11,2099,39238,3983,855,247,56,44372
50605,9,3,0,387,657,71,8,85,8,817,20462,1093,96,262,29,21938
50606,0,10,4,134,390,3,0,14,0,412,10308,82,35,127,27,10578
50607,168,0,0,527,250,261,173,0,8,693,8961,6466,2996,6,30,18452
50701,35,3,4,455,1061,334,183,99,10,1687,35563,5316,3021,328,44,44274
50702,37,4,4,300,339,229,232,131,19,940,10213,3744,2849,342,67,17214
50703,0,3,0,126,716,34,80,31,5,874,15129,584,603,38,19,16373
50704,335,0,0,1105,656,294,156,16,10,1134,30739,7447,2220,20,50,40478
50705,20,4,0,606,1794,197,133,93,19,2241,45323,2882,1720,392,64,50382
50901,6,22,17,977,1386,155,10,218,12,1785,22812,1595,100,634,107,25248
50902,0,32,21,998,2124,130,12,154,29,2447,21589,689,109,572,205,23168
50903,8,15,0,493,761,64,8,29,7,861,7630,337,20,133,40,8162
51001,4,228,85,876,1351,290,58,799,207,2707,9332,1493,315,4898,740,16774
51002,59,45,46,677,651,213,178,232,61,1337,5761,1199,783,885,251,8873
51003,66,61,70,749,945,282,87,316,97,1720,7434,1276,557,1488,386,11148
51101,6,6,24,419,534,68,28,63,10,698,5684,489,129,250,88,6634
51102,0,104,25,286,368,87,24,279,67,830,3070,388,150,3150,224,6981
51103,13,30,54,472,1136,312,53,480,56,2032,11253,2074,231,916,254,14732
51104,20,60,44,834,1769,299,75,340,98,2575,18856,2151,369,1514,380,23274
59797,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
