SA3_CODE_2021,C21_M_FoodHos_PS_15_19,C21_M_FoodHos_PS_20_24,C21_M_FoodHos_PS_25_34,C21_M_FoodHos_PS_35_44,C21_M_FoodHos_PS_45_54,C21_M_FoodHos_PS_55_64,C21_M_FoodHos_PS_65_74,C21_M_FoodHos_PS_75_84,C21_M_FoodHos_PS_85over,C21_M_FoodHos_PS_Tot,C21_M_MixFld_pr_15_19,C21_M_MixFld_pr_20_24,C21_M_MixFld_pr_25_34,C21_M_MixFld_pr_35_44,C21_M_MixFld_pr_45_54,C21_M_MixFld_pr_55_64,C21_M_MixFld_pr_65_74,C21_M_MixFld_pr_75_84,C21_M_MixFld_pr_85over,C21_M_MixFld_pr_Tot,C21_M_FldStu_ID_15_19,C21_M_FldStu_ID_20_24,C21_M_FldStu_ID_25_34,C21_M_FldStu_ID_35_44,C21_M_FldStu_ID_45_54,C21_M_FldStu_ID_55_64,C21_M_FldStu_ID_65_74,C21_M_FldStu_ID_75_84,C21_M_FldStu_ID_85over,C21_M_FldStu_ID_Tot,C21_M_FldStu_NS_15_19,C21_M_FldStu_NS_20_24,C21_M_FldStu_NS_25_34,C21_M_FldStu_NS_35_44,C21_M_FldStu_NS_45_54,C21_M_FldStu_NS_55_64,C21_M_FldStu_NS_65_74,C21_M_FldStu_NS_75_84,C21_M_FldStu_NS_85over,C21_M_FldStu_NS_Tot,C21_M_Tot_15_19,C21_M_Tot_20_24,C21_M_Tot_25_34,C21_M_Tot_35_44,C21_M_Tot_45_54,C21_M_Tot_55_64,C21_M_Tot_65_74,C21_M_Tot_75_84,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85over,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85over,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85over,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85over,C11_F_ArchBuild_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RS_85over,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85over,C11_F_Health_Tot,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85over,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85over,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85over,C11_F_Soc_cult_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Creative_art_85over,C11_F_Creative_art_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85over,C11_F_FoodHos_PS_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85over,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85over,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85over,C11_F_FldStu_NS_Tot,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85over,C11_F_Tot_Tot
50101,17,51,161,210,175,109,68,17,5,806,5,0,10,0,6,0,0,3,0,25,0,10,20,44,48,36,29,9,3,209,134,71,325,399,440,292,280,179,77,2206,298,523,2009,2796,2872,2478,2298,1070,269,14613,0,9,59,62,45,11,8,7,0,203,0,0,14,15,11,4,4,0,0,47,0,5,25,30,22,14,22,17,3,136,0,6,26,34,9,8,7,0,0,82,7,15,79,74,35,20,3,7,0,235,9,32,209,307,359,276,213,87,25,1511,8,29,203,331,351,293,134,59,22,1427,61,112,332,409,298,204,94,43,6,1570,27,67,214,287,229,177,81,23,0,1105,9,23,82,107,81,43,21,21,4,386,32,86,201,215,126,93,35,7,8,796,3,0,0,0,3,0,0,0,0,10,0,4,14,20,18,15,4,0,0,77,118,56,159,200,214,182,164,214,114,1419,271,449,1617,2089,1800,1327,794,486,184,9023
50102,17,45,161,200,179,138,87,38,6,876,11,5,12,3,0,12,5,5,0,47,8,20,55,85,97,81,49,16,5,410,208,219,607,663,725,603,527,322,186,4053,643,1415,4131,4748,4741,4453,3353,1468,420,25372,3,26,93,119,88,33,13,3,0,373,3,6,29,30,26,13,0,0,0,105,6,38,104,92,80,23,21,28,10,397,4,19,37,41,24,6,3,0,0,140,17,29,98,104,57,29,5,4,0,340,29,125,487,526,674,542,263,91,18,2756,17,79,424,693,625,419,178,54,23,2512,173,383,859,826,643,381,148,55,14,3483,78,174,518,521,465,341,85,16,4,2209,13,53,101,95,67,53,20,9,5,414,70,228,352,347,205,119,49,20,5,1396,8,4,8,6,0,8,0,0,0,23,0,8,26,39,28,16,12,0,0,122,279,190,390,487,457,418,402,482,245,3335,701,1354,3538,3924,3428,2388,1200,764,317,17620
50103,0,10,24,44,37,35,17,10,0,188,3,0,3,0,0,0,0,0,0,10,4,5,5,7,20,21,18,7,4,86,69,49,111,135,204,182,194,125,33,1103,149,246,665,807,998,1134,1071,476,108,5657,0,0,15,30,23,12,6,0,0,84,0,7,3,14,10,15,0,0,0,36,0,0,8,12,15,12,8,6,0,62,0,0,0,6,5,5,0,0,0,16,5,7,41,50,34,16,6,0,0,163,5,20,71,122,189,188,99,29,8,727,3,21,82,143,143,187,65,18,0,679,25,55,109,143,129,136,62,11,11,684,10,31,71,122,138,102,36,7,0,526,0,7,27,25,40,31,13,0,0,148,18,26,43,69,39,39,21,6,0,257,4,0,0,0,0,3,0,0,0,6,0,0,3,7,4,7,3,0,0,29,40,9,55,81,98,109,101,81,43,613,111,193,537,829,870,846,422,165,63,4026
50201,29,56,157,195,186,170,105,62,10,965,14,6,8,0,6,6,5,0,0,40,6,15,38,61,87,82,56,38,11,397,201,224,537,659,674,557,551,491,259,4165,619,1292,3442,3906,4235,4412,4197,2452,709,25253,5,24,52,73,40,16,9,3,0,221,4,11,23,23,29,13,4,0,0,108,5,19,42,58,37,33,39,38,10,283,5,9,19,16,15,7,10,3,0,80,8,22,75,60,33,10,3,0,0,209,16,106,287,361,487,424,313,157,31,2181,22,90,314,496,465,368,214,88,23,2075,106,249,578,640,609,474,343,116,29,3141,69,170,351,436,478,249,107,40,11,1920,17,39,85,65,53,41,35,14,3,352,70,224,334,309,213,191,121,46,6,1515,4,5,9,0,0,4,3,0,0,24,0,3,18,28,18,18,11,6,0,103,272,162,315,399,370,466,545,658,325,3511,594,1122,2504,2963,2846,2310,1756,1182,437,15719
50301,18,31,48,58,49,39,28,20,8,283,3,0,9,0,3,0,0,0,0,24,5,8,39,29,45,30,24,26,7,227,95,106,253,230,225,197,181,149,108,1555,265,1344,3042,3311,4293,3748,3034,1810,631,21485,0,117,211,175,209,121,68,47,10,954,0,9,28,32,57,21,3,0,0,152,0,34,114,90,88,28,9,15,11,383,0,51,47,78,64,35,12,4,5,296,5,10,54,43,33,12,5,0,0,181,9,161,505,729,987,686,448,254,101,3879,8,57,197,378,661,708,417,180,64,2664,18,275,597,835,718,430,240,112,59,3284,8,164,467,673,618,577,254,168,45,2980,9,109,191,147,150,106,81,34,19,849,13,47,82,102,84,67,30,26,7,454,3,3,0,0,0,3,0,0,4,18,0,22,36,44,50,52,37,22,8,269,147,144,223,209,255,230,200,249,294,1949,238,1198,2746,3531,3990,3071,1803,1102,621,18301
50302,16,104,406,269,156,110,71,27,4,1154,7,5,9,7,4,0,4,4,0,47,4,38,99,112,85,65,36,12,12,454,80,328,1189,780,553,464,371,243,125,4134,277,2229,10349,8579,5662,4666,3301,1418,423,36892,3,176,500,285,171,97,28,7,6,1272,0,23,169,103,77,20,3,0,0,394,3,57,402,189,74,36,29,23,8,824,0,51,215,108,71,28,11,0,0,490,0,21,111,53,32,20,3,5,0,239,13,324,1230,863,775,563,259,153,62,4232,8,87,484,516,570,584,238,105,55,2649,42,563,2078,1299,882,420,198,87,42,5617,21,350,1446,942,672,532,171,60,24,4225,21,298,703,364,185,88,39,15,0,1709,25,195,360,209,139,96,34,22,10,1095,3,12,5,9,0,7,3,5,0,45,0,29,98,74,49,27,18,7,3,307,171,436,1145,528,440,453,324,398,387,4284,314,2635,8948,5536,4144,2979,1356,885,595,27384
50401,8,80,259,215,154,108,71,34,0,919,9,0,0,5,0,5,0,3,0,28,9,21,57,92,76,54,41,17,3,366,92,175,526,493,382,344,241,211,90,2555,304,1333,5333,5193,3827,3124,2371,1172,317,22973,7,58,243,180,88,49,19,8,0,656,4,16,105,56,32,15,6,0,0,243,6,34,137,85,59,51,36,26,20,457,0,26,82,43,23,6,9,0,0,182,0,22,71,40,21,13,0,3,0,174,7,161,547,462,430,345,158,74,22,2223,15,77,381,476,452,354,181,58,18,2006,55,367,1157,924,600,371,181,66,22,3749,27,190,734,538,463,357,121,37,7,2465,16,134,322,213,117,56,38,13,12,922,32,164,329,226,161,123,47,15,9,1113,7,0,3,3,0,11,3,0,0,38,0,18,69,59,35,26,12,5,0,222,181,170,400,344,350,352,341,373,231,2748,359,1449,4578,3650,2830,2132,1158,685,337,17176
50402,8,19,55,51,69,55,29,9,3,306,3,0,4,0,0,3,0,0,0,14,5,0,22,35,50,40,23,21,3,206,76,96,288,296,284,269,153,127,76,1655,227,549,1657,1887,2131,2065,1654,801,188,11153,0,14,48,84,46,30,15,0,3,243,4,0,11,16,25,11,3,0,0,70,0,11,28,26,32,24,10,13,0,155,5,6,10,21,16,10,0,0,0,60,6,13,45,55,40,23,8,0,0,181,5,55,136,249,353,291,166,61,12,1341,10,35,116,267,331,300,127,43,7,1242,41,102,273,376,366,242,113,37,14,1575,30,66,187,281,274,233,88,17,0,1187,21,42,73,79,64,63,31,15,0,372,24,80,119,146,94,67,32,10,5,578,3,0,0,0,0,0,0,0,0,8,0,0,16,12,17,8,7,0,0,62,144,66,106,183,199,229,177,145,83,1340,295,497,1163,1796,1865,1532,771,344,143,8405
50403,37,106,386,495,257,198,86,31,4,1601,26,17,14,4,4,3,7,4,0,72,5,22,125,173,127,99,53,20,3,628,261,321,935,911,812,561,356,244,139,4537,860,2235,7622,8017,6223,4957,2938,1258,329,34443,3,36,131,144,90,46,8,0,0,460,3,14,67,61,47,11,3,0,0,202,14,27,118,96,105,59,26,31,3,479,5,27,41,31,24,12,0,0,0,137,10,34,78,82,41,19,4,0,0,267,15,163,480,552,537,379,163,70,10,2366,34,122,437,624,559,320,121,30,5,2259,115,412,1179,1153,743,387,177,59,7,4234,76,261,701,663,554,308,92,28,0,2675,22,91,217,122,75,43,14,9,0,601,84,265,436,431,231,135,44,7,5,1642,0,0,4,3,4,6,3,0,0,29,0,11,35,42,33,32,3,5,0,166,389,287,541,678,570,452,417,318,216,3865,767,1726,4466,4694,3596,2210,1097,559,256,19371
50501,19,62,145,221,248,212,116,50,9,1083,12,15,7,0,0,5,7,0,0,48,9,35,62,114,134,109,85,40,9,589,167,222,545,695,716,565,423,243,153,3731,798,2362,6333,8584,8922,8104,6286,2379,582,44351,5,109,254,288,191,101,28,13,0,991,4,13,56,123,106,37,5,0,0,343,5,38,118,167,144,98,53,35,21,685,0,41,76,96,63,22,8,0,0,305,21,38,104,81,42,22,6,0,0,316,26,376,873,1310,1634,937,380,149,42,5723,20,178,719,1222,1523,1077,339,103,36,5217,128,579,1516,2048,1769,1112,417,180,42,7786,109,400,930,1069,972,654,197,45,6,4382,37,181,317,267,174,118,49,18,3,1165,120,381,522,644,485,320,109,36,13,2632,3,8,10,8,3,8,12,3,5,61,8,13,47,67,64,50,15,8,5,275,362,229,384,470,580,506,403,509,288,3737,850,2585,5923,7854,7758,5075,2000,1101,467,33609
