SA4_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
501,43,1640,739,310,1891,0.7,1478,2.4
502,45,1733,630,300,1664,0.7,1286,2.4
503,38,2500,1144,400,3239,0.9,2243,2.3
504,37,1863,846,340,2164,0.8,1817,2.6
505,38,1950,871,360,2302,0.7,1921,2.6
506,36,1800,821,350,2139,0.8,1796,2.6
507,38,1900,871,350,2298,0.7,1897,2.6
509,46,1403,718,250,1757,0.7,1339,2.3
510,33,1950,1281,200,2795,0.9,2396,2.8
511,39,1517,877,255,2152,0.8,1708,2.4
597,40,1733,2123,0,1375,0.7,2250,1.7
599,0,0,0,0,0,0,0,0
