CED_CODE_2021,DC0_4FSEOMSEO,DC0_4FSEOMUolsEVww,DC0_4FSEOMUolNwna,DC0_4FSEOMUol_pEns,DC0_4FSEOMUolsET,DC0_4FSEOM_LpEns,DC0_4FSEOMT,DC0_4FUolsEVwwMSEO,DC0_4FUolsEVwwMUolsEVww,DC0_4FUolsEVwwMUolNwna,DC0_4FUolsEVwwMUol_pEns,DC0_4FUolsEVwwMUolsET,DC0_4FUolsEVwwM_LpEns,DC0_4FUolsEVwwMT,DC0_4FUolNwnaMSEO,DC0_4FUolNwnaMUolsEVww,DC0_4FUolNwnaMUolNwna,DC0_4FUolNwnaMUol_pEns,DC0_4FUolNwnaMUolsET,DC0_4FUolNwnaM_LpEns,DC0_4FUolNwnaMT,DC0_4FUol_pEnsMSEO,DC0_4FUol_pEnsMUolsEVww,DC0_4FUol_pEnsMUolNwna,DC0_4FUol_pEnsMUol_pEns,DC0_4FUol_pEnsMUolsET,DC0_4FUol_pEnsM_LpEns,DC0_4FUol_pEnsMT,DC0_4FUolsETMSEO,DC0_4FUolsETMUolsEVww,DC0_4FUolsETMUolNwna,DC0_4FUolsETMUol_pEns,DC0_4FUolsETMUolsET,DC0_4FUolsETM_LpEns,DC0_4FUolsETMT,DC0_4F_LpEnsMSEO,DC0_4F_LpEnsMUolsEVww,DC0_4F_LpEnsMUolNwna,DC0_4F_LpEnsMUol_pEns,DC0_4F_LpEnsMUolsET,DC0_4F_LpEnsM_LpEns,DC0_4F_LpEnsMT,DC0_4FTMSEO,DC0_4FTMUolsEVww,DC0_4FTMUolNwna,DC0_4FTMUol_pEns,DC0_4FTMUolsET,DC0_4FTM_LpEns,DC0_4FTMT,DC5_9FSEOMSEO,DC5_9FSEOMUolsEVww,DC5_9FSEOMUolNwna,DC5_9FSEOMUol_pEns,DC5_9FSEOMUolsET,DC5_9FSEOM_LpEns,DC5_9FSEOMT,DC5_9FUolsEVwwMSEO,DC5_9FUolsEVwwMUolsEVww,DC5_9FUolsEVwwMUolNwna,DC5_9FUolsEVwwMUol_pEns,DC5_9FUolsEVwwMUolsET,DC5_9FUolsEVwwM_LpEns,DC5_9FUolsEVwwMT,DC5_9FUolNwnaMSEO,DC5_9FUolNwnaMUolsEVww,DC5_9FUolNwnaMUolNwna,DC5_9FUolNwnaMUol_pEns,DC5_9FUolNwnaMUolsET,DC5_9FUolNwnaM_LpEns,DC5_9FUolNwnaMT,DC5_9FUol_pEnsMSEO,DC5_9FUol_pEnsMUolsEVww,DC5_9FUol_pEnsMUolNwna,DC5_9FUol_pEnsMUol_pEns,DC5_9FUol_pEnsMUolsET,DC5_9FUol_pEnsM_LpEns,DC5_9FUol_pEnsMT,DC5_9FUolsETMSEO,DC5_9FUolsETMUolsEVww,DC5_9FUolsETMUolNwna,DC5_9FUolsETMUol_pEns,DC5_9FUolsETMUolsET,DC5_9FUolsETM_LpEns,DC5_9FUolsETMT,DC5_9F_LpEnsMSEO,DC5_9F_LpEnsMUolsEVww,DC5_9F_LpEnsMUolNwna,DC5_9F_LpEnsMUol_pEns,DC5_9F_LpEnsMUolsET,DC5_9F_LpEnsM_LpEns,DC5_9F_LpEnsMT,DC5_9FTMSEO,DC5_9FTMUolsEVww,DC5_9FTMUolNwna,DC5_9FTMUol_pEns,DC5_9FTMUolsET,DC5_9FTM_LpEns,DC5_9FTMT,DC10_12FSEOMSEO,DC10_12FSEOMUolsEVww,DC10_12FSEOMUolNwna,DC10_12FSEOMUol_pEns,DC10_12FSEOMUolsET,DC10_12FSEOM_LpEns,DC10_12FSEOMT,DC10_12FUolsEVwwMSEO,DC10_12FUolsEVwwMUolsEVww,DC10_12FUolsEVwwMUolNwna,DC10_12FUolsEVwwMUol_pEns,DC10_12FUolsEVwwMUolsET,DC10_12FUolsEVwwM_LpEns,DC10_12FUolsEVwwMT,DC10_12FUolNwnaMSEO,DC10_12FUolNwnaMUolsEVww,DC10_12FUolNwnaMUolNwna,DC10_12FUolNwnaMUol_pEns,DC10_12FUolNwnaMUolsET,DC10_12FUolNwnaM_LpEns,DC10_12FUolNwnaMT,DC10_12FUol_pEnsMSEO,DC10_12FUol_pEnsMUolsEVww,DC10_12FUol_pEnsMUolNwna,DC10_12FUol_pEnsMUol_pEns,DC10_12FUol_pEnsMUolsET,DC10_12FUol_pEnsM_LpEns,DC10_12FUol_pEnsMT,DC10_12FUolsETMSEO,DC10_12FUolsETMUolsEVww,DC10_12FUolsETMUolNwna,DC10_12FUolsETMUol_pEns,DC10_12FUolsETMUolsET,DC10_12FUolsETM_LpEns,DC10_12FUolsETMT,DC10_12F_LpEnsMSEO,DC10_12F_LpEnsMUolsEVww,DC10_12F_LpEnsMUolNwna,DC10_12F_LpEnsMUol_pEns,DC10_12F_LpEnsMUolsET,DC10_12F_LpEnsM_LpEns,DC10_12F_LpEnsMT,DC10_12FTMSEO,DC10_12FTMUolsEVww,DC10_12FTMUolNwna,DC10_12FTMUol_pEns,DC10_12FTMUolsET,DC10_12FTM_LpEns,DC10_12FTMT,DC13_14FSEOMSEO,DC13_14FSEOMUolsEVww,DC13_14FSEOMUolNwna,DC13_14FSEOMUol_pEns,DC13_14FSEOMUolsET,DC13_14FSEOM_LpEns,DC13_14FSEOMT,DC13_14FUolsEVwwMSEO,DC13_14FUolsEVwwMUolsEVww,DC13_14FUolsEVwwMUolNwna,DC13_14FUolsEVwwMUol_pEns,DC13_14FUolsEVwwMUolsET,DC13_14FUolsEVwwM_LpEns,DC13_14FUolsEVwwMT,DC13_14FUolNwnaMSEO,DC13_14FUolNwnaMUolsEVww,DC13_14FUolNwnaMUolNwna,DC13_14FUolNwnaMUol_pEns,DC13_14FUolNwnaMUolsET,DC13_14FUolNwnaM_LpEns,DC13_14FUolNwnaMT,DC13_14FUol_pEnsMSEO,DC13_14FUol_pEnsMUolsEVww,DC13_14FUol_pEnsMUolNwna,DC13_14FUol_pEnsMUol_pEns,DC13_14FUol_pEnsMUolsET,DC13_14FUol_pEnsM_LpEns,DC13_14FUol_pEnsMT,DC13_14FUolsETMSEO,DC13_14FUolsETMUolsEVww,DC13_14FUolsETMUolNwna,DC13_14FUolsETMUol_pEns,DC13_14FUolsETMUolsET,DC13_14FUolsETM_LpEns,DC13_14FUolsETMT,DC13_14F_LpEnsMSEO,DC13_14F_LpEnsMUolsEVww,DC13_14F_LpEnsMUolNwna,DC13_14F_LpEnsMUol_pEns,DC13_14F_LpEnsMUolsET,DC13_14F_LpEnsM_LpEns,DC13_14F_LpEnsMT,DC13_14FTMSEO,DC13_14FTMUolsEVww,DC13_14FTMUolNwna,DC13_14FTMUol_pEns,DC13_14FTMUolsET,DC13_14FTM_LpEns,DC13_14FTMT,DC15_17FSEOMSEO,DC15_17FSEOMUolsEVww,DC15_17FSEOMUolNwna,DC15_17FSEOMUol_pEns
CED501,6698,250,0,4,254,4,6962,444,1367,26,0,1398,5,1841,10,71,19,0,93,0,105,0,3,0,0,3,0,3,453,1441,49,0,1491,5,1948,9,10,0,0,9,5,24,7163,1700,49,3,1757,14,8931,6469,189,0,0,190,4,6663,425,1408,33,0,1441,0,1865,17,79,28,0,107,0,129,0,0,3,0,3,0,3,448,1490,61,0,1552,0,1997,6,4,0,0,8,3,15,6920,1682,59,0,1750,13,8681,3964,94,0,0,90,9,4066,167,672,13,0,684,0,854,8,40,12,0,49,0,61,0,0,0,0,0,0,0,175,710,26,0,731,0,910,0,4,0,0,4,4,9,4139,799,27,0,830,14,4989,2568,53,0,0,53,0,2630,102,397,3,0,405,0,508,3,23,7,0,30,0,34,0,0,0,0,0,0,3,111,422,9,0,438,0,543,4,0,0,0,0,3,4,2683,476,9,0,491,3,3175,2985,55,0,0
CED502,4518,225,3,0,230,12,4750,442,4353,148,5,4506,5,4953,24,469,225,4,703,0,724,0,9,0,0,7,0,13,470,4828,378,11,5215,9,5690,4,18,0,0,20,17,40,4984,5075,380,11,5462,33,10475,4421,158,5,0,166,0,4588,388,4392,138,0,4531,6,4931,15,419,270,5,686,0,704,0,3,0,0,10,0,15,404,4816,409,4,5231,6,5647,0,8,0,0,10,10,33,4828,4987,416,3,5406,25,10260,2499,73,0,0,72,0,2567,195,2061,48,4,2113,8,2316,11,237,165,0,400,0,408,4,0,0,3,7,0,9,204,2300,213,8,2515,8,2725,0,6,0,0,6,4,10,2700,2377,210,3,2595,12,5312,1618,47,0,0,50,0,1666,102,1056,38,0,1098,0,1197,0,162,124,0,282,0,285,0,0,0,0,4,0,4,101,1218,161,4,1383,0,1488,0,4,0,0,4,3,6,1723,1274,161,7,1438,4,3164,1859,59,0,0
CED503,5278,107,7,0,113,14,5401,283,630,15,0,645,0,933,6,29,14,0,40,0,45,3,0,0,0,0,0,3,290,662,25,0,685,0,978,12,0,0,0,0,4,20,5581,767,31,0,801,17,6395,5270,100,0,0,103,4,5386,252,705,13,0,716,0,973,17,28,6,0,36,0,53,0,0,0,0,0,0,0,274,731,20,0,754,0,1023,4,0,0,0,0,16,20,5550,830,24,3,859,18,6433,3311,66,4,0,72,7,3387,165,356,6,4,366,6,535,3,17,3,0,20,0,26,0,0,0,0,0,0,4,171,373,9,4,389,6,562,8,0,0,0,0,10,11,3484,441,13,3,457,19,3963,2257,37,0,0,39,0,2296,101,199,4,0,205,0,308,4,15,5,0,14,0,18,0,0,0,0,0,0,0,106,214,4,0,219,0,330,0,0,0,0,0,0,3,2367,245,4,0,257,5,2625,2608,38,0,0
CED504,3877,292,8,0,304,6,4181,518,2879,179,0,3062,5,3579,15,481,351,5,838,0,848,0,3,5,4,8,0,8,534,3366,533,3,3903,5,4434,0,22,3,0,22,13,32,4408,3678,545,3,4227,23,8652,3370,179,0,0,179,3,3547,429,2660,178,0,2830,3,3262,19,572,455,3,1036,0,1055,0,3,3,0,4,0,4,452,3234,635,9,3872,3,4325,4,8,3,0,13,25,37,3818,3425,634,9,4062,30,7912,1989,90,0,0,92,0,2083,193,1202,130,0,1333,4,1530,12,275,284,0,565,0,576,0,4,3,3,6,0,6,199,1477,423,5,1905,4,2109,0,0,0,0,0,3,9,2192,1571,421,5,1998,10,4202,1353,61,0,0,60,0,1415,119,721,76,0,795,3,916,3,156,196,0,349,4,358,0,3,0,0,3,0,3,122,879,272,0,1150,4,1277,0,3,0,0,3,4,8,1477,941,272,0,1217,14,2706,1730,62,0,0
CED505,5296,214,3,0,217,5,5515,489,1210,29,0,1242,0,1729,10,54,11,0,66,0,68,0,0,0,0,0,0,0,498,1268,39,0,1305,0,1798,0,0,0,0,0,4,4,5792,1483,39,0,1519,14,7328,5696,184,4,0,192,0,5884,508,1499,44,0,1541,0,2051,8,92,12,0,107,0,110,0,0,0,0,0,0,4,515,1591,57,0,1653,0,2167,0,6,0,0,3,8,14,6208,1780,62,0,1842,8,8058,3857,93,4,0,97,0,3958,274,799,21,0,822,0,1096,0,46,12,0,62,0,63,0,0,0,0,0,0,0,272,849,36,0,880,0,1155,0,0,0,0,3,5,3,4136,942,34,3,981,5,5116,2589,59,0,0,58,0,2646,143,520,10,0,529,0,674,0,24,17,0,42,0,47,0,0,0,0,0,0,0,144,546,25,0,571,0,718,0,0,0,0,0,0,0,2737,602,25,0,628,0,3363,3604,66,0,0
CED506,6775,210,5,5,215,8,6994,431,1080,20,0,1102,8,1534,7,31,26,0,52,0,60,0,0,0,11,11,0,10,441,1110,46,18,1166,8,1609,9,0,3,0,5,22,30,7218,1315,52,19,1386,36,8640,7102,168,3,3,175,11,7290,350,1052,23,3,1079,3,1434,6,38,20,0,57,0,62,3,3,0,8,10,0,14,363,1092,40,11,1150,3,1509,17,4,0,0,3,31,48,7482,1262,48,20,1325,44,8853,3927,99,0,0,103,3,4032,174,574,6,4,582,0,760,3,23,17,0,38,0,45,3,0,0,4,6,0,5,180,599,21,4,627,0,814,12,0,0,0,0,11,23,4122,699,25,4,731,17,4864,2313,55,0,6,55,0,2377,89,331,9,0,335,0,430,0,10,6,0,15,0,19,3,0,0,0,0,0,5,95,342,13,3,356,0,454,0,4,0,0,4,6,13,2411,397,13,5,420,10,2837,2237,43,6,0
CED507,5160,121,0,0,121,10,5294,262,591,13,0,605,0,867,14,35,14,0,48,0,62,0,7,0,0,7,0,7,274,634,29,0,661,0,934,9,0,0,0,0,9,16,5441,751,29,0,778,17,6241,5914,98,0,0,98,4,6022,253,580,20,0,598,0,849,10,40,12,0,50,0,54,0,0,0,0,0,0,0,261,615,28,0,643,0,909,7,0,0,0,0,11,19,6185,717,28,0,741,16,6946,3651,49,0,0,49,8,3703,129,355,3,0,358,0,489,3,14,5,0,22,0,28,0,0,0,0,5,0,5,137,371,10,0,383,0,519,4,0,0,0,0,10,15,3791,419,13,0,432,16,4237,2522,23,0,0,23,5,2554,80,190,0,0,191,0,273,0,6,0,0,12,0,12,0,0,0,0,0,0,0,80,197,3,0,199,0,283,5,0,0,0,0,5,8,2603,218,4,0,227,12,2841,2923,30,0,0
CED508,5766,280,0,3,279,3,6048,589,1653,24,4,1672,0,2269,16,75,36,0,110,0,127,0,0,0,6,3,0,3,605,1730,61,4,1789,0,2394,0,0,0,0,0,4,10,6372,2004,60,6,2071,15,8456,5016,229,0,0,228,4,5253,481,1461,39,0,1502,0,1986,11,87,67,0,153,0,164,0,0,0,0,0,0,5,494,1551,105,0,1654,0,2146,0,0,0,0,0,9,10,5513,1776,109,0,1883,7,7412,2996,113,0,0,113,0,3114,210,650,13,0,662,0,872,3,47,35,0,78,0,83,0,0,0,0,0,0,0,214,699,45,0,741,0,958,0,0,0,0,0,5,3,3213,815,45,0,857,7,4077,1972,59,0,0,61,0,2031,127,420,6,4,432,0,558,0,20,20,0,43,0,44,0,0,0,0,0,0,0,130,444,28,4,473,0,600,0,0,0,0,0,3,3,2100,498,28,3,534,5,2632,2399,81,4,0
CED509,5748,237,0,0,239,8,5996,454,2279,36,5,2319,3,2772,7,133,55,0,189,0,195,0,0,0,0,0,0,0,458,2409,96,5,2510,3,2972,11,11,0,0,11,4,28,6219,2661,98,5,2759,18,8987,5752,185,0,3,190,0,5944,410,2081,32,3,2115,4,2532,7,149,63,0,206,0,216,0,0,0,0,0,0,0,427,2224,95,3,2322,4,2745,6,4,0,0,4,9,10,6179,2414,97,3,2512,12,8703,3582,104,0,0,106,0,3691,201,960,22,0,984,0,1188,7,75,35,0,108,0,117,0,0,0,0,0,0,0,210,1040,58,0,1093,0,1306,3,0,0,0,0,4,10,3799,1147,58,0,1204,4,5002,2423,56,0,0,54,0,2481,101,515,13,3,528,0,629,3,42,27,0,74,0,73,0,0,0,0,4,0,3,108,556,39,5,598,0,707,0,0,0,0,0,3,4,2530,612,39,5,653,6,3190,2885,67,0,0
CED510,5737,204,0,0,207,7,5950,408,701,6,0,707,4,1116,6,14,13,0,31,0,39,0,0,0,0,0,0,0,413,718,14,0,736,4,1153,3,0,0,0,0,3,8,6157,928,17,0,937,15,7111,6893,161,0,3,164,5,7057,368,874,7,0,890,0,1250,5,35,18,0,50,0,53,0,0,0,0,0,0,0,374,911,23,0,939,0,1311,3,5,0,0,5,3,13,7272,1077,25,3,1101,8,8385,4463,92,0,0,95,6,4567,226,489,11,0,507,0,726,0,14,8,0,24,0,28,0,0,0,0,0,0,0,227,511,18,0,530,0,756,0,0,0,0,0,4,4,4691,601,22,0,623,11,5328,3042,61,0,0,59,5,3102,151,315,9,0,325,0,471,0,8,3,0,13,0,11,0,0,0,0,0,0,0,149,325,9,0,335,0,487,3,0,0,0,0,4,6,3195,386,15,0,400,9,3602,3881,87,0,0
