CED_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
CED501,16545,4108,1324,216,56,16,164,22422
CED502,19241,2925,958,270,50,19,141,23603
CED503,12904,3441,969,167,49,12,168,17714
CED504,18210,2180,665,224,41,9,108,21442
CED505,18374,1983,371,60,9,3,31,20833
CED506,14576,2897,985,316,81,37,250,19149
CED507,13182,2863,823,129,46,6,119,17176
CED508,16980,2576,591,141,20,7,80,20398
CED509,17913,3394,959,260,53,17,138,22735
CED510,19490,2837,611,108,15,6,69,23135
CED511,13317,2265,825,193,42,17,168,16814
CED512,19912,3753,1220,216,47,12,100,25256
CED513,15123,1831,339,88,17,7,45,17446
CED514,16609,2235,522,164,41,9,92,19670
CED515,22545,2488,528,195,24,5,73,25865
CED597,0,0,0,0,0,0,0,0
