CED_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
CED501,773,477,634,599,436,526,522,259,73,4293,298,480,641,701,580,804,1410,910,165,5983,251,429,758,712,695,831,1397,1120,503,6693,221,586,1274,1176,1026,866,899,532,218,6800,148,639,1312,1241,1112,759,506,219,72,6009,94,626,1409,1369,1200,797,302,117,29,5946,58,517,1467,1432,1363,920,222,55,13,6056,31,296,1117,1044,944,598,125,20,4,4180,12,141,835,855,817,498,85,14,27,3273,5,49,473,587,561,294,44,5,3,2021,0,48,421,774,764,396,51,7,0,2469,0,6,64,93,97,56,9,5,0,324,3,13,45,86,112,53,28,14,3,351,300,316,709,579,487,360,365,375,274,3776,0,4,12,12,12,34,29,9,5,118,5462,5231,12998,13080,11648,9644,6954,3895,1453,70360,4635,850,1763,1668,1425,1985,1152,323,70,13870,2160,345,428,437,387,403,382,132,32,4708,1369,836,943,812,667,832,878,456,121,6909,561,817,1073,1011,930,1300,2537,1803,387,10431
CED502,722,567,734,660,508,582,506,207,51,4540,277,523,763,771,636,878,1507,828,197,6378,189,443,834,810,639,678,1454,1046,445,6539,188,633,1227,1253,874,770,824,501,196,6465,117,666,1308,1255,1015,714,454,209,74,5805,80,647,1520,1525,1190,817,324,102,43,6243,35,476,1591,1624,1198,882,229,35,7,6091,11,221,1171,1131,883,590,134,21,5,4166,3,101,838,916,637,441,105,31,14,3093,0,50,405,576,416,275,50,4,0,1771,0,37,412,777,523,288,55,7,0,2102,0,0,46,105,62,38,12,0,0,269,3,10,24,80,45,35,17,7,4,237,329,338,763,707,522,388,387,373,326,4135,5,3,18,14,19,66,68,19,6,216,5244,5501,13853,14524,10552,9069,7239,3695,1454,71125,4715,1056,2272,2268,1467,1896,1487,454,110,15724,1924,436,494,507,333,378,437,121,30,4663,1298,1074,1109,967,798,926,940,395,96,7595,504,916,1269,1169,1073,1453,2727,1741,430,11280
CED503,660,349,501,489,397,650,753,349,100,4255,271,348,588,532,622,888,1988,1321,266,6828,207,361,566,583,590,870,1748,1375,553,6837,199,485,941,905,886,878,1200,740,272,6512,113,465,877,1017,882,840,728,369,120,5404,72,477,961,962,1012,767,482,209,51,4991,38,341,959,988,1117,951,295,111,28,4825,12,194,700,661,760,605,180,47,18,3191,10,92,492,596,645,495,109,55,31,2525,0,38,320,419,495,300,82,15,0,1661,3,44,361,604,743,465,94,20,7,2346,0,9,44,82,118,75,25,6,5,365,5,5,43,102,155,115,43,31,15,511,259,212,451,461,486,416,481,520,450,3745,0,3,19,11,13,15,24,8,4,99,4545,3879,9118,9699,10083,10258,9468,5552,2101,64699,3489,560,1266,1228,1167,2056,1428,455,215,11865,1853,257,345,320,282,513,554,209,76,4410,1128,637,725,695,600,967,1318,653,187,6909,470,581,872,773,942,1380,3569,2709,596,11899
CED504,755,611,550,626,588,704,728,367,88,5012,301,522,691,741,736,1082,1825,1164,290,7351,192,504,763,745,695,884,1804,1459,656,7706,161,686,1122,1048,980,852,984,568,209,6619,95,574,1180,1135,1020,878,626,294,86,5882,53,629,1501,1256,1198,951,449,159,58,6246,22,511,1625,1303,1245,1025,330,72,20,6143,15,323,1255,956,888,696,213,28,9,4384,0,132,974,828,750,576,145,28,13,3448,0,40,611,582,469,328,96,14,10,2156,0,45,639,864,714,424,111,14,4,2825,0,0,66,156,102,61,18,6,3,409,4,3,44,117,129,62,30,19,3,415,278,290,739,632,478,418,427,380,310,3951,3,11,33,15,23,66,37,5,0,193,4872,5583,13276,12583,11194,10834,9051,5003,1893,74282,4291,964,1733,1602,1321,2059,1619,606,169,14372,1938,498,336,417,365,530,509,210,55,4852,1362,1164,875,934,943,1169,1261,668,176,8559,521,996,1194,1143,1250,1740,3255,2343,683,13122
CED505,783,682,307,337,289,379,497,372,154,3799,295,582,341,371,362,480,688,623,242,3980,172,543,423,397,430,524,992,1048,716,5239,141,598,675,641,550,559,893,734,403,5201,67,479,775,668,607,618,697,493,238,4652,34,419,993,851,764,669,678,382,175,4970,15,451,1262,976,989,840,617,318,146,5621,6,333,1410,913,880,749,433,185,83,4992,15,203,1413,1017,956,788,351,157,55,4946,0,77,1018,845,787,580,238,105,40,3677,5,53,1413,1727,1718,1097,420,165,65,6672,4,19,238,459,534,310,128,63,19,1778,9,15,251,1186,1455,772,312,152,50,4202,203,244,574,500,382,326,451,500,603,3794,18,18,54,32,32,42,42,11,10,250,5540,5482,11955,12296,11872,9853,8486,5815,3222,74526,4897,846,1002,1322,1167,1174,1087,518,201,12207,2929,786,237,320,321,411,490,279,124,5905,1442,1319,498,430,428,555,793,589,256,6311,534,1084,623,544,554,743,1186,1109,459,6827
CED506,610,455,750,756,656,861,901,303,49,5344,242,355,713,779,748,1162,2220,975,196,7387,202,321,691,694,661,978,1851,1015,362,6773,254,469,1059,1029,895,1118,1366,559,131,6892,204,546,1139,1043,1013,1024,923,325,65,6273,152,653,1372,1260,1256,1256,668,188,48,6861,99,621,1631,1393,1445,1400,549,117,18,7269,46,472,1380,1204,1138,1041,346,60,9,5699,24,278,1345,1079,1085,908,292,72,17,5104,19,136,977,874,829,656,226,23,9,3736,12,210,1310,1423,1490,1058,287,40,10,5849,0,28,252,262,253,204,64,16,0,1080,6,18,203,383,339,279,134,48,9,1399,769,1060,2815,2266,2190,2138,1587,767,331,13913,0,101,236,48,27,34,38,4,0,494,5235,6129,17283,15693,15080,16315,12945,4795,1323,94799,3533,592,1445,1191,1191,2459,1851,431,101,12792,1784,192,367,374,335,683,733,188,36,4695,1198,891,1345,1288,1156,1418,1666,608,124,9686,439,630,1141,1197,1264,1933,4289,2183,409,13486
CED507,536,204,413,513,399,634,613,340,127,3776,228,226,489,582,559,848,1719,951,226,5832,211,212,581,696,644,885,1629,1169,576,6600,264,404,836,1041,996,941,1175,653,263,6571,177,458,932,1161,1166,929,707,367,119,6015,96,521,1082,1224,1214,946,492,194,74,5837,29,356,979,1172,1296,973,379,120,35,5333,8,189,687,756,843,689,188,50,23,3448,3,90,482,648,751,491,147,54,26,2694,4,32,300,420,535,359,70,25,9,1763,5,30,340,607,673,502,111,23,6,2299,0,6,44,94,115,79,25,10,7,382,6,4,51,131,178,124,71,24,12,594,271,193,555,550,554,589,544,432,374,4057,8,6,44,22,12,25,11,6,0,130,4503,3183,8874,10723,10862,10589,8956,4728,2009,64441,3067,380,960,935,909,1612,1165,350,109,9497,2311,134,300,392,279,495,560,205,92,4771,957,373,592,696,582,948,1134,582,209,6072,415,404,762,817,849,1323,3103,1975,510,10152
CED508,590,548,376,450,389,466,535,256,88,3694,304,511,555,543,507,694,1228,817,218,5369,180,458,515,591,588,693,1297,1036,566,5918,190,602,839,917,757,750,857,431,206,5550,100,544,1034,1036,877,779,600,270,79,5319,68,599,1275,1170,1047,819,463,173,59,5670,26,496,1652,1295,1283,966,359,102,21,6195,9,327,1401,1123,1010,738,235,48,9,4899,3,143,1267,1001,945,648,179,38,17,4235,0,45,784,763,667,444,130,24,4,2858,0,54,896,1312,1209,705,148,20,8,4340,0,14,127,256,178,140,30,11,3,764,0,4,101,320,320,181,73,33,9,1036,178,241,592,502,445,385,398,425,513,3687,0,22,53,17,23,35,33,6,0,191,4405,5143,12560,12650,11304,9842,7578,4036,1928,69450,3507,717,1153,1299,1094,1487,1195,438,157,11058,2045,409,333,371,308,446,489,195,66,4669,1076,967,595,642,618,751,936,517,146,6250,518,891,881,806,798,1130,2127,1599,482,9220
CED509,738,425,528,502,424,500,554,261,85,4026,299,417,606,586,540,687,1260,840,194,5427,209,411,617,637,600,618,1244,982,450,5758,210,527,995,965,839,805,871,543,187,5941,119,579,1093,1157,908,706,572,279,94,5500,79,583,1355,1275,1225,866,429,177,72,6052,42,538,1576,1411,1298,1044,314,73,33,6322,16,273,1132,1084,1010,718,192,50,18,4485,9,120,881,882,882,636,175,44,10,3634,4,44,538,612,681,430,91,18,0,2412,5,38,520,963,1028,585,121,24,9,3293,0,0,82,134,154,84,40,7,0,505,0,3,47,176,220,130,40,20,9,641,263,268,648,606,478,357,370,402,384,3774,4,7,27,14,11,42,30,11,4,146,5157,4732,12112,12579,11572,9795,7401,4136,1646,69132,4369,713,1480,1475,1309,1703,1260,449,114,12855,2254,339,385,432,307,467,522,216,63,4987,1336,806,772,690,615,759,910,508,143,6543,520,747,877,841,794,1078,2218,1706,434,9216
CED510,781,517,292,365,316,534,757,342,133,4041,304,462,313,465,465,592,1382,764,255,4999,221,415,371,505,495,669,1336,952,498,5462,151,474,537,706,779,859,1191,624,276,5605,91,433,679,845,945,946,826,340,103,5208,65,466,742,959,1063,1004,620,198,81,5195,20,411,1004,1181,1287,1165,494,115,47,5722,12,271,872,1028,1114,901,284,55,13,4534,3,121,865,966,1020,742,224,50,16,4008,3,35,561,680,824,591,141,21,0,2849,0,14,626,1330,1438,915,140,25,7,4498,0,5,88,234,262,169,36,13,0,803,0,8,68,344,372,178,51,31,0,1052,132,126,301,293,327,283,296,330,306,2391,4,11,13,12,12,15,18,14,0,107,5037,4243,8036,11157,11813,11346,9174,4258,1908,66972,4090,613,778,1129,1063,1718,1449,426,198,11467,2710,481,243,328,283,637,695,248,65,5699,1383,979,518,475,436,763,1224,590,199,6565,568,840,560,620,629,887,2368,1486,491,8443
