SA4_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
501,2580,2556,5136,42,42,88,52,50,105,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747
502,1450,1522,2967,36,36,73,18,31,52,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
503,644,697,1344,20,18,40,9,18,25,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267
504,4108,3696,7807,107,81,185,123,93,219,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573
505,3573,3790,7365,130,108,243,98,100,200,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297
506,5801,5850,11651,131,105,233,148,137,281,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466
507,4642,4281,8924,100,97,195,148,119,274,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407
509,2932,2856,5786,37,38,76,37,35,71,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175
510,10699,10711,21411,204,166,370,322,325,650,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128
511,5539,5603,11141,65,50,116,90,79,166,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758
597,7,3,9,0,0,0,0,0,0,7,3,9,256,32,293,193,19,218,455,58,514
599,786,677,1464,11,0,11,13,5,19,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
