SA4_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
501,22,43,43,548,743,739,1503,1477,1478,1582,1647,1640,300,310,310,0.9,0.7,0.7,3.2,2.4,2.4,6.5,1.4,1.6
502,20,46,45,513,633,630,1432,1280,1286,1733,1733,1733,315,300,300,0.9,0.7,0.7,3.3,2.4,2.4,6.6,1.1,1.3
503,26,38,38,716,1147,1144,1910,2247,2243,2500,2500,2500,390,400,400,1,0.9,0.9,2.3,2.3,2.3,4.3,2.2,2.2
504,24,37,37,638,850,846,1714,1820,1817,1950,1859,1863,320,340,340,0.9,0.8,0.8,3.2,2.6,2.6,7.8,1.9,2.1
505,23,38,38,614,874,871,1712,1925,1921,1950,1950,1950,330,360,360,0.9,0.7,0.7,3.1,2.6,2.6,6.9,1.6,1.7
506,23,36,36,575,826,821,1585,1801,1796,1777,1800,1800,320,350,350,0.9,0.8,0.8,3.1,2.6,2.6,7.3,2.3,2.4
507,23,38,38,618,875,871,1691,1902,1897,1800,1900,1900,330,350,350,0.9,0.7,0.7,3.2,2.6,2.6,6.5,1.3,1.4
509,25,47,46,466,730,718,1177,1348,1339,1300,1408,1403,220,250,250,0.9,0.7,0.7,3,2.3,2.3,7.6,1.5,1.8
510,26,34,33,384,1564,1281,1295,2794,2396,1950,1950,1950,124,250,200,1.1,0.9,0.9,3.3,2.6,2.8,17,2.5,6.4
511,26,40,39,443,933,877,1243,1768,1708,1408,1517,1517,200,270,255,1,0.7,0.8,3.1,2.4,2.4,11.9,1.6,2.6
597,37,40,40,1916,2141,2123,0,2250,2250,0,1733,1733,0,0,0,0,0.7,0.7,0,1.7,1.7,0,0,0
599,40,40,0,298,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
