SOSR_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SOSR501,38709,267754,299337,95728,50456,751985,32892,784879
SOSR511,1258,9771,11208,3875,1859,27969,1511,29481
SOSR512,2272,16213,17104,6047,3188,44825,3620,48447
SOSR513,1245,8584,9331,3266,1650,24084,3444,27524
SOSR514,474,3763,4242,1365,652,10501,854,11356
SOSR515,1951,13477,12879,4548,2459,35303,4270,39577
SOSR521,1106,5343,4976,1931,1146,14504,2037,16534
SOSR522,1021,3285,2634,977,534,8449,1210,9655
SOSR531,1618,13824,19454,10991,10501,56381,5911,62293
SOSR579,11,0,0,0,0,13,0,13
