SOSR_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOSR501,11143,32235,491,43879,169593,8152,910,222529,2308,36457,188,38958,130541,7031,788,177310,468,7693,53,8215,82960,6756,267,98207,69,426,0,493,34077,5311,78,39957,344804,118099,14444,477344,1055545,79591,4837,1617314
SOSR511,319,1436,20,1776,6650,414,14,8854,70,1084,3,1156,5549,359,11,7074,26,177,0,201,3448,262,3,3920,6,10,0,19,1229,266,0,1511,12398,4347,720,17470,36868,3579,89,58003
SOSR512,560,1856,27,2450,11570,1197,39,15253,89,1458,13,1561,9809,928,23,12323,26,259,0,285,6126,616,12,7037,6,20,0,17,2506,369,10,2902,18145,6125,1043,25305,62496,8599,192,96591
SOSR513,280,931,3,1215,6396,1595,39,9248,35,633,3,671,4711,793,32,6210,10,130,0,139,1983,346,7,2466,4,7,0,12,472,81,0,563,12591,3318,697,16609,35087,10488,332,62518
SOSR514,124,488,3,614,2545,250,6,3414,22,484,0,508,2475,211,0,3198,7,79,0,82,1347,159,3,1591,0,7,0,7,453,109,0,561,4558,1590,264,6417,13765,1889,77,22147
SOSR515,395,1405,25,1826,10161,1304,34,13327,61,1088,4,1156,9756,1009,28,11946,19,167,0,188,4882,622,8,5698,0,18,0,15,1543,348,4,1904,14187,4748,930,19861,51114,9323,480,80781
SOSR521,185,634,12,825,4653,843,8,6325,35,458,5,509,4268,659,9,5446,0,78,3,80,2068,362,0,2507,0,8,0,10,623,107,0,738,5295,2209,385,7891,21277,5043,118,34335
SOSR522,86,393,14,490,2725,430,0,3646,28,328,5,361,2594,431,5,3386,4,49,4,59,1218,209,0,1481,0,10,3,8,285,80,0,373,2941,1725,423,5085,12447,2451,79,20052
SOSR531,1057,3693,57,4803,23966,4914,75,33753,172,2804,22,2999,18375,2413,40,23823,39,383,7,420,7334,907,12,8679,4,14,5,26,1479,155,5,1662,26943,10658,1411,39009,103039,31797,733,174575
SOSR579,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
