SOSR_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
SOSR501,31171,24179,15825,8740,3522,1107,118754,7297,18314,19697,16173,12242,7276,2290,483,83782,3604,6207,5434,3238,1904,1192,595,205,22385,4999,9566,7650,5894,3676,2407,959,236,35400,331,166,101,89,110,94,56,26,965,561,1408,1636,1282,898,602,249,98,6744,5981,8835,7808,6101,5005,5262,5645,4848,49478,46121,118729,120443,94428,69491,45052,21913,9736,525913,3763,8753,9041,7247,5312,3544,1476,321,39452,2668,7549,10233,5551,2965,1092,217,20,30293,9586,34169,35979,30228,27101,20739,9754,2753,170315,3683,12016,10618,8637,7248,5336,2693,834,51055,1195,3206,3686,2923,2105,1258,595,178,15149,8617,28467,24801,19706,16295,10621,5176,1662,115340,4100,14139,16118,16370,14766,11266,5055,1349,83166,14564,41380,50968,40535,27637,16718,6938,1859,200599,11286,26239,27253,22807,17324,11252,3924,832,120920,6497,10318,8757,5171,3138,2158,922,289,37247,6924,14208,12304,9072,5931,3660,1541,355,53996,647,313,172,158,173,154,87,34,1748,1122,2931,3407,2897,2066,1348,683,237,14697,12590,18547,16914,13565,10828,10117,9852,7489,99895,87243,222239,230253,184862
SOSR511,844,678,539,280,109,18,3639,325,475,678,621,453,256,63,11,2880,90,125,98,72,52,39,20,11,503,204,379,300,238,148,96,46,12,1409,11,4,4,7,5,0,0,0,41,15,36,37,45,37,12,9,4,194,220,294,270,245,237,237,235,199,1944,1747,3446,3711,3310,2632,1666,797,353,17664,40,132,157,146,112,86,34,6,705,74,145,168,78,63,19,6,5,559,474,1275,1358,1276,1125,801,369,85,6765,164,460,398,326,310,215,107,30,2010,70,130,164,151,125,68,38,13,763,294,746,801,676,677,448,193,65,3913,187,437,648,770,615,441,176,51,3329,464,1055,1176,1004,805,477,177,32,5194,451,610,824,762,582,358,93,25,3701,143,172,154,110,81,51,26,11,754,251,510,438,358,247,150,64,10,2021,26,13,3,11,15,7,3,0,72,35,69,101,119,97,40,18,5,490,473,656,604,586,506,491,404,307,4020,3146,6409,7003,6377
SOSR512,1169,1075,863,485,177,55,5314,355,774,872,856,748,443,118,14,4182,112,161,179,137,118,62,46,8,828,329,549,449,402,203,135,60,15,2146,29,10,10,4,7,0,4,0,68,24,31,55,54,53,31,4,12,260,572,713,677,608,637,585,497,401,4692,2711,5329,5649,5295,4453,2949,1507,698,28590,107,268,338,228,165,114,50,16,1286,95,185,186,121,68,53,16,0,716,724,2017,1948,1819,1646,1207,543,155,10064,248,682,537,490,494,392,211,65,3117,182,278,327,332,285,198,81,29,1719,477,1207,1166,1147,1079,752,365,127,6318,202,754,980,1132,977,694,312,76,5123,692,1320,1641,1562,1316,783,303,80,7697,476,993,1124,1102,963,631,178,33,5504,190,251,277,195,170,105,55,8,1260,433,811,712,633,372,215,107,23,3304,47,31,13,8,15,3,3,6,119,54,85,136,143,121,77,25,16,647,1200,1595,1565,1375,1417,1179,901,598,9835,5127,10462,10953,10287
SOSR513,967,646,447,251,69,18,3622,181,571,578,411,346,168,37,0,2286,38,173,134,86,51,25,24,3,541,130,390,298,253,129,86,16,5,1303,9,7,3,0,0,3,0,0,21,17,40,52,40,35,19,7,3,204,577,1099,864,755,630,395,208,80,4616,1616,4976,4506,3284,2561,1541,543,138,19157,40,175,180,120,70,58,21,0,676,45,97,134,61,38,20,0,0,403,480,2002,2023,1588,1111,682,219,33,8137,127,564,512,362,339,205,61,5,2178,66,171,232,174,125,58,34,11,857,193,873,782,561,591,335,125,23,3485,122,640,754,601,478,367,107,11,3088,334,1268,1451,1036,747,479,138,23,5459,252,747,768,578,472,254,67,3,3144,76,246,197,130,83,52,30,3,804,178,512,461,385,234,121,38,5,1911,16,8,7,7,7,5,0,0,52,35,112,144,122,104,50,15,3,588,1322,2460,2362,2112,1728,893,444,136,11449,3290,9869,9990,7833
SOSR514,331,281,166,110,47,17,1275,61,166,219,194,159,108,31,3,943,22,73,91,62,36,42,18,4,336,45,138,132,105,59,38,6,3,513,3,3,0,0,0,0,0,0,14,0,11,27,15,6,16,5,0,80,125,156,177,166,144,128,128,100,1114,453,1180,1567,1309,986,779,372,155,6799,11,53,95,79,40,53,12,0,343,21,30,36,30,18,13,0,0,154,118,321,373,398,357,333,133,35,2063,47,176,214,145,144,82,28,9,852,27,62,125,79,62,34,26,0,420,55,201,232,228,259,188,95,18,1276,31,156,301,252,214,203,85,17,1263,120,354,451,383,257,194,87,27,1877,69,223,291,238,201,169,57,7,1255,26,91,116,88,50,47,22,4,446,75,199,221,191,95,63,14,3,873,8,4,0,0,6,4,0,0,22,7,20,40,35,19,31,11,0,170,296,359,361,342,301,266,232,158,2322,922,2258,2855,2483
SOSR515,903,696,605,400,133,31,3931,242,558,634,572,562,384,97,10,3051,69,153,126,107,79,69,30,10,637,195,453,335,267,182,150,44,3,1624,15,14,7,6,10,0,0,4,48,27,33,47,43,44,28,7,7,228,665,820,772,757,669,665,467,266,5093,2054,4636,4512,3911,3606,2803,1163,426,23107,75,207,212,170,136,134,36,4,977,68,97,113,72,54,51,9,0,463,545,1815,1675,1539,1546,1196,461,101,8880,175,510,454,399,403,361,139,36,2486,144,286,372,326,244,151,69,17,1613,248,866,731,684,806,649,231,68,4291,187,659,793,800,771,654,207,52,4118,432,1111,1193,1018,922,692,230,48,5654,323,774,804,756,766,513,158,18,4102,111,229,189,142,128,116,51,8,981,269,597,527,441,321,229,86,15,2489,32,24,9,6,15,3,4,4,90,46,100,109,118,103,77,28,12,586,1458,1835,1730,1778,1562,1381,891,440,11063,4104,9108,8899,8257
SOSR521,297,241,230,145,51,12,1348,82,204,210,213,280,165,28,3,1186,19,57,34,36,40,29,13,0,221,77,155,93,90,77,53,18,0,569,3,7,0,0,3,5,0,0,16,10,14,13,20,22,10,5,0,90,272,385,365,358,428,380,225,91,2512,721,1673,1608,1499,1680,1213,503,166,9070,13,87,71,78,51,53,14,5,371,16,24,39,31,27,8,0,0,156,184,613,611,588,644,501,194,35,3370,44,170,131,140,176,152,50,8,871,57,130,157,129,130,83,26,3,714,71,239,257,265,362,272,104,32,1599,54,244,272,276,302,250,78,12,1496,128,377,375,352,359,223,81,19,1920,104,274,286,267,346,228,52,13,1560,35,75,58,54,50,46,18,0,338,91,205,148,146,146,95,36,0,863,6,7,3,0,3,5,0,0,20,15,32,40,43,42,27,19,4,218,587,943,924,992,1020,822,460,144,5885,1399,3406,3373,3358
SOSR522,151,121,133,113,33,4,737,41,104,99,98,149,80,13,0,585,10,32,22,14,18,14,5,0,122,29,61,60,60,36,23,9,0,281,4,0,0,0,0,0,0,0,8,0,8,6,0,4,0,0,0,32,178,159,159,154,244,228,125,49,1294,415,843,832,739,1007,788,292,78,4993,16,60,52,39,42,25,16,0,251,9,19,19,14,20,12,0,0,90,94,306,282,294,362,354,106,19,1813,31,102,102,96,81,92,39,3,540,38,84,97,72,85,60,16,4,465,38,151,155,116,223,162,67,14,920,39,154,129,174,211,189,53,5,973,79,177,209,189,220,194,60,9,1131,60,135,138,128,192,128,30,7,820,19,43,37,29,27,34,17,0,193,48,99,91,93,61,47,14,0,447,7,0,3,0,3,0,3,0,14,3,27,24,15,34,15,4,0,120,336,371,385,410,517,535,260,89,2911,808,1726,1725,1669
SOSR531,1580,1699,1573,797,187,24,7486,341,768,964,1061,1066,657,117,10,4980,147,277,273,254,229,146,41,4,1383,326,570,571,571,435,215,62,6,2754,17,4,6,7,10,12,0,0,59,24,48,88,104,94,56,20,0,429,1164,1625,1449,1669,1518,1142,532,89,9192,3527,7180,8206,8955,8732,5581,1665,263,44114,175,609,638,618,497,370,86,11,2999,99,169,188,194,181,99,16,0,947,1287,4433,4559,4574,4402,2746,833,89,22923,312,989,979,974,1036,760,237,35,5317,486,797,1121,1163,975,637,205,30,5415,442,1301,1342,1682,2074,1365,458,89,8756,264,761,1289,1630,1838,1568,374,57,7769,741,1654,2376,2704,2510,1471,388,60,11899,527,1078,1271,1401,1444,978,224,22,6947,241,456,386,372,325,255,84,12,2134,454,847,927,935,710,352,117,3,4343,45,9,13,13,23,14,5,0,127,70,147,245,284,263,162,47,13,1225,3148,6438,6378,6504,5172,2817,1177,213,31848,8289,19688,21721,23041
SOSR579,9,8,11,7,3,0,42,0,10,0,4,0,0,0,0,23,0,3,0,3,6,0,0,0,10,5,3,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,29,20,23,25,14,7,0,126,32,82,44,51,69,38,14,0,325,3,9,10,12,9,0,0,0,50,0,0,4,9,6,0,0,0,12,35,141,277,260,141,20,6,0,883,0,13,30,15,10,4,0,0,79,0,11,13,6,0,4,0,0,33,4,6,14,19,14,6,4,0,59,0,6,7,5,10,14,0,0,37,3,13,24,24,24,13,3,0,106,7,14,9,11,8,5,0,0,48,0,3,0,5,3,0,0,0,16,7,17,20,20,12,0,0,0,80,0,0,3,0,0,0,0,0,6,0,4,8,7,10,0,0,0,39,51,222,444,398,218,57,13,0,1405,112,476,858,801
