SOSR_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
SOSR501,1589,3755,3995,3723,3104,2394,1095,217,19867,2252,5443,7718,4211,2111,785,150,11,22693,8534,30122,32048,27953,25666,19875,9318,2478,155993,3198,10035,9003,7618,6621,5056,2618,815,44974,609,1680,2065,1884,1498,997,531,156,9418,1689,6269,5868,4924,3688,2338,1183,342,26305,661,2705,2830,2886,3262,2938,1454,374,17110,6314,15420,19801,16351,11812,7979,3415,751,81841,3982,7923,7554,6634,5084,3975,1633,349,37139,2896,4109,3326,1925,1239,959,322,81,14860,1921,4637,4660,3176,2253,1247,590,121,18596,315,152,73,66,66,56,40,12,778,561,1527,1767,1614,1170,747,432,137,7956,6609,9714,9107,7465,5823,4855,4205,2639,50415,41122,103502,109807,90435,73403,54199,26997,8478,507944,2179,4995,5044,3528,2209,1148,382,106,19583,412,2113,2516,1337,850,304,64,7,7603,1058,4042,3929,2274,1437,861,438,278,14314,486,1978,1612,1020,622,277,68,22,6086,583,1525,1621,1043,604,265,59,23,5728,6932,22196,18933,14772,12610,8283,3997,1321,89036,3441,11433,13286,13487,11504,8330,3602,976,66056,8252,25958
SOSR511,15,46,74,59,62,60,23,0,335,69,116,128,53,36,14,9,0,420,439,1155,1266,1224,1077,768,360,80,6369,155,419,363,285,297,206,107,30,1861,36,73,91,91,93,56,29,13,485,35,137,182,163,158,91,35,9,801,21,74,112,156,151,133,51,15,710,119,216,337,331,264,196,71,9,1548,121,132,149,142,139,99,32,13,826,53,50,57,37,32,13,8,0,253,46,130,143,115,99,55,22,0,613,8,8,0,0,9,5,0,0,32,19,36,62,73,56,26,10,3,291,252,357,331,341,270,251,163,110,2075,1399,2954,3286,3064,2729,1979,917,279,16615,24,88,84,85,52,26,3,0,368,8,28,38,29,24,9,3,0,141,35,118,91,57,49,27,11,10,396,11,40,40,40,20,5,0,0,147,33,58,77,61,34,9,7,0,280,264,606,625,511,519,363,162,59,3110,159,364,538,618,468,309,119,33,2615,343,831
SOSR512,51,117,158,115,90,77,41,11,661,91,149,131,75,44,38,10,0,534,663,1882,1840,1741,1594,1179,516,140,9556,243,642,486,452,466,382,208,65,2940,108,160,208,224,210,162,79,26,1174,55,214,240,274,232,137,48,14,1217,23,147,175,238,258,214,80,17,1148,204,308,475,486,447,296,129,26,2388,120,221,251,241,221,188,59,19,1321,79,88,93,57,53,43,13,3,436,104,261,266,229,172,82,45,10,1163,14,19,0,4,4,0,6,4,48,30,50,89,84,72,46,22,4,393,628,880,892,764,778,595,400,199,5140,2415,5129,5302,4990,4642,3458,1654,533,28119,55,150,179,116,74,35,9,0,621,9,35,53,42,24,17,4,0,186,62,132,112,80,51,26,26,17,509,10,40,55,39,29,6,0,0,176,72,115,119,109,82,32,6,5,544,424,992,929,875,849,613,314,110,5102,181,604,802,896,721,474,230,53,3977,485,1012
SOSR513,17,60,74,57,40,40,12,0,302,37,67,92,41,23,14,0,0,281,422,1797,1886,1529,1082,672,209,31,7624,117,524,491,337,322,199,63,5,2044,38,96,151,128,96,52,33,11,597,20,142,167,142,153,76,31,3,732,17,96,158,151,124,82,40,5,664,84,305,483,384,293,219,61,4,1841,74,179,191,168,126,84,34,0,858,34,72,61,37,30,24,7,0,268,44,126,160,130,96,30,23,0,611,9,3,0,4,0,0,0,0,34,16,71,92,89,69,36,11,6,390,739,1365,1494,1354,1092,498,231,53,6841,1676,4890,5491,4546,3565,2037,762,119,23085,27,111,110,65,33,17,11,0,369,6,28,46,21,16,5,0,0,122,58,206,139,60,21,14,10,0,513,9,37,24,26,16,9,0,0,132,24,71,81,51,30,3,0,0,262,171,730,614,422,438,264,94,17,2753,104,545,601,448,360,286,70,11,2421,249,966
SOSR514,8,23,47,44,24,39,12,0,202,19,25,28,19,13,15,0,0,121,106,303,337,376,345,318,127,31,1952,46,160,192,133,139,83,28,9,785,16,46,70,54,39,32,22,0,280,9,22,52,53,53,39,21,3,255,3,21,61,37,45,55,32,7,256,36,113,119,103,96,82,44,12,598,10,59,65,43,44,57,21,4,310,5,20,25,23,17,8,8,0,111,30,64,92,89,43,28,8,0,356,3,3,0,0,6,0,0,0,5,6,10,19,14,16,16,7,0,93,165,205,185,179,166,137,108,56,1201,472,1078,1291,1175,1046,903,442,125,6533,5,28,50,32,15,12,0,0,142,4,4,14,8,0,0,4,0,34,14,18,34,19,11,11,8,5,109,0,11,19,17,4,5,4,0,63,8,22,53,29,21,6,0,0,151,48,173,181,176,205,153,74,14,1020,29,131,241,209,171,152,53,10,1006,82,242
SOSR515,37,88,76,92,81,89,21,7,487,56,81,69,55,26,29,5,0,322,494,1662,1567,1456,1498,1161,438,95,8372,170,481,417,371,396,346,139,36,2357,80,154,214,201,193,127,66,14,1052,28,144,149,164,149,114,37,18,804,31,92,146,180,178,220,63,20,932,123,255,292,327,315,298,96,17,1721,87,210,171,185,200,133,60,8,1048,48,74,59,38,52,50,19,0,343,73,149,191,174,137,83,41,12,862,20,14,6,0,5,0,3,0,40,26,67,62,75,60,44,28,3,356,786,1008,959,1021,890,713,425,169,5978,2052,4476,4389,4350,4178,3410,1436,396,24678,34,123,138,77,60,45,9,0,491,12,21,37,20,28,22,4,0,141,50,155,111,81,52,34,20,10,504,4,34,31,24,12,17,0,0,131,67,132,152,124,53,25,6,0,563,222,721,582,514,663,535,196,54,3487,150,569,642,622,592,435,145,34,3181,307,854
SOSR521,10,46,36,43,28,35,12,5,209,17,14,34,24,16,11,0,0,107,169,564,573,561,625,489,186,29,3190,32,154,125,133,162,152,46,8,813,30,61,90,91,95,70,18,3,454,16,53,52,63,96,54,9,3,344,11,33,41,55,71,85,19,4,323,33,98,74,114,129,82,33,3,568,23,71,74,60,66,69,18,5,373,15,21,23,20,7,18,10,0,116,15,47,51,54,67,45,17,0,295,6,0,3,0,0,0,0,0,6,10,20,24,26,21,20,12,0,133,316,553,553,631,589,445,231,52,3374,680,1737,1760,1862,1973,1556,621,125,10305,11,38,35,38,23,16,0,0,161,0,5,13,11,9,6,0,0,42,14,58,33,29,19,15,10,9,178,8,15,5,5,13,9,0,0,59,22,64,71,38,36,15,6,0,260,62,182,204,201,273,215,95,30,1258,49,210,229,225,226,163,58,13,1169,93,280
SOSR522,10,29,28,20,25,18,13,0,134,3,7,15,12,14,11,0,0,63,90,285,262,287,348,346,95,15,1723,30,91,89,90,78,86,39,6,508,27,44,54,56,52,43,16,4,302,8,27,36,25,39,26,11,0,175,10,28,26,40,42,46,14,0,201,25,55,57,67,87,79,20,4,396,16,38,40,29,47,47,17,0,232,3,13,7,11,11,15,7,0,74,13,33,33,30,27,17,9,0,167,0,0,0,0,3,0,0,0,7,0,14,19,14,24,11,9,0,93,161,212,225,258,278,305,141,41,1616,394,880,894,932,1076,1054,387,78,5696,7,30,25,15,18,5,3,0,113,0,12,3,3,4,9,0,0,29,5,22,21,7,14,5,7,0,87,0,3,10,3,4,4,0,0,30,13,37,42,22,26,15,0,0,166,35,118,119,90,188,133,52,11,742,33,125,109,136,167,144,35,5,765,56,127
SOSR531,69,333,309,322,284,240,71,7,1643,80,138,148,139,115,61,13,0,700,1179,4126,4328,4377,4271,2674,805,82,21843,291,904,909,891,977,738,233,32,4966,286,465,674,798,688,533,179,29,3657,66,245,277,422,441,284,117,15,1862,33,107,200,293,420,450,103,12,1614,266,510,792,1009,944,672,194,31,4420,193,305,315,342,377,326,109,12,1969,96,187,115,122,93,106,39,6,758,130,276,361,359,272,141,52,4,1593,28,4,9,4,12,4,6,0,66,49,95,158,176,174,107,32,7,798,1986,4810,4930,4833,3661,1680,642,119,22655,4756,12506,13515,14087,12716,8014,2576,366,68542,103,278,329,297,214,128,15,0,1353,10,35,39,57,62,36,3,0,247,104,308,230,197,130,75,30,9,1082,20,86,75,84,64,22,4,0,344,193,331,450,363,291,100,30,4,1764,373,1060,1068,1264,1634,1082,342,67,6899,232,655,1088,1332,1415,1118,270,39,6154,479,1140
SOSR579,0,8,10,12,4,0,0,0,40,0,0,4,0,0,0,0,0,11,27,126,271,262,140,20,6,0,849,0,13,27,15,10,4,0,0,74,0,8,7,6,0,4,0,0,24,0,5,13,13,7,0,0,0,38,0,5,0,4,3,0,0,0,17,0,8,17,18,8,7,0,0,64,0,8,6,11,0,3,0,0,30,0,0,0,3,5,0,0,0,10,3,12,19,20,11,0,0,0,67,0,0,3,0,0,0,0,0,0,0,4,7,7,6,0,0,0,39,37,196,422,380,194,44,0,0,1283,75,396,816,754,397,86,7,0,2532,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,16,5,5,3,0,0,0,34,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,10,4,5,0,7,3,3,0,0,21,0,0,3,6,11,9,0,0,25,4,3
