SOSR_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
SOSR501,887,1705,4237,4159,3399,2200,673,186,39,17483,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,219,428,1189,1227,1290,1036,551,160,14,6117,384,2877,14339,17178,13345,7461,1341,92,5,57016,2062,3873,10386,12528,12467,9313,2217,245,10,53099,152,508,2330,3122,2688,1863,372,21,0,11056,3055,7499,21670,21742,17339,12383,2918,230,12,86856,685,1796,5246,6255,6021,4311,1090,135,11,25542,14327,16477,18559,14487,13285,10433,3077,326,24,90989,19661,12746,13296,8753,5861,4036,1090,104,9,65550,857,3013,9603,10613,9973,8671,2621,229,9,45590,421,890,2129,2152,1679,1098,311,54,0,8729,169,1289,5758,7236,6079,3575,968,158,12,25245,217,962,3013,3376,3302,2536,1209,257,26,14893,663,5645,19808,22820,16785,10101,3581,497,30,79931,899,2964,7541,7188,6264,4940,1517,170,10,31493,505,3197,12487,15102,14768,11377,2609,227,10,60286,2299,5666,16838,20498,22477,17270,4687,380,15,90131,2109,11857,34698,33723,30745,24309,6588,505,15,144548,2297,2787,4150,3382,2560,1843,701,118,8,17845
SOSR511,30,50,96,113,78,62,24,4,4,454,1290,1351,3211,3750,3844,2691,588,42,3,16784,22,50,107,75,92,88,51,16,0,503,25,133,492,619,567,361,54,0,0,2245,147,291,681,835,726,464,88,3,0,3240,12,41,132,153,168,162,21,5,0,688,151,372,843,867,765,638,160,11,0,3809,29,46,111,141,165,105,25,3,0,620,592,404,696,660,614,489,94,9,0,3553,913,265,367,319,243,135,39,0,0,2283,25,82,192,251,327,364,107,12,0,1357,33,28,60,39,33,16,13,0,0,213,4,20,89,103,128,68,17,3,0,440,16,25,87,88,96,77,28,0,3,423,21,65,255,306,258,173,90,7,0,1179,22,62,144,196,205,176,57,3,0,872,22,93,289,377,449,347,79,6,0,1660,51,92,424,677,878,642,151,5,0,2928,129,398,1047,1222,1211,966,231,10,0,5207,59,39,77,56,47,36,11,0,0,328
SOSR512,59,67,140,179,176,128,46,13,5,819,2033,2176,5049,5663,6200,4768,1199,104,11,27205,63,96,215,242,251,276,164,47,13,1368,128,455,1450,1469,1266,824,118,4,0,5718,147,210,518,540,474,389,121,5,0,2412,10,33,100,159,145,151,24,0,0,626,271,497,1113,1019,934,824,206,20,0,4886,38,108,270,294,327,227,61,4,0,1327,1106,690,975,934,1014,899,262,26,0,5908,1322,527,757,705,564,424,136,19,0,4448,50,111,373,445,699,716,254,19,0,2662,33,38,66,59,52,49,14,0,0,312,10,46,118,147,171,127,34,0,0,649,21,79,156,130,190,135,50,16,0,784,55,135,429,450,467,358,151,19,0,2071,49,114,298,322,383,343,77,11,0,1604,49,107,486,675,819,672,158,10,0,2978,77,226,795,1099,1380,1064,245,29,0,4918,167,546,1545,1744,1918,1683,426,21,0,8049,74,47,97,99,105,92,21,9,0,534
SOSR513,34,62,143,167,107,70,25,6,0,611,880,1191,4250,4192,3297,2302,562,52,3,16732,29,46,155,129,137,151,130,31,0,813,61,268,1413,1724,1134,626,81,0,0,5306,58,82,284,269,243,146,35,7,0,1122,19,30,123,175,162,106,14,0,0,630,129,286,985,884,717,545,143,4,0,3689,43,54,199,222,175,139,27,6,0,858,456,269,535,497,459,384,107,17,5,2722,462,243,592,398,300,233,87,9,0,2326,62,127,555,672,657,512,111,11,0,2694,11,17,52,37,33,37,11,0,0,202,9,17,89,106,67,49,19,4,0,355,14,56,141,143,126,102,33,13,0,622,28,54,289,321,219,192,62,7,0,1166,46,88,293,301,259,188,52,5,0,1219,42,95,499,593,569,391,91,5,0,2278,38,144,702,880,765,474,112,5,0,3127,92,286,1031,1016,829,741,167,9,0,4178,36,22,86,93,86,60,26,4,0,420
SOSR514,15,19,36,63,51,24,11,3,0,218,388,354,1101,1543,1454,999,277,31,0,6139,5,26,86,58,76,43,30,7,0,327,11,51,161,221,238,131,32,0,0,843,50,63,224,252,189,114,22,8,0,921,5,17,47,79,77,60,13,0,0,307,68,85,251,329,252,185,45,6,0,1211,7,11,38,42,68,38,15,0,0,221,195,126,176,243,253,215,57,4,0,1268,282,136,310,282,195,134,58,0,0,1393,11,12,44,51,79,105,46,3,0,350,0,0,5,16,15,9,8,0,0,54,0,7,27,47,40,29,14,0,0,162,0,9,23,35,53,36,18,0,0,172,4,13,85,138,115,81,31,3,0,488,12,19,74,123,126,75,23,3,0,458,9,23,93,139,133,152,30,0,0,574,17,24,153,280,294,204,64,12,0,1047,32,54,260,335,332,303,89,4,0,1408,19,9,28,34,26,18,10,3,0,153
SOSR515,51,60,148,108,153,116,46,17,0,704,1113,1444,4222,4375,4326,3667,976,114,7,20248,97,169,472,391,344,367,236,78,4,2168,64,269,1286,1583,1380,868,128,3,0,5580,123,216,530,516,501,416,107,12,0,2436,16,29,123,130,150,132,30,0,0,620,178,306,819,756,720,660,197,11,0,3653,46,83,211,192,186,185,54,8,0,977,582,337,634,624,672,573,195,28,0,3647,550,251,494,416,408,378,103,21,0,2619,56,134,336,346,423,473,182,16,3,1967,14,22,44,37,32,25,12,0,0,190,7,29,94,88,103,77,14,7,0,415,12,26,98,99,94,94,46,14,0,490,15,86,303,310,283,223,81,9,0,1326,43,95,302,320,330,276,81,9,0,1460,42,158,566,651,734,640,175,9,0,2975,45,211,718,889,942,774,210,14,0,3802,102,290,1069,979,1104,1126,325,26,0,5013,31,37,91,97,72,72,24,9,0,430
SOSR521,23,26,49,55,56,59,18,9,0,296,350,451,1387,1490,1651,1553,412,57,0,7350,51,92,242,163,171,175,148,42,4,1091,20,109,526,561,468,362,46,3,0,2105,51,77,181,211,196,166,36,6,0,920,5,11,32,33,56,51,11,0,0,206,55,109,267,277,280,307,78,0,0,1371,14,49,87,76,90,57,31,5,0,400,141,110,192,169,228,235,68,10,0,1150,186,86,211,161,167,195,66,11,0,1074,7,27,76,114,145,251,114,14,0,749,3,0,13,22,16,8,0,0,0,61,0,4,19,28,27,19,5,6,0,106,3,8,27,29,28,37,10,3,0,139,5,23,68,81,97,89,38,0,0,403,14,25,72,90,123,123,31,3,0,485,21,56,212,231,342,348,76,6,0,1294,24,63,267,319,345,305,75,7,0,1408,36,75,282,344,396,469,106,9,0,1712,12,15,25,24,37,30,11,0,0,152
SOSR522,10,8,24,23,32,25,11,6,0,140,177,320,774,787,829,912,258,29,0,4089,40,62,193,166,121,183,91,28,0,898,16,53,208,191,196,164,45,0,0,866,22,39,87,95,110,66,12,3,0,424,0,4,20,27,35,34,8,0,0,126,28,43,123,126,118,158,44,5,0,647,9,25,53,44,34,43,11,0,0,223,48,60,89,89,118,115,41,3,0,563,63,85,141,108,93,120,45,5,0,654,4,25,66,74,101,141,60,10,0,492,0,0,4,6,3,6,4,0,0,24,0,0,14,12,18,10,6,0,0,66,3,7,9,11,12,10,7,0,0,54,9,8,37,55,36,52,31,9,0,230,8,31,56,52,65,54,21,0,0,284,7,44,126,150,220,212,56,9,0,823,13,65,181,194,222,226,72,4,0,980,24,43,156,170,184,238,51,0,0,862,15,12,26,24,33,22,12,0,0,141
SOSR531,82,98,171,249,335,300,136,45,0,1424,2047,2598,6023,7488,9433,8623,2662,410,20,39300,489,861,2147,2686,3330,3638,2379,816,115,16453,165,1153,4643,4796,4660,3061,434,21,0,18926,253,277,574,797,1036,983,300,50,5,4266,14,32,119,188,233,240,54,5,0,877,331,639,1625,1998,2183,1981,497,40,0,9299,110,144,336,395,486,451,128,18,0,2068,816,538,546,647,1023,992,299,33,0,4892,1021,494,822,637,794,786,286,36,6,4881,45,112,357,531,939,989,388,43,0,3407,15,23,46,71,73,68,29,0,0,317,10,46,131,202,228,191,53,7,0,873,25,54,148,162,251,269,109,19,0,1042,45,188,551,756,830,736,303,41,0,3449,70,172,415,461,603,538,173,17,0,2462,73,338,683,806,1178,1130,246,31,0,4481,106,242,740,1339,1758,1622,409,24,0,6232,117,371,982,1276,1733,1817,495,36,0,6829,97,110,194,182,217,208,85,20,0,1113
SOSR579,0,0,5,0,0,3,0,0,0,16,7,23,54,28,32,29,5,5,0,186,3,16,34,25,17,11,3,0,0,106,4,15,78,182,166,88,3,0,0,533,0,0,5,14,13,10,6,0,0,44,0,0,7,13,11,8,0,0,0,50,0,0,37,81,61,23,3,0,0,218,0,0,3,7,8,9,0,0,0,27,0,0,0,7,5,3,0,0,0,10,0,4,9,20,17,14,0,0,0,62,0,16,38,57,54,27,3,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0,7,0,0,10,14,25,10,0,0,0,55,0,7,13,17,16,13,4,0,0,64,0,0,3,0,11,6,0,0,0,25,0,0,0,0,0,3,4,0,0,12,0,0,3,0,6,5,0,0,0,18,0,0,0,0,0,0,3,0,0,8
