SOSR_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOSR501,180964,24321,8558,1514,164,215520,276766,28235,10926,109,159,316201,69612,28449,26676,105,145,124981,7088,8757,2836,7,26,18710,1194,1996,1010,6,21,4229,33778,10567,6452,121,88,51005,3957,1318,824,458,74,6632,601,379,180,6,5,1168,116224,51468,37979,698,347,206721,6109,5095,2170,74,44,13494,19759,6508,4671,1704,298,32943,599829,115629,64306,4103,1012,784879
SOSR511,7223,653,91,164,6,8136,10958,403,54,10,15,11442,3073,803,269,9,5,4166,373,498,39,0,4,912,54,165,75,0,0,299,1670,305,63,3,4,2045,165,64,9,97,4,332,33,15,3,0,0,49,5361,1856,453,112,15,7799,291,249,27,19,6,590,923,312,78,181,12,1509,24764,3480,700,483,60,29481
SOSR512,12491,847,57,437,22,13857,15163,619,45,31,13,15867,4900,1516,199,3,9,6631,1238,794,58,0,14,2101,189,321,15,0,4,529,3002,427,43,17,18,3506,607,235,23,250,19,1138,43,41,0,4,0,96,9965,3338,352,278,57,14000,584,392,28,46,8,1064,2300,664,63,608,35,3663,40499,5866,548,1408,135,48447
SOSR513,3000,250,62,1221,69,4603,6329,340,39,73,12,6790,2751,829,477,22,20,4106,1350,489,77,8,7,1932,130,60,32,3,4,241,1126,201,73,51,25,1480,2504,479,278,491,73,3827,39,15,5,4,0,61,7912,2077,942,577,128,11638,697,147,95,80,50,1068,2022,646,271,435,59,3433,19968,3461,1402,2377,317,27524
SOSR514,3385,146,27,48,8,3609,3769,161,13,0,11,3950,1019,136,44,0,11,1212,265,138,28,0,0,433,24,12,3,0,0,40,792,81,10,3,3,895,113,8,3,46,7,179,6,0,4,0,0,11,2224,381,92,50,21,2767,111,24,12,4,3,157,706,77,15,60,15,871,10192,790,156,159,53,11356
SOSR515,9332,331,19,1620,93,11392,9674,124,17,84,17,9928,2978,510,144,6,10,3644,1493,527,70,5,16,2110,402,181,81,6,6,672,2254,212,24,83,29,2598,2673,338,58,481,89,3639,62,18,8,10,0,89,9856,1779,378,590,141,12755,815,232,28,94,48,1219,2844,544,117,682,103,4288,32519,3014,557,3078,405,39577
SOSR521,4534,53,13,665,56,5328,3947,30,9,44,9,4037,713,64,31,4,0,819,804,180,24,7,8,1024,269,94,23,10,3,401,1106,58,22,32,8,1231,581,64,11,166,21,848,31,9,4,0,0,38,3505,472,122,226,45,4358,625,60,15,46,18,752,1489,131,56,345,38,2059,14097,743,210,1318,166,16534
SOSR522,2540,35,6,481,39,3091,1731,8,8,43,3,1788,276,8,5,3,0,293,790,72,9,0,12,892,455,36,20,4,5,512,508,33,0,20,8,574,406,72,13,188,40,715,31,6,0,5,0,44,2473,224,46,213,68,3026,448,44,8,37,29,568,774,55,19,282,63,1192,7961,361,82,1050,201,9655
SOSR531,21602,130,51,3724,530,26046,17137,106,24,310,122,17706,1363,15,4,37,17,1436,479,21,8,18,12,537,482,19,14,39,18,572,3226,30,19,237,111,3630,1315,25,21,954,264,2569,58,3,0,13,5,80,6924,119,63,1301,421,8827,3061,46,31,374,263,3772,4417,50,36,1042,395,5943,53138,450,217,6751,1737,62293
SOSR579,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
