SOSR_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOSR501,599829,1630729,83044,155431,32585,65616,115629,221045,20290,32668,15501,24564,17585,28536,10139,17352,789,1624,64306,104740,1146,1665,1167,1696,1395,1491,398,777,4103,5638,1012,1793,784879,1963937,70264,..,855144,1963937
SOSR511,24764,63738,2988,4654,487,886,3480,5543,507,771,123,194,24,35,36,60,10,13,700,1073,196,267,174,239,98,100,18,28,483,635,60,105,29481,71097,2864,..,32342,71097
SOSR512,40499,101249,5019,8192,846,1641,5866,9831,451,701,15,22,25,32,0,0,52,110,548,861,373,649,747,1134,233,257,50,99,1408,2140,135,246,48447,114329,7347,..,55797,114329
SOSR513,19968,55816,2647,5325,819,1636,3461,6959,814,1295,185,265,204,332,192,280,10,20,1402,2186,1819,3770,311,489,177,255,73,185,2377,4699,317,546,27524,70214,4624,..,32149,70214
SOSR514,10192,24824,604,1078,185,375,790,1452,155,238,0,0,0,3,0,0,5,3,156,243,55,103,69,149,31,34,5,10,159,298,53,107,11356,26929,3042,..,14396,26929
SOSR515,32519,80551,2701,4446,315,576,3014,5022,515,832,32,56,0,0,0,0,6,19,557,906,2595,4931,235,440,150,225,90,236,3078,5824,405,676,39577,92982,8336,..,47916,92982
SOSR521,14097,33281,662,1158,87,134,743,1284,199,291,6,12,0,0,0,0,9,14,210,319,1083,2028,92,153,68,115,79,151,1318,2450,166,241,16534,37575,4531,..,21071,37575
SOSR522,7961,19441,348,588,13,32,361,619,78,118,5,0,0,0,0,0,4,13,82,131,862,1703,95,163,61,91,34,64,1050,2014,201,310,9655,22528,3575,..,13233,22528
SOSR531,53138,136520,412,994,40,92,450,1091,109,192,5,17,0,3,4,4,95,210,217,424,5138,10400,572,961,872,1494,170,426,6751,13273,1737,3237,62293,154547,13513,..,75806,154547
SOSR579,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
