SOSR_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
SOSR501,26774,5510,4516,3164,3434,5408,5940,2476,717,57938,11781,2671,981,691,796,1537,2373,978,319,22125,6713,5625,3226,2281,2481,3343,4753,2714,795,31925,2697,4965,4514,3257,3573,4981,11650,9796,3096,48539,2473,4357,3771,2614,3026,4237,9823,7378,2856,40525,2832,5875,5305,3362,3388,4202,8427,5452,1572,40422,1900,6561,6783,4346,3529,4296,6290,3883,1148,38736,1312,7532,12534,8075,6768,6660,5926,2601,728,52141,732,6890,18725,13873,10958,10301,6310,2147,495,70430,277,4009,16142,13329,10376,8798,4284,1209,240,58676,146,2380,14557,14163,11253,9273,3422,913,258,56363,63,1227,10780,12552,10420,7517,2361,478,126,45533,65,1480,19040,28623,24118,16305,4092,755,193,94662,13,225,4215,8484,7525,4673,1197,225,62,26613,40,179,4046,13842,15883,9864,2728,684,165,47429,2841,3850,8797,7664,6214,4875,4031,3543,2577,44389,63,190,548,388,372,397,342,118,28,2453,60713,63523,138475,140711,124118,106670,83955,45355,15374,778901,22399,4745,13185,14910,11038,14595,9632,3098,1252,94854,13957,2981,3173,3942,2954,3904,3705,1354,481,36440
SOSR511,873,114,98,80,97,179,179,66,25,1706,476,23,19,27,22,55,77,32,5,726,212,93,103,89,78,118,205,101,32,1034,106,107,157,125,133,205,602,478,142,2048,104,91,92,98,132,184,427,320,125,1562,160,142,149,117,117,180,354,232,55,1512,101,224,204,125,143,165,278,167,39,1447,80,309,388,240,233,251,224,99,14,1841,34,260,543,436,380,397,271,72,12,2396,11,138,464,423,370,351,131,32,9,1934,7,97,404,520,410,383,102,25,10,1950,4,62,388,445,438,400,73,17,5,1830,0,96,687,1012,1009,731,136,13,4,3691,0,12,136,237,284,185,40,0,3,895,0,6,102,264,326,212,74,14,5,1011,126,159,426,409,332,254,205,127,86,2115,4,0,14,9,6,5,0,3,0,44,2300,1932,4384,4653,4504,4253,3372,1790,561,27749,788,110,430,387,348,585,314,99,40,3104,590,52,139,150,114,156,115,52,10,1379
SOSR512,1223,171,160,134,171,303,294,120,42,2620,688,39,39,31,48,108,157,68,35,1208,385,163,203,165,146,250,366,171,75,1924,129,147,237,204,212,377,932,805,265,3294,187,148,168,182,207,342,759,586,178,2756,264,247,227,202,230,300,627,381,110,2581,205,361,314,217,230,364,494,275,87,2542,143,455,588,408,385,484,395,149,59,3055,79,391,861,683,669,721,416,132,26,3975,46,236,712,662,656,581,242,48,16,3198,28,208,737,656,737,633,215,60,28,3284,3,124,627,602,664,532,164,37,7,2760,16,164,1087,1529,1494,1127,233,42,12,5704,0,31,289,431,404,295,61,10,0,1520,4,21,208,441,476,373,96,27,13,1658,322,341,930,855,733,691,532,354,206,4961,0,13,26,15,8,21,8,9,4,110,3724,3265,7421,7405,7470,7488,5986,3271,1137,47164,947,185,614,512,401,760,480,150,63,4119,923,76,173,170,128,219,229,66,55,2030
SOSR513,694,91,106,80,99,168,162,54,0,1466,322,17,17,15,21,30,58,24,3,511,174,81,82,61,87,96,133,54,9,776,75,60,101,92,115,159,405,238,41,1289,64,59,60,68,83,120,291,179,40,963,105,107,71,75,72,125,269,137,18,982,98,157,145,85,95,123,185,91,8,976,67,175,287,172,183,193,210,87,11,1388,60,193,468,348,277,337,246,51,7,1997,27,161,451,365,328,325,165,28,8,1873,22,131,533,506,435,341,143,18,0,2136,14,91,493,555,444,358,121,14,0,2079,7,165,1211,1527,1245,836,157,39,6,5194,5,35,452,572,467,273,61,11,0,1880,4,32,480,920,732,497,123,49,3,2841,302,403,1274,1381,1255,1044,457,216,61,6403,0,14,82,45,21,29,12,4,0,199,2029,1978,6316,6867,5979,5045,3203,1294,231,32940,537,88,502,419,270,439,236,56,11,2571,375,36,106,114,60,107,87,25,5,913
SOSR514,300,34,35,29,33,57,86,26,6,593,198,12,10,10,11,14,32,13,4,316,62,37,49,33,60,54,85,46,11,441,37,40,52,49,68,106,274,189,33,845,46,22,42,42,48,103,220,122,58,697,46,42,64,54,49,88,141,86,22,590,30,76,84,52,56,82,131,68,24,607,15,74,163,119,116,113,133,36,6,769,19,85,223,240,182,174,124,31,9,1081,9,40,171,164,149,132,60,22,0,749,5,34,120,158,149,139,56,17,4,676,0,29,98,158,142,97,38,4,0,573,0,14,192,326,313,210,50,3,0,1105,0,7,32,71,94,59,8,6,0,267,0,0,28,86,106,66,30,5,0,329,98,55,151,147,152,136,121,78,45,980,0,8,28,23,5,3,0,0,0,62,856,596,1549,1768,1708,1625,1593,760,221,10676,232,28,115,111,107,186,125,28,7,946,212,18,54,70,32,55,57,17,8,519
SOSR515,941,129,136,121,135,254,347,104,36,2208,443,42,20,31,49,107,144,56,12,912,214,138,156,172,155,234,345,165,55,1624,88,87,147,154,224,391,969,700,171,2943,107,98,138,119,183,340,786,491,140,2404,153,155,168,130,201,271,627,335,85,2116,108,239,262,177,203,327,435,221,58,2024,97,311,442,329,359,421,374,154,36,2526,53,271,644,483,498,636,418,116,14,3138,28,197,532,442,489,429,253,63,9,2432,16,154,626,501,534,475,216,40,12,2559,7,87,457,509,549,435,148,24,5,2225,9,121,1034,1213,1215,957,226,31,6,4814,0,24,290,410,398,281,51,15,6,1488,0,14,249,495,457,321,106,16,6,1664,389,342,909,874,921,789,578,361,152,5309,3,101,116,48,22,12,14,4,0,320,2656,2503,6329,6208,6586,6681,6038,2890,808,40698,822,146,552,428,339,731,449,116,49,3625,478,59,146,142,115,209,180,51,28,1410
SOSR521,348,57,64,61,67,133,141,50,13,936,116,14,13,11,23,43,62,27,0,308,100,90,123,107,118,145,175,75,20,945,35,66,105,97,147,204,463,308,69,1497,43,32,62,75,112,167,421,248,66,1218,55,34,60,64,83,140,259,135,36,854,48,79,74,66,75,121,226,89,23,807,37,123,140,115,135,194,161,56,18,986,21,102,208,166,209,283,191,46,7,1231,11,71,177,166,207,233,108,17,4,994,5,46,229,213,190,255,103,22,4,1058,5,37,165,167,185,198,46,9,0,811,0,53,377,435,458,385,75,9,0,1797,0,11,126,138,115,112,23,3,3,531,0,10,87,162,176,135,41,6,6,628,139,161,525,504,567,526,378,184,45,3034,0,7,21,8,0,4,0,0,0,51,975,983,2552,2557,2863,3281,2866,1281,317,17680,354,65,219,147,169,335,217,51,22,1572,139,30,71,74,59,110,81,31,8,601
SOSR522,233,36,26,20,36,81,93,13,6,539,34,15,21,14,7,29,44,13,5,178,91,125,195,165,135,102,99,55,12,979,28,63,99,95,99,142,291,188,33,1027,20,20,33,42,55,105,253,159,33,723,32,24,57,47,57,86,176,66,21,558,13,37,52,35,45,83,121,60,7,450,31,48,110,81,77,111,109,38,6,607,19,60,114,110,121,162,86,36,7,707,5,44,122,88,98,144,69,17,4,594,3,30,101,92,118,116,61,14,6,528,0,22,86,88,115,98,36,4,4,461,0,27,181,222,210,217,60,11,0,930,0,3,37,59,71,51,21,3,0,244,0,0,33,70,82,85,32,3,0,306,110,71,206,222,232,238,259,121,39,1496,0,3,22,0,0,0,0,0,0,28,620,621,1503,1447,1563,1832,1806,796,179,10373,202,37,80,54,82,180,95,19,6,753,86,23,31,30,20,62,57,18,5,328
SOSR531,1736,194,230,243,424,760,731,226,28,4565,695,85,58,72,110,248,337,142,18,1767,362,249,262,295,300,532,723,278,65,3059,170,174,225,260,368,642,1722,969,171,4707,226,175,242,204,313,602,1413,673,166,4004,342,291,285,261,401,703,1180,517,79,4064,217,409,355,325,431,717,900,370,56,3789,164,488,633,534,659,1026,902,304,42,4759,101,524,1000,841,1111,1464,1006,242,35,6329,50,412,894,934,1055,1233,647,146,9,5375,38,317,1019,1062,1318,1303,487,127,18,5691,34,280,997,1164,1302,1212,346,75,8,5408,35,539,2873,3318,3730,2797,685,99,11,14091,7,96,988,1327,1322,920,197,23,7,4892,18,70,858,1687,1909,1300,392,107,17,6349,599,1587,5509,5479,5063,3743,1596,578,105,24259,3,59,174,100,64,48,28,5,0,483,4807,5940,16591,18116,19874,19251,13287,4877,840,103590,1421,170,623,740,948,1645,1007,207,70,6835,904,103,242,312,292,468,397,104,23,2861
SOSR579,0,0,0,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,13,0,5,4,3,0,0,0,0,0,14,0,0,0,0,4,0,8,3,0,19,0,0,4,5,3,5,0,0,0,17,0,5,3,4,6,0,8,0,0,24,0,6,11,17,17,7,0,3,0,66,0,3,14,12,17,7,6,0,0,65,0,8,17,23,22,14,8,0,0,93,0,9,14,25,22,10,0,0,0,88,0,11,72,138,110,76,9,0,0,418,0,3,26,82,56,28,6,0,0,207,0,0,61,183,189,89,10,0,0,538,3,32,190,413,386,197,40,4,0,1269,0,0,24,37,53,24,0,0,0,143,14,81,459,945,896,473,119,15,0,3002,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,4,0,0,0
