SA2_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
501011001,4,12,148,5709,275,19,8,305,581,6595
501011003,5,12,143,10428,604,29,10,641,827,11900
501011004,10,12,139,8444,856,130,12,1006,748,10193
501011293,7,10,184,8281,507,61,11,575,499,9359
501011294,35,45,715,17389,888,119,18,1021,876,19292
501021005,8,13,200,17162,1141,138,19,1302,795,19256
501021007,0,7,62,4949,143,8,0,156,352,5457
501021008,14,14,190,5380,521,67,3,596,1006,6976
501021009,5,49,183,7873,233,29,0,266,670,8812
501021010,4,0,44,3008,69,5,6,79,202,3286
501021011,0,0,0,7,0,0,0,0,3,8
501021012,7,72,315,10751,867,87,13,964,611,12327
501021014,30,16,202,7743,897,121,11,1027,543,9309
501021015,16,9,169,6098,640,118,6,765,328,7195
501021016,9,27,106,3645,225,33,3,258,331,4234
501021251,0,6,48,8044,1245,78,20,1347,378,9770
501021252,4,0,32,2802,147,8,0,156,88,3042
501021253,44,59,543,10980,1014,92,13,1120,655,12760
501021254,3,5,57,4323,361,55,0,418,379,5119
501031017,9,10,135,6269,214,16,7,230,565,7068
501031018,9,3,127,5482,266,43,0,309,367,6155
501031019,20,9,128,4762,318,46,6,366,321,5447
501031020,15,13,123,4385,252,35,0,290,515,5198
502011021,5,11,80,7697,403,18,5,428,369,8498
502011022,3,4,184,8812,414,31,5,448,413,9664
502011023,7,98,506,8627,552,53,4,612,629,9869
502011024,20,70,580,17735,1188,94,10,1289,881,19905
502011025,12,101,399,8330,784,94,11,892,1043,10256
502011026,0,16,126,5953,186,19,0,208,439,6599
502011027,24,23,463,18235,1933,146,22,2098,922,21261
502011028,24,82,507,9796,731,83,6,814,710,11323
502011029,43,24,254,9138,388,24,0,413,710,10263
503011030,38,7,319,5736,838,51,0,889,181,6805
503011031,23,41,452,7516,1138,129,9,1278,450,9248
503011032,7,41,210,6913,464,28,4,505,331,7750
503011033,29,11,172,7388,1009,76,10,1092,137,8621
503011034,15,39,254,8773,1348,110,18,1475,515,10764
503011035,69,17,493,14078,3936,307,43,4290,568,18936
503011036,7,49,282,8165,1009,70,9,1088,359,9612
503021037,0,0,4,33,5,0,0,5,13,48
503021038,88,10,243,9670,1581,177,30,1783,420,11872
503021039,146,49,392,13530,2496,272,24,2793,612,16934
503021040,166,6,246,7520,1542,287,18,1844,333,9707
503021042,51,46,444,13620,2814,275,35,3124,787,17527
503021043,113,21,586,13339,4723,371,43,5133,633,19102
