CED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
CED501,0,10,23,61,51,32,13,7,0,206,7,102,247,561,359,218,92,33,9,1628,0,4,7,50,18,7,3,11,0,108,0,5,3,15,0,0,0,0,0,21,0,35,30,29,6,0,0,0,0,101,0,0,0,4,0,4,0,0,0,11,5,22,37,96,36,51,26,11,0,277,0,15,20,48,27,21,8,0,0,139,0,19,32,77,53,69,46,41,9,356,0,32,76,181,109,68,20,6,0,498,8,121,189,628,376,326,225,155,35,2066,254,577,693,2010,818,612,351,252,138,5706,6748,13790,11675,25812,11702,9784,6453,3570,1033,90571,0,0,0,3,0,0,0,0,0,12,5871,10972,7692,15942,6206,4681,3605,1624,586,57170,0,3,3,31,4,0,0,0,0,49,0,0,0,29,16,22,8,4,0,75,0,11,4,50,9,11,0,3,0,85,0,9,0,20,8,0,0,0,0,32,9,22,11,90,36,24,12,3,0,200
CED502,4,60,100,255,131,154,104,36,5,846,9,65,179,375,253,178,78,32,6,1173,5,68,85,465,183,72,30,21,0,923,0,0,4,77,8,0,5,0,0,96,4,82,152,118,14,8,3,0,0,383,0,10,12,39,19,11,3,3,0,95,5,17,25,52,43,44,41,16,0,240,0,14,12,76,45,43,16,7,4,229,0,0,0,22,24,27,28,20,6,133,0,29,74,143,112,43,23,3,6,437,17,244,416,1156,467,365,219,142,35,3059,285,637,546,1671,724,526,341,205,140,5074,7081,13939,11178,27898,11100,8697,6621,3248,940,90718,0,65,177,470,91,53,17,7,0,882,6319,10235,6698,12548,4869,3868,3328,1408,523,49784,0,29,25,183,29,15,10,0,0,290,0,0,4,16,7,7,5,8,0,53,0,0,0,34,13,6,0,0,0,49,0,4,4,65,29,27,25,7,0,156,0,12,21,44,9,19,8,5,0,115
CED503,0,6,16,26,34,25,22,13,0,144,3,74,170,316,288,220,89,46,7,1216,0,9,10,26,14,7,8,7,0,83,0,0,0,19,0,0,0,0,0,23,0,33,27,29,6,3,0,0,0,100,0,0,0,7,0,4,4,0,0,14,0,13,19,57,28,52,40,22,8,235,6,15,11,25,5,9,12,0,0,72,0,11,18,61,50,60,45,44,13,306,0,16,40,99,77,51,26,18,0,325,7,60,84,338,185,224,203,147,27,1270,187,413,427,1332,800,673,533,387,174,4921,4776,10644,8628,17594,9837,9973,9539,5629,1571,78193,0,3,0,14,0,0,0,0,0,20,4450,9094,6706,12945,6193,6157,6050,3103,1191,55870,0,0,4,7,3,0,3,0,0,19,0,0,0,12,0,0,0,0,0,18,0,8,3,29,8,0,0,0,0,54,0,6,3,26,0,5,0,0,0,33,5,18,10,56,24,36,28,9,0,183
CED504,0,15,20,103,71,87,91,32,9,429,0,33,117,317,163,153,129,44,8,959,3,10,43,123,53,43,60,27,9,364,5,3,11,76,10,5,3,4,0,112,3,100,131,121,25,11,9,3,0,387,0,4,11,41,17,7,9,0,0,98,6,17,29,76,39,35,22,4,3,229,15,119,191,860,718,759,409,124,55,3245,0,0,5,25,14,15,20,13,0,101,0,3,17,94,41,42,27,10,0,243,26,347,549,1858,744,596,421,229,56,4835,241,520,488,1485,603,476,338,248,111,4511,5669,11252,11098,26072,10984,10324,8118,4419,1300,89247,4,43,62,194,56,27,11,6,0,414,5067,8504,7249,11802,5389,4907,3877,2046,671,49506,0,5,0,43,12,15,9,4,0,85,0,0,6,137,79,139,72,17,7,459,0,7,5,218,20,11,4,0,0,273,0,4,8,59,44,39,24,3,6,179,0,0,12,56,23,20,7,3,0,139
CED505,10,96,124,200,120,67,88,53,14,761,6,77,237,574,328,255,157,67,16,1714,0,16,30,76,51,33,25,23,13,269,0,16,8,44,23,7,11,6,0,111,4,24,25,43,14,0,0,4,0,113,0,0,7,13,12,10,4,0,0,41,28,114,126,184,100,88,65,36,12,758,8,19,17,74,69,31,25,5,3,241,0,8,7,63,39,40,41,28,11,234,0,0,18,130,68,76,52,19,3,363,31,325,282,1505,461,392,287,154,50,3492,107,255,311,1321,446,390,361,290,182,3666,4423,10912,10866,22628,11040,9334,7722,4842,1852,83620,0,0,0,9,0,6,0,0,0,14,3834,8338,8117,12899,6847,5652,4962,3457,1844,55950,0,4,0,37,4,8,0,0,0,51,0,0,0,38,9,23,10,5,8,88,3,22,25,403,43,18,5,0,0,520,0,4,3,11,3,0,0,0,0,28,8,21,35,193,107,73,41,16,4,499
CED506,0,10,11,36,27,13,17,9,0,122,3,42,103,320,206,142,54,16,0,892,0,15,10,93,21,13,4,0,0,153,0,0,0,55,0,0,0,0,0,64,4,35,40,34,9,9,0,0,0,132,0,0,0,14,3,5,0,0,0,27,5,8,6,67,36,53,29,12,0,224,0,13,15,94,47,32,14,5,4,221,0,0,9,30,22,34,27,9,0,127,0,8,29,117,93,75,21,3,0,362,5,46,104,690,236,234,169,100,26,1612,667,1660,1574,5150,2416,2103,1134,534,138,15382,6791,14322,11261,30120,14618,13697,9150,3985,968,104921,0,0,0,8,0,0,0,0,0,8,5616,11379,7970,18427,8434,7658,5365,2346,821,68011,0,0,0,15,3,0,0,0,0,23,0,0,0,12,0,0,0,0,0,22,0,4,0,41,9,6,4,0,0,64,0,0,0,28,4,0,0,0,0,34,3,14,3,93,26,29,15,0,0,190
CED507,0,5,6,14,12,21,11,5,0,81,8,79,154,299,262,190,97,38,14,1156,0,9,0,24,10,10,4,0,0,55,0,5,5,80,0,0,0,0,0,89,0,16,19,15,3,0,0,0,0,60,0,0,0,8,0,0,0,0,0,10,4,23,22,45,45,43,66,16,4,269,0,11,4,33,19,10,7,0,0,89,0,0,3,26,22,39,38,18,4,152,0,17,27,66,87,72,53,10,3,331,7,61,64,348,171,172,150,96,22,1089,181,506,407,1417,868,716,574,318,160,5151,4483,11274,8237,18312,10511,10077,9124,4499,1301,77818,0,0,5,13,3,0,0,0,0,24,4009,9334,6478,13632,7724,7374,6375,3122,1289,59343,0,0,5,14,3,5,0,0,0,19,0,0,0,4,0,0,0,0,0,12,0,0,0,43,14,3,0,0,0,63,0,0,0,5,0,5,0,0,0,8,0,3,13,107,32,32,19,0,3,217
CED508,0,39,46,189,72,70,62,18,0,499,7,57,148,454,263,188,86,44,11,1243,0,5,13,69,39,21,23,3,0,180,4,4,6,53,5,4,3,0,0,72,0,31,21,35,4,0,5,0,0,109,0,0,0,9,13,3,0,0,0,31,13,38,36,144,59,63,47,22,5,425,0,7,9,36,30,23,10,3,0,117,0,0,7,61,43,50,35,12,3,214,0,12,36,108,67,49,20,9,0,310,18,125,200,947,494,535,440,289,61,3099,152,341,380,1466,602,464,332,233,132,4101,5470,10124,9415,24350,11080,9362,6971,3603,1208,81582,0,0,0,11,3,0,0,0,0,18,4740,8459,7282,14569,6588,5259,3948,1927,833,53605,0,6,5,52,8,3,0,0,0,80,0,0,3,73,39,60,34,17,4,224,3,7,3,142,21,11,8,4,0,201,0,0,0,14,8,0,0,0,0,29,0,13,32,152,51,58,25,6,3,346
CED509,0,18,29,64,54,42,26,16,4,251,9,76,165,406,287,179,99,47,6,1272,0,11,25,89,52,28,20,7,0,228,0,0,0,26,0,0,0,0,0,28,0,34,32,60,7,3,0,0,0,137,0,0,0,9,5,3,4,0,0,20,3,33,26,68,27,65,52,22,4,303,0,8,25,156,94,70,29,0,0,387,0,4,11,32,41,53,32,25,3,208,0,21,85,163,124,103,43,16,8,553,10,131,297,1040,443,333,245,143,58,2693,172,428,388,1380,690,556,295,232,128,4258,6132,12564,10808,24459,11588,9746,7103,3821,1127,87342,0,0,19,115,25,13,6,6,0,194,5408,10297,7454,14427,6816,5211,4012,2038,709,56367,0,3,0,32,4,9,9,0,0,50,0,0,0,47,19,13,14,3,0,102,0,0,5,44,13,4,3,0,0,71,0,4,3,26,10,6,7,0,0,55,0,15,10,55,21,30,25,4,6,164
CED510,5,30,27,68,46,48,65,22,7,322,18,189,455,799,640,457,232,57,15,2872,0,5,14,42,8,13,20,8,0,109,0,3,4,23,3,0,0,0,0,32,0,18,21,24,7,0,0,0,0,75,0,0,5,13,0,5,3,0,0,27,12,52,56,89,60,49,41,15,4,392,0,4,10,30,49,24,29,5,4,152,3,19,42,98,121,72,88,46,10,484,0,0,58,154,162,170,74,21,8,658,10,123,180,581,376,418,366,184,36,2268,64,174,251,814,488,410,284,165,76,2724,4476,11377,10383,18564,11510,10774,9078,3892,1131,81170,0,0,0,18,3,5,7,5,0,39,3957,9199,6739,10961,5883,5407,4685,1952,912,49700,0,0,3,4,0,0,4,0,0,13,0,0,0,10,10,16,6,0,0,54,0,5,0,135,23,11,6,0,0,186,0,3,0,7,5,5,6,0,0,22,3,25,28,117,56,49,26,10,8,323
