CED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED501,2683,21970,25545,8615,4383,63203,892,64091
CED502,2895,20790,25158,8620,4754,62222,900,63120
CED503,2222,19620,22189,8609,5590,58229,875,59100
CED504,3547,23004,25512,8760,4872,65696,951,66651
CED505,3724,25244,26116,7186,3421,65691,629,66316
CED506,3992,19532,23404,9612,6028,62566,1610,64174
CED507,1990,18746,23374,8552,4590,57250,893,58142
CED508,3244,22315,25568,7716,3952,62790,720,63514
CED509,1946,17200,24827,9621,6251,59840,698,60539
CED510,1462,16045,26544,9095,5037,58181,533,58715
CED511,2935,19754,23416,9774,6656,62541,1284,63824
CED512,1737,18730,25564,8805,4780,59619,660,60283
CED513,7598,35859,24832,5753,2714,76765,911,77678
CED514,4872,29511,26944,7976,3936,73242,1052,74290
CED515,2254,19542,27780,9199,4951,63719,574,64292
CED594,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,3,0,3
