CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED501,68,33,3,3360,260,36,22,234,36,160,29,47,41,87,2700,3662,17,5,4,16,9,8,0,0,8,16,85,159,4450,671,207,6179,871,4186,371,930,481,1259,2823,22422
CED502,25,57,7,2727,169,26,26,184,28,150,17,77,42,123,1843,2690,15,0,17,10,7,0,0,3,6,8,72,143,4551,929,187,6186,763,5140,333,1369,372,1787,1987,23603
CED503,51,40,6,3116,226,35,26,256,31,145,23,45,29,110,2297,3217,15,0,11,11,4,5,0,0,9,9,81,144,3312,627,206,4993,655,2946,324,757,370,1131,2401,17714
CED504,17,67,9,3109,199,47,23,205,32,128,21,68,37,172,1191,2121,8,4,14,13,4,4,3,0,6,22,94,177,3988,1043,167,6024,714,3851,271,1464,283,2268,1357,21442
CED505,57,171,10,10973,196,41,13,282,22,118,15,59,7,48,1116,1929,11,0,13,20,6,6,0,3,0,0,42,104,4679,968,143,7310,761,3624,228,871,144,905,1194,20833
CED506,71,26,11,3994,397,50,25,315,57,147,25,51,27,148,1940,3191,22,7,13,20,6,10,7,3,9,29,108,225,4535,638,259,5071,795,2835,364,658,372,1508,2118,19149
CED507,33,23,3,2529,266,66,19,290,37,126,28,42,23,102,1911,2906,11,0,7,18,4,11,4,3,5,7,59,131,3171,792,193,5695,604,2546,392,695,258,827,1996,17176
CED508,43,57,4,5224,200,35,24,206,33,113,31,46,13,89,1453,2236,9,0,14,14,0,12,3,3,6,5,45,107,4261,883,183,6911,960,3316,321,784,227,1007,1536,20398
CED509,56,54,9,4351,257,41,27,253,30,136,29,54,30,114,2185,3157,25,0,18,12,0,10,0,0,4,8,72,154,4967,832,211,6974,897,3875,356,879,326,1123,2308,22735
CED510,60,74,9,7854,288,54,17,342,37,150,23,55,26,91,1686,2771,21,4,16,21,3,5,0,0,10,12,66,152,5218,940,182,8478,905,3196,317,818,242,1063,1778,23135
CED511,27,22,6,2483,444,57,32,419,42,130,24,52,24,113,1397,2733,17,0,13,15,7,4,0,9,4,18,74,163,3590,696,223,5320,630,2639,267,682,271,985,1523,16814
CED512,41,33,12,4416,322,50,47,294,56,109,24,64,35,100,2448,3555,14,0,30,14,7,6,0,0,3,7,104,193,5485,997,303,7975,1017,3915,413,1003,365,1181,2608,25256
CED513,25,62,7,5715,152,35,9,122,20,71,7,37,11,76,931,1473,8,0,0,13,4,4,0,5,3,7,40,85,3816,871,121,5805,842,2918,213,734,167,954,1004,17446
CED514,32,87,14,4680,169,27,13,139,29,104,21,32,15,81,1331,1962,6,4,15,7,3,3,4,0,4,14,56,110,4123,908,171,5771,809,3649,262,1023,235,1277,1436,19670
CED515,50,151,7,8306,259,57,24,267,35,151,19,69,22,135,1603,2633,19,0,9,5,3,4,5,0,5,5,60,108,5970,1103,152,8119,756,4514,277,1299,256,1709,1704,25865
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
