CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED501,58338,157434,2625,4087,675,1095,3299,5175,1357,1926,394,612,288,433,27,49,51,117,2111,3140,140,202,82,112,8,9,49,72,274,405,69,143,64091,166297,5734,..,69822,166297
CED502,55864,158124,5533,10346,511,999,6048,11348,524,948,308,525,0,0,0,0,74,161,912,1640,164,208,3,5,9,8,70,149,240,365,59,116,63120,171591,4443,..,67564,171591
CED503,52137,134571,3954,6060,1088,1833,5046,7897,469,681,189,361,197,365,155,297,74,145,1092,1841,285,402,377,535,29,70,49,102,740,1110,86,170,59100,145579,9927,..,69027,145579
CED504,52352,142467,11952,23669,1545,3163,13496,26831,668,1040,0,0,17,20,0,0,65,130,745,1188,0,0,0,0,0,4,5,4,9,14,48,92,66651,170594,4497,..,71147,170594
CED505,38745,107657,8183,15715,6830,14380,15017,30097,4059,6722,3911,6243,3580,5732,907,1552,32,70,12482,20319,0,4,0,0,0,0,18,33,18,36,56,102,66316,158207,7268,..,73583,158207
CED506,54581,145001,4394,8304,1145,2330,5534,10633,1112,1850,185,284,114,204,132,207,24,45,1581,2582,1252,2388,194,324,159,324,180,474,1789,3514,690,1336,64174,163056,17751,..,81929,163056
CED507,51414,130282,4343,6905,757,1426,5103,8336,527,818,104,160,30,50,32,56,39,87,736,1179,341,514,315,502,43,76,48,100,750,1196,142,285,58142,141277,11690,..,69831,141277
CED508,47399,127198,7111,12949,2825,5476,9941,18424,1237,1841,1661,2549,2305,3706,380,590,124,247,5711,8944,14,18,330,487,0,8,41,80,384,591,83,137,63514,155291,5543,..,69060,155291
CED509,54671,150998,3790,6789,780,1407,4573,8196,345,537,357,550,100,165,53,73,87,164,942,1498,73,120,145,190,14,27,39,91,268,426,80,200,60539,161321,4475,..,65010,161321
CED510,51333,142265,3975,7026,1497,3067,5475,10089,469,677,568,883,581,964,0,0,82,160,1701,2683,129,196,19,28,0,9,22,54,173,286,29,60,58715,155377,3459,..,62178,155377
CED511,57739,139173,4014,6596,386,739,4403,7335,505,726,4,14,0,0,0,3,36,73,548,812,358,546,286,419,37,72,87,162,764,1206,365,740,63824,149258,15567,..,79386,149258
CED512,56214,159877,3111,5604,472,870,3583,6471,56,95,149,229,3,7,0,0,60,134,268,468,117,138,19,27,29,52,15,40,183,261,33,64,60283,167144,3906,..,64184,167144
CED513,37357,94275,11798,21839,6493,13074,18296,34916,5627,8847,4429,7055,6168,10096,5597,9737,32,59,21856,35780,4,3,0,0,0,0,70,135,69,143,96,168,77678,165283,10670,..,88345,165283
CED514,47149,122532,10756,21771,6864,13901,17624,35668,2794,4822,2115,3356,2262,3664,2002,3443,50,102,9217,15386,49,97,99,138,3,12,34,79,184,329,116,207,74290,174118,8550,..,82835,174118
CED515,53735,153079,6640,12880,1387,3259,8025,16134,1288,2343,298,444,615,1038,174,285,81,179,2456,4285,0,0,0,3,0,0,16,34,13,36,64,135,64292,173673,4640,..,68936,173673
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
