CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED501,16587,8610,8755,8598,7196,4932,2347,886,197,58110,2134,1572,2000,2075,2285,2546,2022,1094,281,16011,132,197,305,382,631,875,997,700,214,4426,4,10,44,94,205,496,622,608,196,2285,2274,1771,2347,2551,3125,3917,3642,2402,687,22719,1682,1288,1833,1731,1382,931,461,282,144,9736,20537,11675,12933,12883,11702,9784,6453,3570,1033,90571,15985,7334,8485,8509,6953,4867,2637,953,242,55954,1613,2163,2980,2807,2644,2622,2206,1310,434,18786,114,403,686,753,968,1125,1136,733,299,6220,5,38,83,213,425,638,740,612,263,3020,1735,2605,3756,3782,4033,4383,4083,2649,996,28026,1585,932,1005,930,869,653,446,343,229,6995,19305,10863,13245,13219,11859,9901,7174,3951,1466,90975,32571,15942,17239,17104,14148,9803,4982,1840,439,114066,3751,3728,4984,4882,4934,5170,4227,2403,720,34795,243,597,992,1139,1598,2000,2134,1436,514,10643,7,45,133,311,630,1135,1365,1216,455,5306,4004,4378,6102,6335,7159,8302,7727,5058,1684,50744,3274,2217,2841,2658,2246,1584,906,628,373,16727
CED502,17521,8602,9730,10978,7152,4499,2495,894,177,62050,1710,1431,1818,2132,2096,2263,2097,1028,254,14837,109,183,271,406,555,784,957,605,207,4062,9,11,29,88,214,382,642,494,164,2027,1825,1621,2123,2623,2862,3427,3692,2121,625,20925,1677,952,1200,1246,1084,776,435,229,139,7740,21025,11178,13049,14844,11100,8697,6621,3248,940,90718,16872,7605,9897,10193,6307,4373,2696,893,253,59083,1239,1917,2384,2551,2392,2451,2220,1244,440,16836,107,361,625,669,804,1031,1093,739,300,5736,11,35,97,178,386,673,818,531,233,2951,1356,2313,3105,3398,3581,4154,4130,2513,972,25521,1661,916,1036,1011,788,610,461,325,209,7011,19895,10835,14034,14600,10672,9131,7289,3728,1437,91615,34396,16210,19628,21170,13454,8869,5194,1781,433,121134,2951,3353,4203,4682,4482,4716,4317,2269,694,31667,213,539,894,1075,1355,1814,2052,1346,506,9802,21,41,126,267,602,1051,1456,1023,398,4981,3180,3941,5227,6018,6439,7579,7828,4633,1596,46446,3342,1866,2227,2254,1877,1389,893,557,349,14748
CED503,12556,6446,5839,6170,6098,5271,3566,1510,293,47747,1509,1208,1351,1529,1937,2491,2958,1725,441,15154,79,143,207,276,467,844,1441,1100,333,4887,3,15,25,80,152,412,863,858,290,2700,1590,1363,1577,1887,2557,3749,5262,3685,1066,22740,1280,816,953,1171,1176,952,715,433,206,7708,15422,8628,8367,9227,9837,9973,9539,5629,1571,78193,12550,5964,6095,6388,6170,5455,3916,1520,338,48400,1112,1584,2008,2063,2322,2757,3149,1897,628,17514,80,301,478,524,721,1182,1500,1054,415,6262,5,30,54,153,280,571,863,801,390,3137,1193,1914,2544,2738,3320,4505,5510,3758,1430,26912,1224,732,669,732,822,782,641,503,338,6438,14969,8605,9309,9854,10309,10745,10067,5780,2108,81752,25100,12410,11936,12562,12275,10727,7481,3029,633,96153,2622,2793,3357,3595,4262,5245,6102,3621,1066,32665,161,443,679,805,1190,2026,2945,2161,749,11151,3,43,80,230,428,985,1720,1660,681,5836,2786,3273,4119,4624,5876,8257,10764,7444,2496,49647,2502,1552,1623,1902,1999,1736,1355,937,547,14149
CED504,14211,8706,10362,9293,7309,5771,3280,1337,302,60566,1262,1312,1676,1893,2045,2549,2524,1387,426,15072,84,151,228,320,504,800,1107,826,259,4271,0,9,34,82,170,403,708,603,211,2218,1342,1468,1931,2289,2716,3751,4343,2818,902,21567,1369,922,1090,1109,955,802,500,260,100,7116,16926,11098,13385,12690,10984,10324,8118,4419,1300,89247,13530,7728,9890,9074,7210,5819,3686,1405,383,58713,923,1645,2069,2060,2334,2791,2874,1696,668,17060,65,305,447,527,675,1093,1293,931,393,5732,4,19,71,123,287,590,805,667,351,2917,994,1975,2590,2709,3295,4474,4966,3292,1413,25708,1321,782,959,901,785,716,533,364,138,6502,15839,10489,13440,12680,11288,11010,9184,5066,1937,90932,27733,16432,20251,18363,14524,11590,6959,2746,678,119274,2184,2957,3746,3952,4372,5343,5393,3085,1098,32132,151,453,680,843,1188,1892,2397,1754,656,10003,4,31,101,206,452,995,1516,1270,563,5138,2341,3439,4521,5001,6009,8233,9307,6118,2316,47277,2695,1706,2052,2014,1734,1520,1037,627,240,13625
CED505,13467,8531,8573,8618,7995,5996,3714,1599,395,58880,1039,1526,1486,1647,1860,2015,2278,1582,598,14025,43,126,206,219,357,518,832,796,358,3449,0,16,17,32,93,182,373,524,298,1526,1088,1659,1704,1895,2302,2712,3480,2900,1256,19006,783,675,997,835,747,627,530,342,204,5735,15339,10866,11275,11353,11040,9334,7722,4842,1852,83620,12846,7978,8877,9282,8560,6183,4216,2006,688,60641,796,1994,2100,1919,2125,2378,2485,1957,1004,16759,40,250,362,297,465,647,975,890,628,4558,4,21,30,55,99,246,403,533,504,1898,836,2262,2494,2275,2695,3275,3863,3384,2137,23220,759,706,845,680,641,588,576,429,347,5559,14444,10945,12214,12230,11890,10041,8655,5817,3173,89421,26310,16500,17451,17902,16555,12178,7927,3613,1085,119525,1838,3521,3588,3573,3985,4398,4756,3542,1603,30791,85,373,570,519,821,1163,1808,1691,986,8007,0,34,50,87,187,424,779,1054,805,3423,1925,3928,4202,4171,4996,5982,7343,6284,3391,42226,1543,1380,1838,1510,1385,1218,1097,768,548,11295
CED506,16229,7881,9845,9668,8621,6737,3576,1159,218,63944,1516,1155,1571,1958,2305,3107,2519,1119,290,15541,81,115,213,281,578,968,1123,626,171,4151,5,7,30,59,182,468,715,532,155,2161,1596,1283,1817,2297,3072,4547,4359,2273,617,21854,3288,2099,3315,3176,2926,2413,1221,553,130,19129,21113,11261,14976,15144,14618,13697,9150,3985,968,104921,15633,6909,9492,8760,7345,5842,3048,1018,236,58290,1112,1445,2241,2322,2569,2878,2348,1142,369,16424,66,228,431,582,779,1032,1046,593,235,4992,0,15,59,137,365,611,658,454,219,2512,1179,1693,2733,3039,3708,4521,4049,2187,821,23926,3136,1626,2274,2106,1864,1584,1003,509,209,14309,19954,10230,14497,13907,12916,11950,8100,3715,1268,96523,31866,14791,19342,18425,15968,12578,6626,2179,454,122231,2624,2603,3812,4280,4874,5980,4867,2259,656,31966,146,342,647,864,1362,2004,2167,1222,404,9148,5,29,87,194,546,1079,1371,981,371,4668,2774,2973,4546,5338,6777,9064,8404,4459,1436,45775,6429,3729,5588,5283,4784,4002,2224,1060,343,33436
CED507,12677,6130,5818,6778,6656,5458,3748,1378,281,48924,1653,1143,1245,1614,1949,2439,2794,1391,375,14601,93,128,213,268,489,826,1220,790,272,4309,0,15,37,69,157,372,640,578,219,2084,1745,1289,1492,1954,2593,3638,4654,2754,865,20994,1333,823,1073,1197,1265,978,718,364,150,7910,15757,8237,8385,9924,10511,10077,9124,4499,1301,77818,12270,5222,5756,7153,6657,5692,3843,1439,362,48382,1102,1519,1864,2102,2419,2742,2839,1607,628,16827,79,268,379,557,771,1083,1258,848,408,5641,5,25,54,159,278,532,756,575,402,2784,1186,1807,2292,2818,3469,4353,4851,3031,1437,25246,1292,707,740,795,843,818,707,424,211,6548,14749,7743,8785,10762,10969,10861,9404,4893,2010,80181,24944,11348,11572,13932,13310,11146,7588,2817,645,97302,2759,2665,3103,3715,4367,5185,5632,2996,1001,31432,168,388,589,823,1259,1904,2477,1640,684,9940,5,42,80,223,432,906,1398,1154,620,4871,2933,3099,3785,4765,6065,7994,9510,5786,2305,46244,2627,1527,1818,1991,2110,1800,1426,787,362,14453
CED508,13266,7110,8804,9096,7434,5433,3017,1110,267,55545,1220,1429,1759,1961,2072,2267,2084,1142,358,14287,56,113,225,298,450,656,895,609,231,3536,3,5,28,55,122,286,510,446,214,1665,1281,1550,2011,2307,2637,3214,3489,2196,802,19489,1051,754,1070,1056,1006,716,458,292,136,6541,15598,9415,11888,12463,11080,9362,6971,3603,1208,81582,12934,6684,8974,9071,7479,5603,3343,1170,344,55605,905,1890,2421,2334,2384,2507,2322,1381,553,16708,49,264,482,517,602,897,970,716,426,4918,3,28,43,103,207,378,564,503,347,2180,958,2182,2951,2954,3196,3779,3855,2596,1325,23800,958,725,851,812,765,636,499,302,264,5801,14852,9590,12774,12844,11433,10021,7688,4071,1930,85202,26199,13791,17781,18178,14908,11039,6356,2281,615,111150,2129,3319,4181,4294,4459,4773,4400,2521,915,30993,108,379,714,815,1050,1555,1865,1325,650,8451,9,33,69,163,331,666,1075,948,560,3847,2240,3733,4959,5266,5838,6990,7345,4794,2122,43293,2010,1480,1923,1865,1772,1355,958,593,400,12340
CED509,15633,8156,8191,8754,7315,5314,2910,1110,251,57618,1666,1473,1685,1959,2213,2385,2289,1222,326,15223,99,161,206,355,515,759,909,695,203,3900,0,12,22,61,153,328,528,514,209,1830,1768,1650,1913,2380,2877,3470,3726,2433,741,20949,1294,1008,1606,1616,1400,956,469,280,133,8769,18695,10808,11712,12749,11588,9746,7103,3821,1127,87342,15037,7035,8426,8609,7231,5398,3106,1180,321,56335,1198,1831,2364,2409,2606,2563,2359,1367,498,17191,83,329,504,618,800,938,1038,761,319,5391,4,27,62,149,291,437,597,559,324,2440,1284,2183,2930,3168,3696,3944,3995,2689,1140,25027,1146,727,900,849,808,621,487,307,192,6036,17468,9944,12260,12627,11737,9961,7583,4168,1651,87397,30670,15183,16614,17361,14546,10717,6013,2287,570,113961,2863,3305,4057,4369,4820,4946,4646,2589,821,32420,190,489,707,966,1314,1698,1948,1461,519,9292,4,36,81,206,439,763,1125,1072,533,4265,3053,3830,4847,5545,6574,7412,7717,5117,1879,45977,2431,1738,2510,2465,2207,1580,960,585,330,14805
CED510,13607,8233,6062,7882,8096,6454,4079,1205,245,55864,1381,1367,1165,1633,2063,2646,2791,1306,371,14722,53,149,138,229,389,701,1203,691,226,3789,4,6,15,32,85,240,533,477,189,1584,1442,1524,1321,1902,2535,3588,4530,2473,783,20095,804,623,630,766,872,734,469,215,98,5209,15847,10383,8010,10551,11510,10774,9078,3892,1131,81170,13087,6819,5863,8036,8085,6985,4391,1295,342,54904,987,1730,1456,2099,2433,2889,2937,1540,652,16726,54,234,277,423,578,873,1200,731,395,4758,3,13,37,64,154,346,560,458,310,1935,1043,1977,1764,2584,3162,4100,4697,2734,1356,23419,780,539,506,592,685,622,469,258,168,4626,14905,9341,8136,11210,11932,11711,9564,4287,1868,82942,26695,15051,11925,15916,16178,13439,8472,2499,591,110766,2362,3101,2622,3729,4496,5533,5732,2841,1023,31444,110,382,414,657,970,1572,2408,1427,622,8551,10,18,50,97,235,583,1094,933,498,3516,2484,3502,3088,4487,5700,7684,9228,5209,2139,43510,1582,1167,1135,1359,1557,1356,939,468,271,9832
