CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED501,201,338,857,692,603,395,85,19,0,3185,233,395,965,935,829,573,135,21,7,4090,5342,7856,18821,19557,17915,12317,2396,183,14,84405
CED502,166,404,904,876,682,452,126,13,0,3623,223,496,1259,1257,868,614,148,29,4,4892,4335,7844,19310,22132,15998,11104,2758,229,18,83729
CED503,215,298,681,542,550,448,132,14,4,2887,220,287,628,663,646,508,175,58,12,3197,4633,5798,12775,14253,15216,12688,3340,418,32,69139
CED504,163,417,1057,926,780,573,206,29,6,4154,192,509,1218,1118,915,665,201,31,7,4855,4136,8278,20440,19232,16697,13464,3816,368,27,86454
CED505,155,296,581,490,442,326,160,36,3,2501,163,299,770,804,818,492,204,82,12,3657,4834,8112,19371,19423,18831,13518,4982,950,83,90102
CED506,241,343,759,726,616,472,145,13,0,3322,252,348,828,803,777,646,241,61,9,3976,4720,6465,19446,20143,19191,15942,4770,671,67,91415
CED507,176,292,586,566,614,429,126,9,0,2814,194,219,499,626,590,465,183,58,10,2841,5093,5012,12778,16264,17045,13512,4000,497,49,74255
CED508,196,375,827,723,662,515,130,12,0,3442,181,372,984,1034,856,537,194,31,7,4204,4452,7735,19992,20650,18053,13310,3608,357,20,88177
CED509,198,421,936,824,728,536,175,18,0,3839,210,421,881,964,872,578,194,42,11,4176,5311,7432,18058,19786,18402,13451,3632,463,34,86562
CED510,178,350,595,687,652,565,191,13,0,3238,186,290,584,724,775,626,199,32,3,3422,5575,7416,13242,18384,20077,16241,4511,377,23,85832
CED511,244,343,644,581,593,494,155,15,0,3076,245,279,523,505,589,582,266,103,25,3113,4550,5851,14344,15544,17279,16241,5643,1064,108,80632
CED512,221,464,1080,907,823,509,99,16,0,4122,219,452,918,1059,863,535,106,24,4,4181,5724,8492,19324,21581,20108,12348,2604,226,13,90414
CED513,103,344,1014,800,581,474,164,27,0,3505,107,404,1296,992,683,489,168,39,5,4175,3305,9111,30371,24367,17950,13025,3833,451,31,102446
CED514,149,475,1052,807,603,455,171,26,0,3735,161,517,1467,1072,792,501,194,34,17,4745,4238,11044,28041,22467,17028,12801,3909,419,39,99983
CED515,173,304,577,634,623,505,206,33,0,3050,202,419,787,964,920,654,231,53,11,4241,5576,8655,15357,20437,20305,15116,4766,552,38,90803
CED594,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
CED597,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
