CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED501,13361,751,329,188,12,14641,30582,538,294,16,28,31453,8377,795,862,0,8,10050,646,382,252,0,0,1284,115,116,72,0,3,299,3510,281,185,9,0,3990,574,41,39,44,5,700,55,10,5,0,0,78,13278,1626,1413,66,14,16395,385,290,22,6,0,702,736,92,55,4,15,900,58338,3299,2111,274,69,64091
CED502,13345,1005,65,78,9,14505,29291,1224,145,10,16,30696,6853,1786,366,18,12,9024,815,594,91,0,0,1504,85,223,90,0,0,403,3682,494,78,17,7,4267,471,118,21,87,3,700,76,35,3,0,0,120,11987,3249,646,124,17,16021,484,427,29,13,3,955,760,142,17,11,6,938,55864,6048,912,240,59,63120
CED503,17023,1267,332,518,30,19170,24357,577,174,32,21,25160,5423,988,336,12,4,6768,342,420,37,0,5,802,185,195,70,0,9,457,3091,385,79,15,6,3586,279,115,7,86,4,495,56,27,6,0,0,93,9380,2129,543,121,27,12199,724,907,24,23,0,1685,648,167,23,53,11,896,52137,5046,1092,740,86,59100
CED504,18267,2238,102,5,5,20611,21820,4129,161,0,0,26112,5900,3127,218,0,12,9262,881,1713,121,0,0,2717,139,242,11,0,0,391,3473,1305,80,0,8,4863,585,188,18,0,6,793,86,56,3,0,0,148,11073,6625,455,0,22,18178,527,255,22,0,0,808,672,257,12,0,5,947,52352,13496,745,9,48,66651
CED505,16987,3770,2128,0,15,22903,14684,4348,1911,3,8,20960,3999,3774,5350,4,14,13141,322,825,515,0,0,1667,31,140,119,0,0,287,1730,1396,1460,4,3,4593,255,129,183,3,3,577,13,28,22,0,0,68,6356,6295,7656,11,16,20335,431,432,635,0,6,1508,285,172,148,0,9,613,38745,15017,12482,18,56,66316
CED506,14996,642,78,897,181,16793,16687,556,78,162,64,17551,4998,1388,631,36,32,7081,3859,1042,196,11,29,5133,1379,203,93,22,16,1711,3637,422,97,79,63,4295,5472,777,277,243,97,6868,112,29,7,0,3,161,19458,3859,1301,390,239,25252,2333,287,78,160,110,2961,1113,191,52,178,95,1624,54581,5534,1581,1789,690,64174
CED507,17548,1069,123,399,26,19164,21683,694,76,39,26,22518,5510,1104,268,18,16,6908,799,794,50,0,0,1643,108,264,70,0,4,456,3785,462,79,28,11,4367,431,78,14,181,6,716,60,25,3,0,0,85,10695,2724,484,225,44,14173,819,451,47,39,19,1368,667,164,17,44,27,919,51414,5103,736,750,142,58142
CED508,14467,2366,960,256,27,18077,23017,2744,1281,10,12,27066,5470,2164,2223,14,10,9879,730,1076,404,0,0,2215,83,180,95,0,0,362,2515,869,541,15,3,3947,246,70,49,70,0,440,35,23,14,0,0,72,9075,4382,3329,97,24,16911,385,282,69,11,5,753,450,161,72,3,16,704,47399,9941,5711,384,83,63514
CED509,15080,967,66,173,14,16309,30460,1015,118,15,23,31638,4644,1213,543,4,11,6422,462,501,67,0,4,1036,95,136,23,4,0,258,2568,432,65,13,12,3095,259,54,8,40,0,363,45,22,0,5,0,69,8083,2365,699,62,27,11239,464,115,28,6,4,614,576,112,21,8,12,732,54671,4573,942,268,80,60539
CED510,19393,1823,291,119,3,21623,24606,1457,287,8,3,26360,4144,958,647,3,8,5771,120,213,102,0,0,435,28,64,18,0,0,105,2169,507,192,9,3,2882,130,19,23,8,0,185,30,19,4,0,0,48,6623,1788,989,24,11,9438,347,308,79,4,0,740,367,100,64,14,7,553,51333,5475,1701,173,29,58715
CED511,22345,541,74,396,124,23476,18789,471,29,50,45,19388,4683,1228,180,14,7,6114,1940,780,61,5,14,2796,474,389,84,11,13,964,4464,332,37,35,25,4893,1518,220,26,173,50,1980,98,50,7,3,0,159,13177,2996,394,240,102,16913,2360,228,29,39,64,2722,1070,167,30,34,26,1323,57739,4403,548,764,365,63824
CED512,10854,760,45,110,4,11764,32829,785,61,10,15,33700,7359,735,119,0,0,8216,519,294,8,0,0,817,109,118,0,0,0,222,2981,224,25,16,0,3236,276,40,8,30,0,357,45,15,0,0,0,62,11291,1421,153,47,5,12906,673,537,4,6,0,1225,581,81,4,13,8,685,56214,3583,268,183,33,60283
CED513,13067,3674,2395,13,6,19154,15019,5337,4198,15,20,24583,4854,5166,10717,30,20,20786,447,984,855,0,3,2286,87,213,345,0,7,649,2796,1942,2348,15,13,7116,234,235,268,0,9,745,38,59,67,0,0,161,8459,8595,14592,40,53,31748,471,454,404,3,4,1334,349,232,258,0,15,864,37357,18296,21856,69,96,77678
CED514,13843,3163,1192,113,14,18328,18800,3943,1718,10,20,24479,7707,5844,4261,18,31,17857,1345,1326,301,0,4,2976,184,308,132,0,0,630,3549,1906,957,8,11,6425,407,227,117,21,8,772,91,62,33,0,0,189,13286,9668,5799,45,52,28856,665,575,383,4,5,1633,555,269,133,19,22,995,47149,17624,9217,184,116,74290
CED515,21848,2403,533,0,28,24814,21433,2029,486,3,8,23966,6004,1736,686,3,9,8439,449,388,48,0,0,883,61,67,29,0,0,164,2507,687,193,4,11,3397,235,48,33,0,0,323,27,24,10,0,0,59,9288,2960,999,6,16,13269,712,535,391,0,3,1646,452,104,45,0,6,603,53735,8025,2456,13,64,64292
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
