CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED501,..,303,350,147,205,215,157,54,12,1449,..,278,767,606,859,1529,1660,1377,569,7648,266,336,231,132,128,160,112,57,17,1431,18471,10204,12365,12554,11241,9283,6672,3608,1123,85522,..,323,7907,13436,12618,10713,7600,3871,706,57176,..,2240,6416,3715,2601,1501,572,163,17,17239,..,292,1645,2484,2310,1128,492,296,193,8840,37598,..,..,..,..,..,..,..,..,37598,..,8008,..,..,..,..,..,..,..,8008,..,6452,2653,783,523,268,58,0,0,10728,..,941,663,280,320,550,522,283,152,3711,..,536,476,233,138,112,47,10,3,1563,..,700,957,412,471,467,323,112,23,3469,..,623,1926,1767,2114,2913,2700,2019,827,14880,520,600,475,306,253,273,199,99,27,2748,38113,20714,23115,23410,21353,17925,12515,6859,1961,165961
CED502,..,340,389,209,242,224,147,52,7,1611,..,264,737,639,806,1418,1692,1290,585,7430,241,268,216,116,135,129,126,54,26,1307,19005,10275,13237,13920,10120,8688,6909,3421,1096,86667,..,506,9995,17626,11714,9518,7805,3505,633,61295,..,1675,4873,2939,2006,1184,486,123,17,13308,..,294,1454,2223,2107,1303,678,352,192,8605,38652,..,..,..,..,..,..,..,..,38652,..,8631,..,..,..,..,..,..,..,8631,..,6063,3501,1110,664,274,49,4,0,11658,..,1231,1067,444,432,737,735,353,158,5165,..,625,745,383,230,126,73,28,4,2203,..,813,1299,659,633,545,337,123,11,4430,..,523,1815,1879,2105,2763,2759,1886,807,14541,499,495,479,317,273,224,206,95,32,2621,39147,20852,25230,27579,20180,16671,13119,6461,1864,171108
CED503,..,195,195,106,178,242,164,67,11,1149,..,208,448,420,744,1453,2006,1741,865,7879,216,283,173,98,141,196,218,122,46,1493,14335,8084,8721,9278,9649,9879,9095,5221,1599,75861,..,282,5555,9670,10583,11526,11268,6326,1163,56365,..,1552,4402,2903,2384,1805,986,320,54,14408,..,218,1198,1772,1825,938,453,283,187,6874,28708,..,..,..,..,..,..,..,..,28708,..,6327,..,..,..,..,..,..,..,6327,..,5249,2024,741,480,276,59,7,0,8834,..,707,366,192,241,426,469,289,177,2877,..,423,367,169,132,106,58,16,5,1280,..,388,534,279,390,462,363,138,27,2584,..,411,1154,1139,1691,2665,3455,2671,1247,14432,404,536,375,255,307,338,368,211,61,2857,29115,16098,15974,17112,18033,18545,17479,10265,2924,145543
CED504,..,443,634,216,217,244,158,64,6,1973,..,221,882,795,938,1660,2255,1711,742,9195,160,225,228,145,133,147,145,75,36,1293,15163,10061,12718,12059,10832,10523,8776,4719,1539,86382,..,417,8504,13567,12061,12115,10073,4952,983,62679,..,1237,4972,2939,1800,1186,557,186,19,12890,..,189,1070,1940,2490,1598,849,537,295,8972,31004,..,..,..,..,..,..,..,..,31004,..,8993,..,..,..,..,..,..,..,8993,..,6089,4332,1432,888,449,79,6,0,13275,..,1211,1042,431,454,735,706,445,264,5289,..,577,795,307,206,149,58,19,7,2126,..,1036,1858,736,583,550,338,130,25,5262,..,458,2069,2040,2273,3160,3555,2466,1027,17046,358,442,477,354,271,243,226,119,48,2552,31365,20647,25118,23739,21027,20179,16448,8871,2679,170081
CED505,..,996,1596,222,124,158,111,69,15,3294,..,472,1426,1069,933,1669,2281,2134,1303,11283,114,248,264,121,98,127,114,57,35,1171,13813,9566,11163,11585,11372,9382,7823,5119,2125,81944,..,131,5436,13905,14590,11400,9223,5432,1344,61457,..,923,5796,3015,1886,1448,740,254,53,14124,..,33,256,1134,1987,1131,401,249,219,5412,28242,..,..,..,..,..,..,..,..,28242,..,10796,..,..,..,..,..,..,..,10796,..,3132,2060,519,384,233,59,0,0,6395,..,692,510,149,126,233,312,234,154,2411,..,305,488,114,42,41,16,3,4,1015,..,1804,3202,567,275,300,230,136,33,6553,..,855,2782,2256,2059,2907,3562,2918,1667,19005,246,452,521,260,215,203,196,104,44,2244,28483,19123,21051,21927,21573,17904,14740,9331,3514,157655
CED506,..,344,588,196,210,253,167,61,7,1827,..,447,957,640,1020,1634,1540,1002,438,7685,395,378,386,264,296,349,262,103,36,2478,17324,8433,11604,11627,10826,10053,6955,3161,881,80865,..,373,6384,11515,11107,10835,8163,3519,556,52452,..,2319,6827,4547,3476,2527,1015,253,34,20991,..,323,1333,1970,1819,972,512,294,129,7355,34886,..,..,..,..,..,..,..,..,34886,..,4731,..,..,..,..,..,..,..,4731,..,5208,1753,788,489,214,36,0,0,8489,..,1446,664,425,483,642,552,302,164,4670,..,482,552,221,168,152,83,32,4,1698,..,656,1237,508,503,609,416,134,15,4079,..,893,2190,1846,2704,3780,3290,1785,667,17161,802,751,782,580,640,690,527,192,60,5027,35691,17197,21723,22400,21397,20419,14583,6507,1624,161542
CED507,..,296,440,144,193,242,153,57,17,1537,..,223,452,471,898,1598,1997,1611,853,8101,198,290,220,163,169,271,229,95,44,1683,13973,7163,8068,10075,10208,9733,8232,4306,1445,73210,..,213,4974,10545,11176,11127,10186,4881,920,54025,..,1513,4331,2997,2492,1924,937,238,27,14459,..,180,882,1914,1946,770,379,263,169,6502,28483,..,..,..,..,..,..,..,..,28483,..,5544,..,..,..,..,..,..,..,5544,..,4594,1471,602,405,239,52,4,0,7366,..,559,357,159,177,343,367,206,119,2287,..,470,481,209,140,98,56,21,4,1485,..,629,1025,395,435,513,329,114,31,3462,..,495,1210,1325,1992,2874,3280,2280,1150,14600,429,537,464,388,365,483,424,165,64,3318,28909,14734,15189,18537,19134,18368,16006,8176,2474,141533
CED508,..,704,934,239,172,202,155,38,9,2449,..,387,1069,877,988,1706,2031,1396,713,9173,173,257,216,162,116,151,123,67,34,1308,14331,9118,11957,12202,10876,9427,7169,3630,1316,80035,..,178,6767,13748,12405,10476,7974,3803,784,56134,..,1395,6564,3638,2444,1626,805,190,28,16689,..,101,734,1734,2151,1261,505,342,205,7028,29035,..,..,..,..,..,..,..,..,29035,..,7692,..,..,..,..,..,..,..,7692,..,4958,2647,802,558,289,60,0,0,9322,..,805,595,213,227,407,410,254,172,3088,..,426,562,225,144,93,52,15,0,1514,..,1296,2035,642,432,439,339,105,16,5307,..,675,2269,2097,2275,3074,3217,2024,998,16625,318,481,463,338,268,256,212,119,50,2500,29349,18007,22642,23442,20899,17921,13568,6845,2259,154933
CED509,..,238,292,128,173,197,137,36,8,1204,..,244,676,521,754,1290,1507,1243,608,6841,212,296,208,105,119,130,112,70,21,1275,16838,9416,11486,11990,11127,9387,7065,3798,1203,82310,..,308,8401,14376,13284,11282,8778,4396,845,61672,..,1520,5236,3286,2482,1608,685,193,22,15028,..,161,1081,1845,2048,1142,473,303,162,7218,34431,..,..,..,..,..,..,..,..,34431,..,8400,..,..,..,..,..,..,..,8400,..,6175,2724,833,520,247,55,0,0,10546,..,903,725,266,308,511,580,377,179,3851,..,477,478,206,165,100,71,25,8,1530,..,502,804,407,394,440,286,74,20,2918,..,465,1628,1416,1723,2415,2442,1811,838,12737,429,537,405,299,227,240,192,99,40,2465,34860,19438,21469,22927,21152,17991,13564,7290,2117,160797
CED510,..,240,332,95,91,147,114,41,9,1065,..,164,393,307,467,1109,1762,1362,740,6310,151,202,145,93,80,112,118,49,13,970,14613,9008,7721,10879,11560,11095,8941,3942,1378,79130,..,96,4666,13966,15897,15390,12746,4861,901,68532,..,780,4086,2769,2054,1381,556,120,16,11765,..,62,433,1306,1894,1116,470,250,162,5683,29861,..,..,..,..,..,..,..,..,29861,..,10037,..,..,..,..,..,..,..,10037,..,5762,3064,836,458,210,50,0,0,10380,..,540,346,131,128,299,412,268,205,2334,..,319,332,131,84,69,34,13,5,990,..,595,901,302,235,286,220,89,24,2647,..,350,913,936,1190,1970,2634,1848,972,10820,318,399,311,226,177,205,204,77,28,1941,30179,18946,15051,20605,22120,20928,17327,7525,2310,155001
