CED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
CED501,35,1733,792,330,2056,0.7,1722,2.7
CED502,35,1725,747,310,1913,0.8,1622,2.7
CED503,42,1800,694,315,1893,0.7,1486,2.5
CED504,38,1700,724,330,1869,0.8,1545,2.6
CED505,39,2500,1115,400,3223,0.8,2308,2.4
CED506,37,1678,928,231,2194,0.8,1831,2.5
CED507,42,1700,759,325,1940,0.7,1541,2.5
CED508,38,1972,934,370,2398,0.8,1962,2.5
CED509,37,1950,867,346,2223,0.8,1926,2.7
CED510,42,2158,923,400,2596,0.7,2215,2.7
CED511,42,1400,772,250,1914,0.7,1456,2.4
CED512,35,1950,858,370,2232,0.8,1992,2.8
CED513,37,1989,1017,360,2499,0.8,1871,2.2
CED514,36,1850,897,350,2246,0.8,1791,2.4
CED515,40,2100,844,400,2460,0.8,2100,2.7
CED594,0,0,0,0,0,0,0,0
CED597,40,1733,2123,0,1375,0.7,2250,1.7
