CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED501,39841,22537,26178,26097,23560,19691,13616,7519,2499,181547
CED502,40915,22013,27081,29443,21774,17836,13916,6976,2379,182330
CED503,30392,17235,17675,19084,20147,20723,19607,11411,3679,159946
CED504,32765,21581,26823,25369,22277,21335,17297,9489,3231,180177
CED505,29779,21811,23487,23589,22932,19378,16374,10662,5030,173040
CED506,41064,21492,29474,29047,27532,25648,17253,7701,2233,201445
CED507,30508,15980,17173,20693,21483,20938,18530,9389,3312,157999
CED508,30445,19007,24662,25311,22514,19380,14658,7668,3136,166782
CED509,36155,20758,23971,25366,23326,19710,14690,7991,2780,174739
CED510,30758,19721,16143,21760,23435,22482,18638,8175,2995,164113
CED511,32471,18120,20478,21238,23437,25441,20659,10637,3606,176071
CED512,40064,23109,24855,26669,24649,17907,11817,6323,2110,177513
CED513,25578,19402,37315,29992,22700,19622,14772,8269,4281,181928
CED514,30711,24525,35864,28623,22176,19835,15675,8396,4062,189872
CED515,33550,23934,19553,25499,24890,22323,19096,10372,4734,183959
CED594,772,820,1512,1543,1313,1144,758,155,30,8055
CED597,0,42,116,170,109,62,18,0,0,514
